Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,6.564184721,11.32630985,22.97908761,7.92467832,5.27407587,24.54236714,1.69275189,0.638119726,11.16818344,21.97624258,2.727622011,10.18787384,9.146600993,1.165067598,10.55917397,10.51739611,0.995356757,0
ALB,0,0.023054719,0.029475855,0.044617404,0.026758327,0.006766548,0,0,0.014442363,0.109943764,0,0,0.38053547,0,0,0,0.074489126,0.090380227,0.014513029
ARM,0,2.523936611,5.52492967,3.846829564,2.781301084,1.115082227,22.64096381,0,0,0,14.91908241,0,1.352466387,0,0,4.601079944,3.29536864,0,3.927667923
AGO,0,1118.663658,768.91848,527.8087347,507.0632475,613.4871013,1471.463396,1605.34348,1007.70966,1949.913129,1585.568813,1843.687672,1583.43263,1208.673436,1948.493101,1541.634145,1156.109277,591.3613659,892.5983554
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,7919.775636,9686.120446,9632.584584,9641.770196,7701.924779,6495.211632,6902.974782,8804.204241,7075.806567,5842.90752,4615.88493,8590.901679,9744.426197,9028.743435,9605.08993,8208.462931,7150.416234,8185.698889
AUS,0,22887.91869,66676.44625,41737.49059,47620.6104,41884.64913,51028.90954,97382.9466,157651.7386,12726.34741,8235.6562,104344.3022,37393.79524,8261.965475,36170.58842,10130.81286,14346.61515,16675.03512,39778.74375
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,571.0246266,246.5266931,465.7683852,726.3075957,409.7297762,577.6058857,80.11708273,146.8055782,344.198258,133.2534867,788.4436235,711.4563922,130.4691592,1344.864297,434.3563811,80.08260947,267.1660172,222.4272694
BLZ,0,22.19392598,8.588426485,61.92055591,9.884386177,18.08502832,19.85604066,0,56.02797507,0,21.66560938,0,80.10181568,11.14680799,0,0,29.41692771,0,10.63447251
BIH,0,60.57919877,128.0961387,101.1993984,42.77142919,254.5427647,29.16402663,75.24629106,179.5535206,32.35588686,89.01587994,26.2568071,71.60529639,55.38336135,41.77953215,7.780324048,63.4844633,286.9351509,20.9774815
BOL,0,15.26630254,425.5031415,376.9644909,977.838842,134.0282745,221.3936716,180.1676288,122.9901493,1199.730243,930.6738657,268.7085427,863.5636746,429.8144655,88.66945443,1669.816097,902.053292,227.6945194,15.80115041
