Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,1233.99639,995.3283346,387.4936265,319.7074327,741.692186,937.6097643,2645.452472,1293.807307,729.1284533,460.8308221,1666.415498,534.6058858,318.3984278,299.0683464,435.5063347,471.3697425,117.7055137,250.8089273
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,74.16547279,649.5723873,1012.010006,1102.478717,484.9543799,167.6105585,214.9147333,384.6012249,303.7000151,435.6619108,459.2109455,529.892823,494.9340738,1515.946669,972.4029815,321.9098154,571.627264,2622.38868
AUS,0,52.99544762,231.8451879,185.4706601,578.9151741,229.7550535,443.5217416,214.4081219,1346.944575,794.5851814,905.2862481,383.53245,285.0687199,178.0226929,604.8642139,133.9604468,562.5799761,465.4245731,287.5022278
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,149.1018217,59.29500772,81.3095062,791.707604,87.1621422,82.45326866,0.967720126,4.61659142,13.05291642,1.953867431,163.9050311,126.3426398,61.9529456,150.867547,103.7508125,3.149001159,9.206658923,37.99059498
BLZ,0,490.5733951,149.1620666,833.0335308,148.2756865,596.1574135,164.9306482,0,692.254114,13.7143,238.3367179,9.634616515,636.3095133,197.7017033,91.31185096,0,1979.668344,46.55687859,472.770755
BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,223.0037634,3040.823403,2411.510964,6372.098269,1250.679283,357.1414744,1622.879251,488.0733699,8272.333504,2765.725429,1454.301851,4428.284311,2035.762983,629.9080209,5570.668839,3513.58863,656.7849582,503.4009717
MMR,0,6515.49269,2402.518161,6154.928611,4067.548314,3950.700987,1603.329233,1297.537394,1863.572616,14603.79153,5113.601212,2937.891818,7312.407736,1733.737967,5265.815808,7422.596749,3239.338644,2406.888156,3245.81121
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
