Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,32.8209236,56.63154927,114.8954381,39.6233916,26.37037935,122.7118357,8.46375945,3.190598628,55.84091722,109.8812129,13.63811005,50.93936922,45.73300496,5.82533799,52.79586986,52.58698056,4.976783786,0
ALB,0,0.115273596,0.147379276,0.22308702,0.133791636,0.033832742,0,0,0.072211817,0.549718818,0,0,1.902677351,0,0,0,0.372445628,0.451901137,0.072565146
ARM,0,12.61968306,27.62464835,19.23414782,13.90650542,5.575411134,113.204819,0,0,0,74.59541204,0,6.762331934,0,0,23.00539972,16.4768432,0,19.63833962
AGO,0,2066.237581,1420.237663,974.8937806,936.5756454,1133.146764,2717.879449,2965.16384,1861.29902,3601.60425,2928.638867,3405.399583,2924.693211,2232.490935,3598.981375,2847.48895,2135.401841,1092.279229,1648.681668
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,39598.69466,48430.40343,48162.77315,48208.7492,38509.62389,32476.05816,34513.33233,44020.16818,35379.03283,29213.93467,23079.42465,42954.50839,48722.13098,45143.71717,48023.85574,41041.70069,35752.08117,40923.53804
AUS,0,114100.7943,332096.4001,206898.5026,233435.0698,208711.7862,252763.3548,482843.0071,787160.981,61429.37636,36028.3992,519561.4314,186226.0302,39185.98798,178086.0203,50144.71042,68827.42847,80781.60069,196779.308
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,1253.938711,601.7940337,1368.56261,1812.201827,1195.947376,1666.828438,349.6223201,573.6597089,799.4970437,504.4308542,1824.83768,1645.613348,424.0679254,2795.244272,952.799753,274.092427,651.54734,562.4465937
BLZ,0,40.99348681,15.86332892,114.3709092,18.2570427,33.40411113,36.67527509,0,103.4869657,0,40.01765498,0,147.9527654,20.58881005,0,0,54.33479588,0,19.64249629
BIH,0,302.8959939,640.4806936,505.996992,213.857146,1272.713824,145.8201332,376.2314553,897.7676028,161.7794343,445.0793997,131.2840355,358.026482,276.9168068,208.8976607,38.90162024,317.4223165,1434.675755,104.8874075
BOL,0,28.19775881,785.929332,696.275589,1806.125861,247.5581071,408.9271347,332.7802085,227.1700405,2215.972331,1719.009375,496.3204847,1595.052905,793.892601,163.7776982,3084.248555,1666.145492,420.5651711,29.18565428
