# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (main domain:PD FAO.udpate:2024-06-12T00:00:00)
# Date of CSV last update: 2024-10-17
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,2,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.105365143,22.5306361965,23.2919227889,23.8469146714,29.0222176164,30.1931925688,34.7289546393,35.521303101,33.2168956581,32.1810356949,30.321733789,29.4343986609,29.0193875145,28.1653185872,27.2933418576,27.4550640925,37.0564326332,41.448433133,42.9179194613,43.9367901979,44.9012764073,45.8405339233,46.7916484515,47.6863875925,48.5319710651,49.0809497297,48.1838710125,66.2098424282,71.9558016185,51.616363892,54.9302335192,60.7573135295,65.5232865488,68.1138756808,73.9477659922,82.1637600662,81.8334461393,101.368737135,111.2125074054,111.5529994122,106.1410154699,101.6523077639,100,94.8153677818,97.314845604,94.7004904317,87.8552726953,92.5316476961,88.5716532466,88.3233253452,
Albania,3,GDP Deflator,22024,"Value US$, 2015 prices",6179,67.7986507577,67.0725346372,66.3170116201,65.5952995892,64.9404421226,64.1008301148,51.4637425576,45.0096630318,44.0274884808,44.0202199553,44.015681897,44.0003323906,44.1552574857,43.1231519195,43.1231519173,45.2566806566,49.2434025793,39.9127301495,41.2624835132,42.2028185093,43.2031686271,44.1257393322,49.5335073657,61.823803953,48.2566452657,50.9233787057,56.8815508648,57.577074978,59.8648038096,63.5227575589,76.8552133367,93.9974199416,99.9350372996,104.2561521569,118.0669400644,132.5008289081,119.8690369045,114.4591144485,120.638812719,113.6830991113,116.7259651356,118.7479648468,100,100.8241432797,106.6168194915,119.3182337106,118.7705646409,121.1446210517,131.295917936,132.0992034791,153.194438511
Algeria,4,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.9461498529,31.7685734427,35.2170377473,37.8432369593,40.9029166171,46.646085684,54.6362755122,68.9848144793,70.1654426193,67.18189056,68.8388041372,70.7105446591,74.69079642,80.894020645,83.2907559163,76.7064824769,69.3262493019,76.7378313719,58.5686991022,60.6720632848,64.1712063864,53.9085138551,51.4942614627,55.199638174,56.0354374126,53.3280068242,52.1602512037,56.6040125294,55.347245179,54.0899838027,60.2650293761,72.6535968615,82.9695604878,92.5151271615,103.1965464641,127.6741630234,100.8324685237,114.3500632328,137.8820680058,139.3749792518,136.0300901342,133.5836406328,100,93.4285642343,98.0288766558,99.607892877,96.8452406064,86.59227794,93.9320633083,106.9582394926,113.9383599598
Angola,7,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.3990980183,17.8424188529,13.8431727419,14.016188241,15.1739856962,17.8720487852,19.7847825793,25.6814311916,25.1060019543,25.1060019543,25.1782837645,25.1169116112,29.9775587631,27.2454631119,29.3420829965,29.9601301117,34.724721443,38.5563320171,45.211314682,55.124933806,52.5459948864,53.3636801327,22.2369828937,25.727664224,28.1086620865,22.6248989774,21.1383047493,30.4349573894,28.8829188004,32.2616836428,36.5039785315,43.5010328629,59.3639242801,75.3331377787,82.3306285462,100.4705361414,79.1029691256,89.9140885221,115.9219388252,122.3361254556,124.4410764817,126.5332369416,100,89.3536200476,108.0173903201,90.8266979431,75.0273777018,52.4298122957,66.0636981579,103.9586703685,74.7628385765
Antigua and Barbuda,8,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.0826166568,22.7645280354,24.6299976806,22.4869634925,23.859565549,26.0916528802,29.0058744526,32.434815446,34.9640986885,38.588868737,40.1326958047,42.2667782575,45.3088292648,49.5877618848,52.9543935526,58.1980716177,60.8643113446,61.8686679069,63.4812139758,65.0436766998,66.2230706966,68.3717365006,70.0149578769,72.0994322894,73.4168969306,74.9659251924,76.0935740083,76.9385865955,78.4561760619,79.0608749366,78.1313874641,79.3640407515,83.0832002606,83.3790976623,86.4746718028,90.2815339911,91.9399482678,93.2945522532,94.2418793118,96.1603725406,95.250171871,97.0708825258,100,101.8736715472,100.9245507636,103.2830241972,103.3398411417,105.9153272142,109.4967865884,113.902239241,119.6217245928
Argentina,9,GDP Deflator,22024,"Value US$, 2015 prices",6179,15.9282223015,17.0008892226,18.2035787891,19.275939472,20.3957895285,21.8303948484,23.6415660214,25.77712686,28.2161959389,29.959468001,31.1329166085,32.2561005226,33.2761820134,37.3012267939,37.3895350651,44.4703430542,28.8806253383,53.9966757661,65.5847701972,71.7029107425,69.8367526884,71.8221104534,74.040478426,74.0081592204,73.6767507763,72.4204090258,71.0903471969,71.8277432032,71.0406667855,30.2622296982,35.3132001932,38.2701846447,42.5043259441,45.9602281434,52.1212691409,63.2077679348,61.8032045309,71.1584021176,83.4455833796,92.4648619415,95.2446066684,90.3293999363,100,88.2887897001,99.1287060337,83.0028782289,72.2604629676,69.0928959334,78.931977493,97.2819034232,85.2753341266
Armenia,1,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,42.3432442704,43.3469229557,44.2725634248,45.2009151314,52.9773628314,52.6136433084,56.5984452105,53.4614569282,52.2929381176,52.8960153612,51.5741943043,53.4224944453,61.6172827051,74.1439408851,85.334164139,108.1772740984,128.1309673269,110.6755676556,115.9440487307,121.3417092893,111.1719206071,112.7554943617,113.5673249179,100,99.7603323961,101.4078455644,104.1737316906,105.8112745586,105.7893387648,109.7796114614,137.0472518339,161.7010263306
Australia,10,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.6896834135,29.0428590986,30.201159318,31.4118621684,30.8498711637,34.5937653056,37.1663525801,41.466457593,46.749182209,45.4570797031,43.5472255877,44.4051682065,37.6522746743,38.5719925769,43.3038102784,52.7794770103,56.6728805363,57.63372198,58.3638292108,55.5034463309,51.9169847865,57.0994456449,59.4613965176,63.5720371777,60.9767850123,51.8582834008,54.6179659338,51.3531347365,47.1134079854,50.9684936768,62.8069373347,73.945545727,80.712635122,83.5564734851,97.0915888965,102.1441753556,96.0675503958,119.9973788445,137.3726503204,137.6677024146,130.1621352713,120.7789014321,100,102.562974473,107.729799046,108.6585924811,103.2349254916,105.345667861,123.1798146032,121.2020857305,114.9289277677
Austria,11,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.6546141431,21.3967315809,24.4466219208,25.0694026701,28.6270727236,34.5326230081,39.0576868216,42.6062989635,36.9354825517,36.3303534844,35.7000446991,33.6364381544,33.4941043498,46.7295310433,57.8059563027,60.089915153,57.7422062444,69.2080927494,69.8482033588,76.7940362053,74.5503021403,77.8403269608,89.7888328464,86.348459646,75.8518875809,75.111144446,72.1743760099,63.2659411499,62.6445948617,66.63953263,80.9605320995,90.6194880457,93.0630887586,95.654199979,106.6787734888,116.4073274657,112.4823955355,108.1745071411,115.6230980041,109.0625369747,114.5323278103,116.9354763597,100,101.580596598,104.7845197591,111.5538440841,107.4466686029,112.6087915961,119.0176906764,111.4287726263,123.5418221386
Azerbaijan,52,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,34.5310828142,35.3495867395,36.1044501997,36.8615246807,37.5364473489,44.2527809696,45.1588769231,43.3238322584,44.8827869762,44.2080894102,43.6840755265,45.8554640205,49.6617827594,59.9431099788,70.6215897156,88.9558640402,118.7156577133,98.4816457795,112.0333018693,139.5617700532,144.3237863339,145.1701659888,143.3401028584,100,73.6541293224,79.4242151697,90.2331989124,90.0301596258,83.3203855045,101.308162655,139.091153496,135.2787565725
