# File:flsp_mapping.csv,
# Description: Maps countries for which floorspace data is not available to those with data,
# ----------,
iso,flsp_ctry
abw,chn
afg,chn
ago,chn
aia,chn
alb,jpn
and,jpn
ant,chn
are,jpn
arg,chn
arm,jpn
asm,chn
atg,chn
aus,
aut,
aze,jpn
bdi,chn
bel,
ben,chn
bfa,chn
bgd,chn
bgr,
bhr,jpn
bhs,chn
bih,
blr,jpn
blz,chn
bmu,jpn
bol,chn
bra,chn
brb,chn
brn,chn
btn,chn
bwa,chn
caf,chn
can,
cck,chn
che,jpn
chi,jpn
chl,chn
chn,
civ,chn
cmr,chn
cod,chn
cog,chn
cok,jpn
col,chn
com,chn
cpv,chn
cri,chn
cub,chn
cym,chn
cyp,jpn
cxr,chn
cze,
deu,
dji,chn
dma,chn
dnk,
dom,chn
dza,chn
ecu,chn
egy,chn
eri,chn
esh,chn
esp,
est,
eth,chn
fin,
fji,chn
flk,chn
fra,
fro,jpn
fsm,chn
gab,chn
gbr,
geo,jpn
gha,chn
gib,jpn
gin,chn
glp,chn
gmb,chn
gnb,chn
gnq,chn
grc,
grd,chn
grl,jpn
gtm,chn
guf,chn
gum,chn
guy,chn
hkg,chn
hnd,chn
hrv,
hti,chn
hun,
idn,chn
imn,jpn
ind,chn
irl,
irn,jpn
irq,jpn
isl,
isr,jpn
ita,
jam,chn
jor,jpn
jpn,
kaz,chn
ken,chn
kgz,chn
khm,chn
kir,chn
kna,chn
kor,jpn
kwt,jpn
lao,chn
lbn,jpn
lbr,chn
lby,chn
lca,chn
lie,jpn
lka,chn
lso,chn
ltu,
lux,
lva,
mac,chn
mar,chn
mco,jpn
mda,jpn
mdg,chn
mdv,chn
mex,chn
mhl,chn
mkd,jpn
mli,chn
mlt,jpn
mmr,chn
mne,jpn
mng,chn
mnp,chn
moz,chn
mrt,chn
msr,chn
mtq,chn
mus,chn
mwi,chn
mys,chn
myt,chn
nam,chn
ncl,chn
ner,chn
nfk,chn
nga,chn
nic,chn
niu,chn
nld,
nor,
npl,chn
nru,chn
nzl,
omn,jpn
pak,chn
pan,chn
pci,chn
pcn,chn
per,chn
phl,chn
plw,chn
png,chn
pol,
pri,jpn
prk,chn
prt,
pry,chn
pse,jpn
pyf,chn
qat,jpn
reu,chn
rom,
rus,jpn
rwa,chn
sau,jpn
scg,
sdn,chn
sen,chn
sgp,chn
shn,chn
sjm,jpn
slb,chn
sle,chn
slv,chn
smr,jpn
som,chn
spm,jpn
srb,jpn
stp,chn
sur,chn
svk,
svn,
swe,
swz,chn
syc,chn
syr,jpn
tca,chn
tcd,chn
tgo,chn
tha,chn
tjk,chn
tkl,chn
tkm,chn
tls,chn
ton,chn
tto,chn
tun,chn
tur,jpn
tuv,chn
twn,chn
tza,chn
uga,chn
ukr,jpn
ury,chn
usa,
uzb,chn
vat,jpn
vct,chn
ven,chn
vgb,chn
vir,chn
vnm,chn
vut,chn
wlf,chn
wsm,chn
yem,jpn
yug,jpn
zaf,chn
zmb,chn
zwe,chn
