INPUT_TABLE,,,
Variable ID,,,
RenewRsrcPrice,,,
,,,
region,renewresource,year,price
CA,offshore wind resource 7,1975,0.05
HI,offshore wind resource 7,1975,0.05
ME,offshore wind resource 7,1975,0.05
OR,offshore wind resource 7,1975,0.05
CA,offshore wind resource 7,1990,0.05
HI,offshore wind resource 7,1990,0.05
ME,offshore wind resource 7,1990,0.05
OR,offshore wind resource 7,1990,0.05
CA,offshore wind resource 7,2005,0.05
HI,offshore wind resource 7,2005,0.05
ME,offshore wind resource 7,2005,0.05
OR,offshore wind resource 7,2005,0.05
CA,offshore wind resource 7,2010,0.05
HI,offshore wind resource 7,2010,0.05
ME,offshore wind resource 7,2010,0.05
OR,offshore wind resource 7,2010,0.05
