Adjustment to calibration - needs to be read in after the main calibration XML file,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
1003,,,,,,,,,,,,,,,
,,,,,calibrated-value,,,former cal values,,cement energy (to subtract),,unconv oil energy to subtract,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,,1990,2005,1990,2005,1990,2005,,region ID
USA,industrial energy use,biomass,biomass,delivered biomass,0.405090833,0.853589207,,0.501808043,0.989437712,0.096717209,0.135848505,0,0,,1
USA,industrial energy use,coal,coal,delivered coal,1.947131889,1.077391018,,2.15990975,1.37625773,0.212777861,0.298866711,0,0,,1
USA,industrial energy use,electricity,electricity,elect_td_ind,3.245083208,3.409900587,,3.28812532,3.468895,0.043042112,0.058994414,0,0,,1
USA,industrial energy use,gas,gas,wholesale gas,5.474183961,5.279917795,,5.483855682,5.293502646,0.009671721,0.013584851,0,0,,1
USA,industrial energy use,refined liquids,refined liquids,refined liquids industrial,2.572735476,2.154177984,,2.575959383,2.158706268,0.003223907,0.004528284,0,0,,1
Canada,industrial energy use,biomass,biomass,delivered biomass,0.225402493,0.336188004,,0.238166118,0.348706012,0.012763625,0.012518008,0,0,,2
Canada,industrial energy use,coal,coal,delivered coal,0.106056658,0.124878063,,0.132604998,0.15091552,0.02654834,0.026037457,0,0,,2
Canada,industrial energy use,electricity,electricity,elect_td_ind,0.673458381,0.918875348,,0.680721419,0.926603558,0.007263037,0.00772821,0,0,,2
Canada,industrial energy use,gas,gas,wholesale gas,1.08462425,1.108591734,,1.09381406,1.425366752,0.00918981,0.009012966,0,0.307762053,,2
Canada,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.387862188,0.391700366,,0.390414913,0.394203967,0.002552725,0.002503602,0,0,,2
Western Europe,industrial energy use,biomass,biomass,delivered biomass,0.317713132,0.266981562,,0.590479497,0.537060845,0.272766365,0.270079282,0,0,,3
Western Europe,industrial energy use,coal,coal,delivered coal,2.999079297,1.874834636,,3.229563696,2.103048482,0.230484399,0.228213846,0,0,,3
Western Europe,industrial energy use,electricity,electricity,elect_td_ind,3.490910852,4.290513062,,3.598469501,4.403118563,0.107558649,0.112605501,0,0,,3
Western Europe,industrial energy use,gas,gas,wholesale gas,3.329125005,4.152379025,,3.337072743,4.160248468,0.007947738,0.007869443,0,0,,3
Western Europe,industrial energy use,refined liquids,refined liquids,refined liquids industrial,2.675001498,2.554924089,,2.958576786,2.835705814,0.283575289,0.280781725,0,0,,3
Japan,industrial energy use,biomass,biomass,delivered biomass,0.058607665,0.063667395,,0.108145044,0.101630383,0.049537379,0.037962988,0,0,,4
Japan,industrial energy use,coal,coal,delivered coal,1.593046919,1.55198934,,1.81046097,1.718604675,0.217414051,0.166615335,0,0,,4
Japan,industrial energy use,electricity,electricity,elect_td_ind,1.202468389,1.238646549,,1.238788954,1.26947288,0.036320566,0.030826331,0,0,,4
Japan,industrial energy use,gas,gas,wholesale gas,0.368610059,0.48190068,,0.368610059,0.48190068,0,0,0,0,,4
Japan,industrial energy use,refined liquids,refined liquids,refined liquids industrial,2.012684172,1.739186344,,2.018188325,1.743404454,0.005504153,0.00421811,0,0,,4
Australia_NZ,industrial energy use,biomass,biomass,delivered biomass,0.093119766,0.14035305,,0.094319057,0.141745612,0.001199291,0.001392562,0,0,,5
Australia_NZ,industrial energy use,coal,coal,delivered coal,0.232505131,0.186641584,,0.249894855,0.206833731,0.017389724,0.020192146,0,0,,5
Australia_NZ,industrial energy use,electricity,electricity,elect_td_ind,0.274731865,0.421954436,,0.278749529,0.42643466,0.004017664,0.004480224,0,0,,5
Australia_NZ,industrial energy use,gas,gas,wholesale gas,0.425396677,0.409690739,,0.436789944,0.422920076,0.011393267,0.013229337,0,0,,5
Australia_NZ,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.192601174,0.312109193,,0.192601174,0.312109193,0,0,0,0,,5
Former Soviet Union,industrial energy use,biomass,biomass,delivered biomass,0.034105982,0.098561929,,0.041210672,0.102329921,0.00710469,0.003767992,0,0,,6
Former Soviet Union,industrial energy use,coal,coal,delivered coal,3.89361962,2.233389963,,3.943352451,2.259765907,0.049732832,0.026375943,0,0,,6
Former Soviet Union,industrial energy use,electricity,electricity,elect_td_ind,3.933052521,2.433724673,,4.004286383,2.470263449,0.071233862,0.036538776,0,0,,6
Former Soviet Union,industrial energy use,gas,gas,wholesale gas,3.242976628,3.297479939,,3.726095566,3.553703388,0.483118938,0.256223449,0,0,,6
Former Soviet Union,industrial energy use,refined liquids,refined liquids,refined liquids industrial,3.333786067,1.350635249,,3.504298633,1.441067054,0.170512566,0.090431806,0,0,,6
China,industrial energy use,biomass,biomass,delivered biomass,0.000184219,0.05158975,,0.000184219,0.05158975,0,0,0,0,,7
China,industrial energy use,coal,coal,delivered coal,9.189094445,13.75075849,,10.19271301,17.155426,1.003618567,3.404667508,0,0,,7
China,industrial energy use,electricity,electricity,elect_td_ind,1.493714618,5.171253477,,1.612994872,5.679752025,0.119280254,0.508498548,0,0,,7
China,industrial energy use,gas,gas,wholesale gas,0.428351508,1.160618641,,0.428351508,1.160618641,0,0,0,0,,7
China,industrial energy use,refined liquids,refined liquids,refined liquids industrial,1.44045326,3.081230243,,1.50451402,3.298549446,0.06406076,0.217319203,0,0,,7
Middle East,industrial energy use,biomass,biomass,delivered biomass,0.004656503,0.001521261,,0.01423512,0.018974578,0.009578617,0.017453316,0,0,,8
Middle East,industrial energy use,coal,coal,delivered coal,0.027791978,0.051476706,,0.027791978,0.051476706,0,0,0,0,,8
Middle East,industrial energy use,electricity,electricity,elect_td_ind,0.139014061,0.423178392,,0.162516559,0.464451471,0.023502497,0.041273079,0,0,,8
Middle East,industrial energy use,gas,gas,wholesale gas,0.883705363,1.903491368,,0.95554499,2.034391241,0.071839627,0.130899873,0,0,,8
Middle East,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.964590264,1.393348245,,1.089112284,1.620241358,0.12452202,0.226893113,0,0,,8
Africa,industrial energy use,biomass,biomass,delivered biomass,0.303200604,3.053829891,,0.313809034,3.072667399,0.010608429,0.018837508,0,0,,9
Africa,industrial energy use,coal,coal,delivered coal,0.72272175,0.607482717,,0.78425064,0.716740262,0.06152889,0.109257545,0,0,,9
Africa,industrial energy use,electricity,electricity,elect_td_ind,0.548041339,0.794509422,,0.572254246,0.835869442,0.024212906,0.04136002,0,0,,9
Africa,industrial energy use,gas,gas,wholesale gas,0.567462447,0.965992244,,0.628991338,1.075249789,0.06152889,0.109257545,0,0,,9
Africa,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.604162715,0.638040343,,0.680543406,0.773670398,0.076380691,0.135630056,0,0,,9
Latin America,industrial energy use,biomass,biomass,delivered biomass,2.027975641,2.403663626,,2.067914948,2.451300224,0.039939307,0.047636598,0,0,,10
Latin America,industrial energy use,coal,coal,delivered coal,0.470762627,0.546346489,,0.537328139,0.625740819,0.066565512,0.07939433,0,0,,10
Latin America,industrial energy use,electricity,electricity,elect_td_ind,0.942428412,1.685841713,,0.982467117,1.74501597,0.040038705,0.059174257,0,0,,10
Latin America,industrial energy use,gas,gas,wholesale gas,1.724644746,2.380071155,,1.80452336,2.643248257,0.079878614,0.095273196,0,0.167903906,,10
