Industry sector input,,,,,,,,,,,,,,,,,,,,,,
Delete old industry,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,
,delete,,,,,,,,,,,,,,,,,,,,,
region,supplysector,,,,,,,,,,,,,,,,,,,,,
ALL,industry,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Create the new industry supplysectors,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,
,,,,,price,,,,,,,,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,1975,,,,,,,,,,,,,,,,,
ALL,industrial energy use,EJ,EJ,1975$/GJ,4,,,,,,,,,,,,,,,,,
ALL,industrial feedstocks,EJ,EJ,1975$/GJ,2.5,,,,,,,,,,,,,,,,,
ALL,industry,EJ,EJ,1975$/GJ,3.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,
,,keyword,,,,,,,,,,,,,,,,,,,,
region,supplysector,final-energy,,,,,,,,,,,,,,,,,,,,
ALL,industrial energy use,industry,,,,,,,,,,,,,,,,,,,,
ALL,industrial feedstocks,industry,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Subsector logit exponents,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,
,,1975 fillout,,,,,,,,,,,,,,,,,,,,
region,supplysector,logit-exponent,,,,,,,,,,,,,,,,,,,,
ALL,industrial energy use,-3,,,,,,,,,,,,,,,,,,,,
ALL,industrial feedstocks,-1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Subsector shareweight scaling,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,
,,,shareweight,,,interpolation-rule,,,,,,,,,,,,,,,,
region,supplysector,subsector,1975,1990,2005,apply-to,from-year,to-year,interpolation-function,,,,,,,,,,,,,
ALL,industrial energy use,biomass,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
ALL,industrial energy use,coal,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
ALL,industrial energy use,electricity,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
ALL,industrial energy use,gas,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
ALL,industrial energy use,refined liquids,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
ALL,industrial energy use,hydrogen,0,0,0,share-weight,2005,2050,linear,,,,,,,,,,,,,
ALL,industrial feedstocks,biomass,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
ALL,industrial feedstocks,coal,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
ALL,industrial feedstocks,gas,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
ALL,industrial feedstocks,refined liquids,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
ALL,industry,industry,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
100-1,,,,,,,,,,,,,,,,,,,,,,
,,,shareweight,,,interpolation-rule,,,,,,,,,,,,,,,,
region,supplysector,subsector,1975,1990,2005,apply-to,from-year,to-year,interpolation-function,,,,,,,,,,,,,
China,industrial energy use,district heat,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
Eastern Europe,industrial energy use,district heat,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
Former Soviet Union,industrial energy use,district heat,1,1,1,share-weight,2005,9999,fixed,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Technology logit exponent,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
region,supplysector,subsector,logit-exponent,,,,,,,,,,,,,,,,,,,
ALL,industrial energy use,biomass,-6,,,,,,,,,,,,,,,,,,,
ALL,industrial energy use,coal,-6,,,,,,,,,,,,,,,,,,,
ALL,industrial energy use,electricity,-6,,,,,,,,,,,,,,,,,,,
ALL,industrial energy use,gas,-6,,,,,,,,,,,,,,,,,,,
ALL,industrial energy use,refined liquids,-6,,,,,,,,,,,,,,,,,,,
ALL,industrial energy use,hydrogen,-6,,,,,,,,,,,,,,,,,,,
ALL,industrial feedstocks,biomass,-6,,,,,,,,,,,,,,,,,,,
ALL,industrial feedstocks,coal,-6,,,,,,,,,,,,,,,,,,,
ALL,industrial feedstocks,gas,-6,,,,,,,,,,,,,,,,,,,
ALL,industrial feedstocks,refined liquids,-6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
101-1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
region,supplysector,subsector,logit-exponent,,,,,,,,,,,,,,,,,,,
China,industrial energy use,district heat,-6,,,,,,,,,,,,,,,,,,,
Eastern Europe,industrial energy use,district heat,-6,,,,,,,,,,,,,,,,,,,
Former Soviet Union,industrial energy use,district heat,-6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Set fuel preference elasticities on a region-by-region basis,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,
region,supplysector,subsector,fuelprefElasticity,,,,,,,,,,,,,,,,,,,
Africa,industrial energy use,biomass,-0.4,,,,,,,,,,,,,,,,,,,
Africa,industrial energy use,coal,-0.1,,,,,,,,,,,,,,,,,,,
Latin America,industrial energy use,biomass,-0.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Set shareweight for hydrogen equal to gas in the long run,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
210,,,phase-in pathway,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,gas,,,,,,,,,,,
region,supplysector,subsector,2020,2035,2050,2065,2080,2095,,,2005,,,,,,,,,,,
Africa,industrial energy use,hydrogen,0.290279,0.290279,0.290279,0.290279,0.290279,0.290279,,Africa,0.290279,,,,,,,,,,,
Australia_NZ,industrial energy use,hydrogen,0.11385,0.11385,0.11385,0.11385,0.11385,0.11385,,Australia_NZ,0.11385,,,,,,,,,,,
Canada,industrial energy use,hydrogen,1,1,1,1,1,1,,Canada,1,,,,,,,,,,,
China,industrial energy use,hydrogen,0.258602,0.258602,0.258602,0.258602,0.258602,0.258602,,China,0.258602,,,,,,,,,,,
Eastern Europe,industrial energy use,hydrogen,1.43964,1.43964,1.43964,1.43964,1.43964,1.43964,,Eastern Europe,1.43964,,,,,,,,,,,
Former Soviet Union,industrial energy use,hydrogen,1,1,1,1,1,1,,Former Soviet Union,1,,,,,,,,,,,
India,industrial energy use,hydrogen,0.371471,0.371471,0.371471,0.371471,0.371471,0.371471,,India,0.371471,,,,,,,,,,,
Japan,industrial energy use,hydrogen,0.147557,0.147557,0.147557,0.147557,0.147557,0.147557,,Japan,0.147557,,,,,,,,,,,
Korea,industrial energy use,hydrogen,0.0466281,0.0466281,0.0466281,0.0466281,0.0466281,0.0466281,,Korea,0.0466281,,,,,,,,,,,
Latin America,industrial energy use,hydrogen,1,1,1,1,1,1,,Latin America,1,,,,,,,,,,,
Middle East,industrial energy use,hydrogen,1,1,1,1,1,1,,Middle East,1,,,,,,,,,,,
Southeast Asia,industrial energy use,hydrogen,1,1,1,1,1,1,,Southeast Asia,1,,,,,,,,,,,
USA,industrial energy use,hydrogen,1,1,1,1,1,1,,USA,1,,,,,,,,,,,
Western Europe,industrial energy use,hydrogen,1,1,1,1,1,1,,Western Europe,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Technology shareweight scaling,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,,,
,,,,interpolation-rule,,,,,,,,,,,,,,,,,,
region,supplysector,subsector,technology,apply-to,from-year,to-year,interpolation-function,,,,,,,,,,,,,,,
ALL,industrial energy use,biomass,biomass,share-weight,2005,2095,fixed,,,,,,,,,,,,,,,
ALL,industrial energy use,coal,coal,share-weight,2005,2095,fixed,,,,,,,,,,,,,,,
ALL,industrial energy use,electricity,electricity,share-weight,2005,2095,fixed,,,,,,,,,,,,,,,
ALL,industrial energy use,gas,gas,share-weight,2005,2095,fixed,,,,,,,,,,,,,,,
ALL,industrial energy use,refined liquids,refined liquids,share-weight,2005,2095,fixed,,,,,,,,,,,,,,,
ALL,industrial energy use,hydrogen,hydrogen,share-weight,2020,2095,linear,,,,,,,,,,,,,,,
ALL,industrial energy use,biomass,biomass cogen,share-weight,2005,2095,linear,,,,,,,,,,,,,,,
ALL,industrial energy use,coal,coal cogen,share-weight,2005,2095,linear,,,,,,,,,,,,,,,
