INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,
,nocreate,,,,efficiency,,,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
ALL,industrial energy use,biomass,biomass,delivered biomass,1,0.850914297,0.798557784,0.817757512,0.847404559,0.870465916,0.889929949,0.904186545,0.913253659,,
ALL,industrial energy use,coal,coal,delivered coal,1,0.842516333,0.864810523,0.902579668,0.925534005,0.943403268,0.95931516,0.972850568,0.983209086,,
ALL,industrial energy use,electricity,electricity,elect_td_ind,1,1,1,1.058724366,1.114922301,1.153812937,1.183170452,1.20139627,1.21490961,,
ALL,industrial energy use,gas,gas,wholesale gas,1,0.882640553,0.884017597,0.905840047,0.928352816,0.948044045,0.966558373,0.9835464,0.998712573,,
ALL,industrial energy use,refined liquids,refined liquids,refined liquids industrial,1,0.974831891,0.982399764,1.002330417,1.021023192,1.037080551,1.052526941,1.067841206,1.083373169,,
ALL,industrial energy use,hydrogen,hydrogen,H2 Enduse,1,1,1,1,1.015105456,1.030439088,1.04600434,1.061804713,1.077843758,,0.001
ALL,industrial energy use,biomass,biomass cogen,delivered biomass,1,0.551770057,0.551768085,0.578588103,0.606453898,0.630401541,0.650409518,0.666412713,0.676447786,,
ALL,industrial energy use,coal,coal cogen,delivered coal,1,0.622806035,0.622804938,0.647444898,0.675145761,0.699732292,0.718797809,0.734585658,0.744926533,,
ALL,industrial energy use,gas,gas cogen,wholesale gas,1,0.603039468,0.6030384,0.631548146,0.662121044,0.688807101,0.709603171,0.726442309,0.737381659,,
ALL,industrial energy use,refined liquids,refined liquids cogen,refined liquids industrial,1,0.604569849,0.604571557,0.632925202,0.663454063,0.689985314,0.710766715,0.727602122,0.738629398,,
ALL,industrial energy use,hydrogen,hydrogen cogen,H2 Enduse,1,1,1,0.45700049,0.464000831,0.471000103,0.477999961,0.484999842,0.491999737,,
ALL,industrial feedstocks,biomass,biomass,delivered biomass,1,1,1,1.015106618,1.030437892,1.046005698,1.06180676,1.077841889,1.094123385,,
ALL,industrial feedstocks,coal,coal,delivered coal,1,1,1,1.015105925,1.030437973,1.046004851,1.061804746,1.077843718,1.094124477,,
ALL,industrial feedstocks,gas,gas,wholesale gas,1,1,1,1.015105258,1.030439365,1.04600508,1.061805241,1.07784214,1.094124747,,
ALL,industrial feedstocks,refined liquids,refined liquids,refined liquids industrial,1,1,1,1.015106618,1.030437892,1.046005698,1.06180676,1.077841889,1.094123385,,
,,,,,,,,,,,,,,,
