GCAM_fuel,GCAM_enduse_fuel
biomass,biomass
coal,coal
crude oil,na
electricity,electricity
gas,gas
geothermal,na
hydro,electricity
nuclear,na
refined liquids,refined liquids
refined liquids (const feed),refined liquids
refined liquids (ethanol),refined liquids
refined liquids (petchem feed),refined liquids
solar,electricity
wind,electricity
