NAICS_code,industry,GCAM_industry
11,Agriculture,agriculture
21,"Mining, quarrying, and oil and gas extraction",mining
23,Construction,construction
31,Manufacturing,na
311,Food mfg,food processing
3111,Animal food mfg,na
3112,Grain and oilseed milling,na
3113,Sugar and confectionery product mfg,na
3114,Fruit and vegetable preserving and specialty food mfg,na
3115,Dairy product mfg,na
3116,Animal  slaughtering and processing,na
3117,Seafood product preparation and packaging,na
3118,Bakeries and tortilla mfg,na
3119,Other food mfg,na
312,Beverage and tobacco product mfg,food processing
3121,Beverage mfg,na
3122,Tobacco mfg,na
313,Textile mills,other manufacturing
3131,"Fiber, yarn, and thread mills",na
3132,Fabric mills,na
3133,Textile and fabric finishing and fabric coating mills,na
314,Textile product mills,other manufacturing
3141,Textile furnishings mills,na
3149,Other textile product mills,na
315,Apparel mfg,other manufacturing
3151,Apparel knitting mills,na
3152,Cut and sew apparel mfg,na
3159,Apparel accessories and other apparel mfg,na
316,Leather and allied product mfg,other manufacturing
3162,Footwear mfg,na
3169,Other leather and allied product mfg,na
321,Wood product mfg,pulp paper and wood
3211,Sawmills and wood preservation,na
3212,"Veneer, plywood, and engineered wood product mfg",na
3219,Other wood product mfg,na
322,Paper mfg,pulp paper and wood
3221,"Pulp, paper, and paperboard mills",na
3222,Converted paper product mfg,na
323,Printing and related support activities,pulp paper and wood
3231,Printing and related support activities,na
324,Petroleum and coal products mfg,na
3241,Petroleum and coal products mfg,na
325,Chemical mfg,chemicals
3251,Basic chemical mfg,na
3252,"Resin, syn rubber, and artificial syn fibers and filaments mfg",na
3253,"Pesticide, fertilizer, and other agricultural chemical mfg",na
3254,Pharmaceutical and medicine mfg,na
3255,"Paint, coating, and adhesive mfg",na
3256,"Soap, cleaning compound, and toilet preparation mfg",na
3259,Other chemical product and preparation mfg,na
326,Plastics and rubber products mfg,other manufacturing
3261,Plastics product mfg,na
3262,Rubber product mfg,na
327,Nonmetallic mineral product mfg,nonmetallic minerals
3271,Clay product and refractory mfg,na
3272,Glass and glass product mfg,na
3273,Cement and concrete product mfg,cement
3274,Lime and gypsum product mfg,na
3279,Other nonmetallic mineral product mfg,na
331,Primary metal mfg,na
3311,Iron and steel mills and ferroalloy mfg,iron and steel
3312,Steel product mfg from purchased steel,iron and steel
3313,Alumina and aluminum production and processing,aluminum and nonferrous metals
3314,Nonferrous metal (except aluminum) production and processing,aluminum and nonferrous metals
3315,Foundries,foundries
332,Fabricated metal product mfg,other manufacturing
3321,Forging and stamping,na
3322,Cutlery and handtool mfg,na
3323,Architectural and structural metals mfg,na
3324,"Boiler, tank, and shipping container mfg",na
3325,Hardware mfg,na
3326,Spring and wire product mfg,na
3327,"Machine shops, turned product, and screw, nut, and bolt mfg",na
3328,"Coating, engraving, heat treating, and allied activities",na
3329,Other fabricated metal product mfg,na
333,Machinery mfg,other manufacturing
3331,"Agriculture, construction, and mining machinery mfg",na
3332,Industrial machinery mfg,na
3333,Commercial and service industry machinery mfg,na
3334,"Ventilation, heating, AC, and commercial refrigeration equip mfg",na
3335,Metalworking machinery mfg,na
3336,"Engine, turbine, and power transmission equipment mfg",na
3339,Other general purpose machinery mfg,na
334,Computer and electronic product mfg,other manufacturing
3341,Computer and peripheral equipment mfg,na
3342,Communications equipment mfg,na
3343,Audio and video equipment mfg,na
3344,Semiconductor and other electronic component mfg,na
3345,"Navigational, measuring, medical, and control instruments mfg",na
3346,Mfg and reproducing magnetic and optical media,na
335,"Electrical equipment, appliance, and component mfg",other manufacturing
3351,Electric lighting equipment mfg,na
3352,Household appliance mfg,na
3353,Electrical equipment mfg,na
3359,Other electrical equipment and component mfg,na
336,Transportation equipment mfg,other manufacturing
3361,Motor vehicle mfg,na
3362,Motor vehicle body and trailer mfg,na
3363,Motor vehicle parts mfg,na
3364,Aerospace product and parts mfg,na
3365,Railroad rolling stock mfg,na
3366,Ship and boat building,na
3369,Other transportation equipment mfg,na
337,Furniture and related product mfg,other manufacturing
3371,Household and institutional furniture and kitchen cabinet mfg,na
3372,Office furniture (including fixtures) mfg,na
3379,Other furniture related product mfg,na
339,Miscellaneous mfg,other manufacturing
3391,Medical equipment and supplies mfg,na
3399,Other miscellaneous mfg,na
