service,GCAM_service
Total fuel consumption,na
Total boiler fuel,na
Conventional boiler fuel,boilers
CHP boiler fuel,boilers_CHP
Total process fuel,na
Process heating,process heat
Process cooling and refrigeration,other end uses
Machine drive,machine drive
Electrochemical processes,electrochemical
Other process use,other end uses
Nonprocess use,other end uses
Facility HVAC,na
Facility lighting,na
Other facility support,na
Onsite transportation,na
Conventional electricity generation,na
Other nonprocess use,na
End use not reported,unreported
