EIA_source,GCAM_industry
Cement Manufacture,cement
Clinker Production,na
Masonry Cement,na
Cement Kiln Dust,na
Limestone Consumption,na
Lime Manufacture,other nonmetallic minerals
Iron Smelting,iron and steel
Steelmaking,iron and steel
Copper Refining,aluminum and nonferrous metals
Glass Manufacture,other nonmetallic minerals
Flue Gas Desulfurization,na
Dolomite Manufacture,other nonmetallic minerals
Natural Gas Production,na
Carbon Dioxide in Natural Gas,na
Natural Gas Flaring,na
Other,na
Soda Ash Manufacture,other nonmetallic minerals
Soda Ash Consumption,na
Carbon Dioxide Manufacture,na
Aluminum Manufacture,na
Shale Oil Production,na
Waste Combustion,na
Total,na
