GCAM_industry,Other,Shipments
aluminum and nonferrous metals,liquids,liquids
cement,biomass,liquids
chemicals,liquids,liquids
food processing,biomass,liquids
iron and steel,coal,coal
other manufacturing,liquids,liquids
other nonmetallic minerals,biomass,liquids
pulp paper and wood,biomass,liquids
