GCAM_sector,GCAM_mode,GCAM_fuel,supplysector,tranSubsector,tranTechnology,minicam_energy_input
trn_freight,air,refined liquids,trn_freight,air,air,refined liquids enduse
trn_freight,domestic ship,refined liquids,trn_freight,domestic ship,domestic ship ICE,refined liquids enduse
trn_freight,rail,refined liquids,trn_freight,rail,rail ICE,refined liquids enduse
trn_freight,road,refined liquids,trn_freight,road,truck ICE,refined liquids enduse
trn_passenger,air,refined liquids,trn_passenger,air,air,refined liquids enduse
trn_passenger,rail,electricity,trn_passenger,rail,rail electric,elect_td_trn
trn_passenger,rail,refined liquids,trn_passenger,rail,rail ICE,refined liquids enduse
trn_pass_road,bus,gas,trn_pass_road,bus,bus gas,delivered gas
trn_pass_road,bus,refined liquids,trn_pass_road,bus,bus ICE,refined liquids enduse
trn_pass_road,LDV,refined liquids,trn_pass_road,LDV,LDV ICE,refined liquids enduse
trn_shipping_intl,international ship,refined liquids,trn_shipping_intl,international ship,international ship ICE,refined liquids enduse
