state,DIVISION,LRGSTATE,REGION,subregion9,subregion13,GCAM_subregion
AK,9,0,4,Pacific,Pacific,Pacific
AL,6,0,3,Central-SE,Central-SE,Central-SE
AR,7,0,3,Central-SW,Central-SW,Central-SW
AZ,8,0,4,Mountain,Mountain,Mountain
CA,9,2,4,Pacific,California,California
CO,8,0,4,Mountain,Mountain,Mountain
CT,1,0,1,New England,New England,New England
DC,5,0,3,Atlantic-S,Atlantic-S,Atlantic-S
DE,5,0,3,Atlantic-S,Atlantic-S,Atlantic-S
FL,5,4,3,Atlantic-S,Florida,Florida
GA,5,0,3,Atlantic-S,Atlantic-S,Atlantic-S
HI,9,0,4,Pacific,Pacific,Pacific
IA,4,0,2,Central-NW,Central-NW,Central-NW
ID,8,0,4,Mountain,Mountain,Mountain
IL,3,0,2,Central-NE,Central-NE,Central-NE
IN,3,0,2,Central-NE,Central-NE,Central-NE
KS,4,0,2,Central-NW,Central-NW,Central-NW
KY,6,0,3,Central-SE,Central-SE,Central-SE
LA,7,0,3,Central-SW,Central-SW,Central-SW
MA,1,0,1,New England,New England,New England
MD,5,0,3,Atlantic-S,Atlantic-S,Atlantic-S
ME,1,0,1,New England,New England,New England
MI,3,0,2,Central-NE,Central-NE,Central-NE
MN,4,0,2,Central-NW,Central-NW,Central-NW
MO,4,0,2,Central-NW,Central-NW,Central-NW
MS,6,0,3,Central-SE,Central-SE,Central-SE
MT,8,0,4,Mountain,Mountain,Mountain
NC,5,0,3,Atlantic-S,Atlantic-S,Atlantic-S
ND,4,0,2,Central-NW,Central-NW,Central-NW
NE,4,0,2,Central-NW,Central-NW,Central-NW
NH,1,0,1,New England,New England,New England
NJ,2,0,1,Atlantic-N,Atlantic-N,Atlantic-N
NM,8,0,4,Mountain,Mountain,Mountain
NV,8,0,4,Mountain,Mountain,Mountain
NY,2,1,1,Atlantic-N,New York,Atlantic-N
OH,3,0,2,Central-NE,Central-NE,Central-NE
OK,7,0,3,Central-SW,Central-SW,Central-SW
OR,9,0,4,Pacific,Pacific,Pacific
PA,2,0,1,Atlantic-N,Atlantic-N,Atlantic-N
RI,1,0,1,New England,New England,New England
SC,5,0,3,Atlantic-S,Atlantic-S,Atlantic-S
SD,4,0,2,Central-NW,Central-NW,Central-NW
TN,6,0,3,Central-SE,Central-SE,Central-SE
TX,7,3,3,Central-SW,Texas,Texas
UT,8,0,4,Mountain,Mountain,Mountain
VA,5,0,3,Atlantic-S,Atlantic-S,Atlantic-S
VT,1,0,1,New England,New England,New England
WA,9,0,4,Pacific,Pacific,Pacific
WI,3,0,2,Central-NE,Central-NE,Central-NE
WV,5,0,3,Atlantic-S,Atlantic-S,Atlantic-S
WY,8,0,4,Mountain,Mountain,Mountain
