# List of GCAM technologies mapped to intermediate GCAM sectors / fuels / services and to BEND technologies,,,,,,,,,,,
gcam_consumer,supplysector,subsector,technology,minicam_energy_input,GCAM_sector,GCAM_fuel,service,BEND_sector,BEND_service,BEND_fuel,BEND_technology
resid,resid heating,biomass,wood furnace,delivered biomass,resid,biomass,resid heating,Residential,Heating,Fossil,Fossil
resid,resid heating,coal,coal furnace,delivered coal,resid,coal,resid heating,Residential,Heating,Fossil,Fossil
resid,resid heating,electricity,electric furnace,elect_td_bld,resid,electricity,resid heating,Residential,Heating,Electricity,Direct Fired
resid,resid heating,electricity,electric heat pump,elect_td_bld,resid,electricity,resid heating,Residential,Heating,Electricity,Heat Pump
resid,resid heating,electricity,electric heat pump hi-eff,elect_td_bld,resid,electricity,resid heating,Residential,Heating,Electricity,Heat Pump
resid,resid heating,gas,gas furnace,delivered gas,resid,gas,resid heating,Residential,Heating,Fossil,Fossil
resid,resid heating,gas,gas furnace hi-eff,delivered gas,resid,gas,resid heating,Residential,Heating,Fossil,Fossil
resid,resid heating,refined liquids,fuel furnace,refined liquids enduse,resid,refined liquids,resid heating,Residential,Heating,Fossil,Fossil
resid,resid heating,refined liquids,fuel furnace hi-eff,refined liquids enduse,resid,refined liquids,resid heating,Residential,Heating,Fossil,Fossil
resid,resid cooling,electricity,air conditioning,elect_td_bld,resid,electricity,resid cooling,Residential,Cooling,Electricity,Air Conditioning
resid,resid cooling,electricity,air conditioning hi-eff,elect_td_bld,resid,electricity,resid cooling,Residential,Cooling,Electricity,Air Conditioning
resid,resid hot water,electricity,electric resistance water heater,elect_td_bld,resid,electricity,resid hot water,Residential,Hot Water Heating,Electricity,Electric Water Heater
resid,resid hot water,electricity,electric resistance water heater hi-eff,elect_td_bld,resid,electricity,resid hot water,Residential,Hot Water Heating,Electricity,Electric Water Heater
resid,resid hot water,electricity,electric heat pump water heater,elect_td_bld,resid,electricity,resid hot water,Residential,Hot Water Heating,Electricity,Electric Water Heater
resid,resid hot water,gas,gas water heater,delivered gas,resid,gas,resid hot water,Residential,Hot Water Heating,Fossil,Fossil
resid,resid hot water,gas,gas water heater hi-eff,delivered gas,resid,gas,resid hot water,Residential,Hot Water Heating,Fossil,Fossil
resid,resid hot water,refined liquids,fuel water heater,refined liquids enduse,resid,refined liquids,resid hot water,Residential,Hot Water Heating,Fossil,Fossil
resid,resid hot water,refined liquids,fuel water heater hi-eff,refined liquids enduse,resid,refined liquids,resid hot water,Residential,Hot Water Heating,Fossil,Fossil
resid,resid lighting,electricity,incandescent,elect_td_bld,resid,electricity,resid lighting,Residential,Lighting,Electricity,Electric Lighting
resid,resid lighting,electricity,fluorescent,elect_td_bld,resid,electricity,resid lighting,Residential,Lighting,Electricity,Electric Lighting
resid,resid lighting,electricity,solid state,elect_td_bld,resid,electricity,resid lighting,Residential,Lighting,Electricity,Electric Lighting
resid,resid other appliances,electricity,electricity,elect_td_bld,resid,electricity,resid other,Residential,Other,Electricity,Electricity
resid,resid appliances,electricity,electric appliances,elect_td_bld,resid,electricity,resid appliances,Residential,Other,Electricity,Electricity
resid,resid appliances,electricity,electric appliances hi-eff,elect_td_bld,resid,electricity,resid appliances,Residential,Other,Electricity,Electricity
resid,resid appliances,gas,gas appliances,delivered gas,resid,gas,resid appliances,Residential,Other,Fossil,Fossil
resid,resid appliances,refined liquids,fuel appliances,refined liquids enduse,resid,refined liquids,resid appliances,Residential,Other,Fossil,Fossil
resid,resid other,electricity,electricity,elect_td_bld,resid,electricity,resid other,Residential,Other,Electricity,Electricity
resid,resid other,gas,gas,delivered gas,resid,gas,resid other,Residential,Other,Fossil,Fossil
resid,resid other,refined liquids,refined liquids,refined liquids enduse,resid,refined liquids,resid other,Residential,Other,Fossil,Fossil
comm,comm heating,biomass,biomass boiler,delivered biomass,comm,biomass,comm heating,Commercial,Heating,Fossil,Fossil
comm,comm heating,coal,coal,delivered coal,comm,coal,comm heating,Commercial,Heating,Fossil,Fossil
