NAICS_code,industry,GCAM_industry
311,Food,food processing
3112,Grain and Oilseed Milling,na
311221,Wet Corn Milling,na
31131,Sugar Manufacturing,na
3114,Fruit and Vegetable Preserving and Specialty Food ,na
3115,Dairy Product,na
3116,Animal Slaughtering and Processing,na
312,Beverage and Tobacco Products,food processing
3121,Beverages,na
3122,Tobacco ,na
313,Textile Mills,other manufacturing
314,Textile Product Mills,other manufacturing
315,Apparel,other manufacturing
316,Leather and Allied Products,other manufacturing
321,Wood Products,pulp paper and wood
321113,Sawmills,na
3212,"Veneer, Plywood, and Engineered Woods",na
3219,Other Wood Products,na
322,Paper,pulp paper and wood
322110,Pulp Mills,na
322121,"Paper Mills, except Newsprint",na
322122,Newsprint Mills,na
322130,Paperboard Mills,na
323,Printing and Related Support,pulp paper and wood
324,Petroleum and Coal Products,na
324110,Petroleum Refineries,na
324199,Other Petroleum and Coal Products,chemicals
325,Chemicals,chemicals
325110,Petrochemicals,na
325120,Industrial Gases,na
325181,Alkalies and Chlorine,na
325182,Carbon Black ,na
325188,Other Basic Inorganic Chemicals,na
325192,Cyclic Crudes and Intermediates,na
325193,Ethyl Alcohol ,na
325199,Other Basic Organic Chemicals,na
325211,Plastics Materials and Resins,na
325212,Synthetic Rubber,na
325222,Noncellulosic Organic Fibers,na
325311,Nitrogenous Fertilizers,na
325312,Phosphatic Fertilizers,na
3254,Pharmaceuticals and Medicines,na
325412,Pharmaceutical Preparation,na
325992,"Photographic Film, Paper, Plate, and Chemicals",na
326,Plastics and Rubber Products,other manufacturing
327,Nonmetallic Mineral Products,na
327211,Flat Glass,other nonmetallic minerals
327212,Other Pressed and Blown Glass and Glassware,other nonmetallic minerals
327213,Glass Containers,other nonmetallic minerals
327215,Glass Products from Purchased Glass,other nonmetallic minerals
327310,Cements,cement
327410,Lime,other nonmetallic minerals
327420,Gypsum,other nonmetallic minerals
327993,Mineral Wool,other nonmetallic minerals
331,Primary Metals,na
331111,Iron and Steel Mills,iron and steel
331112,Electrometallurgical Ferroalloy Products,iron and steel
3312,Steel Products from Purchased Steel,iron and steel
3313,Alumina and Aluminum,aluminum and nonferrous metals
331314,Secondary Smelting and Alloying of Aluminum,na
331315,"Aluminum Sheet, Plate and Foils",na
331316,Aluminum Extruded Products,na
3314,"Nonferrous Metals, except Aluminum",aluminum and nonferrous metals
3315,Foundries,na
331511,Iron Foundries,iron and steel
331521,Aluminum Die-Casting Foundries,aluminum and nonferrous metals
331524,"Aluminum Foundries, except Die-Casting",aluminum and nonferrous metals
332,Fabricated Metal Products,other manufacturing
333,Machinery,other manufacturing
334,Computer and Electronic Products,other manufacturing
334413,Semiconductors and Related Devices,na
335,"Electrical Equip., Appliances, and Components",other manufacturing
336,Transportation Equipment,other manufacturing
336111,Automobiles,na
336112,Light Trucks and Utility Vehicles,na
3364,Aerospace Product and Parts,na
336411,Aircraft,na
337,Furniture and Related Products,other manufacturing
339,Miscellaneous,other manufacturing
ALL,Total,na
