# File: A_an_subsector.csv,,,,,,,,
# Description: Subsectors of animal production,,,,,,,,
# Original source: NA,,,,,,,,
# ----------,,,,,,,,
supplysector,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function
regional biomass,domestic biomass,-3,start-year,1,share-weight,final-calibration-year,end-year,fixed
regional biomass,imported biomass,-3,start-year,0.5,share-weight,final-calibration-year,end-year,fixed
