# File: A_biocrops_R_AEZ,,,,,,,,,,,,,,
# Description: Sets the name of the bioenergy crop in regions and AEZs,,,,,,,,,,,,,,
# Original source: Patrick Luckow's biomass work,,,,,,,,,,,,,,
region,old_AgSupplySector,old_AgSupplySubsector,old_AgProductionTechnology,old_LandNode2,old_LandNode3,old_LandNode4,old_LandLeaf,AgSupplySector,AgSupplySubsector,AgProductionTechnology,LandNode2,LandNode3,LandNode4,LandLeaf
China,biomass,biomassAEZ13,biomassAEZ13RFD,AgroForest_NonPastureAEZ13,CropLandAEZ13,biomassAEZ13,biomassAEZ13RFD,biomass,willowAEZ13,willowAEZ13RFD,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,willowAEZ13,willowAEZ13RFD
China,biomass,biomassAEZ14,biomassAEZ14RFD,AgroForest_NonPastureAEZ14,CropLandAEZ14,biomassAEZ14,biomassAEZ14RFD,biomass,willowAEZ14,willowAEZ14RFD,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,willowAEZ14,willowAEZ14RFD
China,biomass,biomassAEZ15,biomassAEZ15RFD,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomassAEZ15RFD,biomass,willowAEZ15,willowAEZ15RFD,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15,willowAEZ15RFD
China,biomass,biomassAEZ16,biomassAEZ16RFD,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomassAEZ16RFD,biomass,willowAEZ16,willowAEZ16RFD,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16,willowAEZ16RFD
China,biomass,biomassAEZ17,biomassAEZ17RFD,AgroForest_NonPastureAEZ17,CropLandAEZ17,biomassAEZ17,biomassAEZ17RFD,biomass,willowAEZ17,willowAEZ17RFD,AgroForest_NonPastureAEZ17,AllForestLandAEZ17,willowAEZ17,willowAEZ17RFD
Eastern Europe,biomass,biomassAEZ08,biomassAEZ08RFD,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,biomassAEZ08RFD,biomass,willowAEZ08,willowAEZ08RFD,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,willowAEZ08,willowAEZ08RFD
Eastern Europe,biomass,biomassAEZ09,biomassAEZ09RFD,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,biomassAEZ09RFD,biomass,willowAEZ09,willowAEZ09RFD,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,willowAEZ09,willowAEZ09RFD
Eastern Europe,biomass,biomassAEZ10,biomassAEZ10RFD,AgroForest_NonPastureAEZ10,CropLandAEZ10,biomassAEZ10,biomassAEZ10RFD,biomass,willowAEZ10,willowAEZ10RFD,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,willowAEZ10,willowAEZ10RFD
Eastern Europe,biomass,biomassAEZ11,biomassAEZ11RFD,AgroForest_NonPastureAEZ11,CropLandAEZ11,biomassAEZ11,biomassAEZ11RFD,biomass,willowAEZ11,willowAEZ11RFD,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,willowAEZ11,willowAEZ11RFD
Eastern Europe,biomass,biomassAEZ12,biomassAEZ12RFD,AgroForest_NonPastureAEZ12,CropLandAEZ12,biomassAEZ12,biomassAEZ12RFD,biomass,willowAEZ12,willowAEZ12RFD,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,willowAEZ12,willowAEZ12RFD
