# File: A53.global_elec_gen_CCS_EFs.csv
# Title: Emission factors (EFs) for carbon capture and storage (CCS) electric generation technologies
# Units: kt/PJ
# Source: Derived from Cost and Performance Baseline for Fossil Energy Plants Volume 1 Bituminous Coal and Natural Gas and Electricity (NETL Report October 2022)
# Description: Global emission factors for electric generation technologies with CCS. NSPS must start in future model periods.
# Column types: cccccnnnnnnnnc
# ---------
region,supplysector,subsector,stub.technology,Non.CO2,pcGDP_start_NSPS,NSPS_start_year,NSPS_em_coeff,pcGDP_start_retrofit,retrofit_start_year,retrofit_time,retrofit_vintage,retrofit_em_coeff,Notes and sources
All,electricity,coal,coal (conv pul CCS),SO2,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All,electricity,coal,coal (conv pul CCS),NOx,NA,2025,0.031384227,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All,electricity,coal,coal (conv pul CCS),BC,NA,2025,0.000158641,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All,electricity,coal,coal (conv pul CCS),OC,NA,2025,0.000189596,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All,electricity,coal,coal (conv pul CCS),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All,electricity,coal,coal (conv pul CCS),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All,electricity,coal,coal (IGCC CCS),SO2,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All,electricity,coal,coal (IGCC CCS),NOx,NA,2025,0.021066125,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All,electricity,coal,coal (IGCC CCS),BC,NA,2025,0.000123388,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All,electricity,coal,coal (IGCC CCS),OC,NA,2025,0.000147463,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All,electricity,coal,coal (IGCC CCS),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All,electricity,coal,coal (IGCC CCS),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All,electricity,gas,gas (CC CCS),SO2,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All,electricity,gas,gas (CC CCS),NOx,NA,2025,0.001289763,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All,electricity,gas,gas (CC CCS),BC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All,electricity,gas,gas (CC CCS),OC,NA,2025,0,NA,NA,NA,NA,NA,BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using table Bond et al (Table 5); for all natural gas
All,electricity,gas,gas (CC CCS),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All,electricity,gas,gas (CC CCS),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
