Notes,,,,,,,,,,,,,
"CCS Techs at botton, where needed, values and names are linked to base tech values.",,,,,,,,,,,,,
"For the phased shutdown rate, MAW used a grandparent header to change Stephen's initial table with a row for each region and period",,,,,,,,,,,,,
added a table to add profit-shutdown decider tag to the techs listed in that table,,,,,,,,,,,,,
added table to put in the GHG object name =CO2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Not_Read_in,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
10,,,,,,,,,,,,,
Define supplysector,,,,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,,,,,,,,,
ALL,electricity,EJ,EJ,1975$/GJ,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
11,,,,,,,,,,,,,
,,,,,,,,,,,,,
region,supplysector,has-trial-supply-market,,,,,,,,,,,
ALL,electricity,1,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
12,,,,,,,,,,,,,
,,,,,,,,,,,,,
region,supplysector,object-meta-info,value,,,,,,,,,,
ALL,electricity,electricity-reserve-margin,0.15,,,,,,,,,,
ALL,electricity,average-grid-capacity-factor,0.6,,,,,,,,,,
,,,,,,,,,,,,,
subsector logit exponent,,,,,,,,,,,,,
Not_Read_in,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
13,,,,,,,,,,,,,
,,1975 fillout,,,,,,,,,,,
region,supplysector,logit-exponent,,,,,,,,,,,
ALL,electricity,-3,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"subsector uses calibation shareweights, technologies do not",,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
14,,,,,,,,,,,,,
,,,share-weight,interpolation-rule,,,,,,,,,
region,supplysector,subsector,1975 fillout,apply-to,from-year,to-year,interpolation-function,,,,,,
ALL,electricity,coal,1,share-weight,2005,2095,fixed,,,,,,
ALL,electricity,gas,1,share-weight,2005,2095,fixed,,,,,,
ALL,electricity,oil,1,share-weight,2005,2095,fixed,,,,,,
ALL,electricity,biomass ,1,share-weight,2050,2095,linear,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
15,,,,,,,,,,,,,
,,,share-weight,,,,,,,,,,
region,supplysector,subsector,2020,2035,2050,2065,2080,2095,,,,,
ALL,electricity,coal,1,1,1,1,1,1,,,,,
ALL,electricity,gas,1,1,1,1,1,1,,,,,
ALL,electricity,oil,1,1,1,1,1,1,,,,,
ALL,electricity,biomass ,0.333,1,1,1,1,1,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
150,,,,,,,,,,,,,
,,,share-weight,,,,,,,,,,
region,supplysector,subsector,2020,2035,2050,2065,2080,2095,,,,,
Middle East,electricity,biomass ,0.05,0.15,0.25,0.25,0.25,0.25,,,,,
,,,,,,,,,,,,,
Not_Read_in,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
40,,,,,,,,,,,,,
