supplysector,multiplier
resid heating,1
resid cooling,1.1
resid hot water,1.1
resid lighting,1.1
resid appliances,1.2
resid other appliances,1.3
resid other,1.3
comm heating,1
comm cooling,1.1
comm hot water,1.1
comm ventilation,1
comm cooking,1.1
comm lighting,1.1
comm refrigeration,1.2
comm office,1.3
comm other,1.3
comm non-building,1.3
