id,country,HDD,CDD
1,Russia,9591,831.1
2,Canada,7972.9,471.3
3,United States,4789.2,1700.1
4,China,4691.7,1597.4
5,Brazil,725.4,2465.1
6,Australia,2714.3,1032.4
7,India,568.6,5542.9
8,Argentina,2719.6,1698.4
9,Kazakhstan,8155.1,1216
10,Sudan,109.7,6973.7
11,Algeria,2581.6,1974.4
12,Congo DRC,207.4,3688.2
13,Indonesia,0,4256.5
14,Mexico,2561.6,1475.6
15,Saudi Arabia,547.2,5287.7
16,Libya,1020.5,3370.2
17,Iran,3923.9,2217.2
18,Mongolia,13377.4,468.3
19,Peru,2213.1,1257.5
20,Chad,60.8,7071.4
21,Angola,464.4,3290.5
22,Mali,76.4,7160.1
23,South Africa,2107.4,1752.3
24,Niger,128.9,7525
25,Colombia,1090.3,2194.9
26,Ethiopia,1380.5,2081.6
27,Bolivia,4509.7,962.8
28,Mauritania,55.3,7106.7
29,Egypt,1024.7,3870.3
30,Venezuela,63.9,4149.1
31,Nigeria,68.7,5938.5
32,Tanzania,381,2751
33,Namibia,1232.8,2915.1
34,Chile,4065.6,807.5
35,Pakistan,1518.1,5512
36,Turkey,3903.7,1430.2
37,Mozambique,306.7,3702.1
38,Zambia,659,2659
39,Myanmar,308.7,4909.3
40,Morocco,1858.2,1945.9
41,Somalia,84.1,5760.3
42,Afghanistan,5391.1,1446.6
43,Central African Republic,22.1,5036
44,Madagascar,1013.9,2020.4
45,Ukraine,6614.2,1094.6
46,Kenya,1003.5,1882.2
47,Greenland,,
48,Botswana,1236.5,3194.3
49,France,5866,486.3
50,Thailand,63.8,5708.9
51,Spain,4336.1,1206.5
52,Papua New Guinea,561.1,2770
53,Turkmenistan,3484.7,3068
54,Cameroon,144.6,4041
55,Sweden,8409.3,214.7
56,Iraq,1145.6,5972.4
57,Yemen,676.8,4548.7
58,Uzbekistan,4108.7,2320.3
59,Japan,4715,1196.1
60,Paraguay,942.4,3221.6
61,Zimbabwe,1091,2537.3
62,Philippines,11.6,4711
63,Germany,6868.7,396.4
64,Norway,9632.4,54.2
65,Malaysia,1.9,5116
66,Finland,9617.6,366.1
67,Congo,1.3,4566.6
68,Vietnam,322,4508.2
69,Cote dIvoire,7.8,5368.2
70,Oman,547.7,5744.2
71,Italy,4992.8,904.8
72,Poland,7175.5,472.6
73,New Zealand,2855.7,325.3
74,Burkina Faso,48,7181.2
75,United Kingdom,6364.2,120.9
76,Gabon,0.9,4774.5
77,Ecuador,1293.6,2476.2
78,Guinea,79.6,4834.5
79,Ghana,5.1,5818.1
80,Romania,5758.3,1007.1
81,Laos,402.1,3967.5
82,Uganda,266.4,2927.7
83,Guyana,3,4756.4
84,Belarus,7954.8,660.4
85,Senegal,24.6,6584.6
86,Kyrgyzstan,7817.1,552.8
87,Syria,1844.9,2958.4
88,Cambodia,3,6052.5
89,Uruguay,2199,1453.1
90,Greece,3282.9,1521.7
91,Tunisia,1912.8,2254.7
92,Suriname,0.1,5535.8
93,Nepal,1747,3546
94,Bangladesh,214.7,5390.7
95,Tajikistan,5705.3,1563.5
96,Cuba,161.2,4355.7
97,North Korea,7716.9,811.2
98,Eritrea,296.4,4683
99,Nicaragua,29.4,4770.8
100,Honduras,306.2,2679.8
101,Benin,36.2,6317.3
102,South Korea,6005.5,1067.3
103,Bulgaria,5867.6,727.1
104,Guatemala,1169.4,1915.3
105,Iceland,9129.7,1.9
106,Serbia and Montenegro,5466.7,816.8
107,Malawi,605.9,2687.5
108,Liberia,3.9,4645.7
109,Portugal,3301.4,971.7
110,Hungary,5987,680.5
111,Jordan,1481.4,3198.2
112,Azerbaijan,4363.8,1584.2
113,Panama,17.8,4761.6
114,French Guiana,0,4956.3
115,Austria,7523.7,374.4
116,United Arab Emirates,159.3,6955.3
117,Czech Republic,7501.5,343.8
118,Ireland,6212.3,15.3
119,Sierra Leone,20.4,4889.9
120,Sri Lanka,14.7,4824.3
121,Georgia,5914.9,911.5
122,Svalbard,,
123,Latvia,8241,506.3
124,Lithuania,8099.1,460.8
125,Croatia,5863.4,646
126,Togo,18.6,6098.5
127,Costa Rica,169.6,2827.2
128,Denmark,7096.8,226.4
129,Dominican Republic,114.3,3576.9
130,Bosnia & Herzegovina,6280.4,560
131,Slovakia,6955,468.9
132,Estonia,8669.5,440.2
133,Solomon Is.,0,5859.2
134,Switzerland,8147.4,249.2
135,Taiwan,662.1,3110.4
136,Bhutan,2969.1,866.1
137,Netherlands,6049.3,295.4
138,Guinea-Bissau,29.7,6256.1
139,Moldova,6021,1041.2
140,Haiti,22.2,4808.9
141,Belgium,6171.8,369
142,Lesotho,4322.3,676
143,Albania,3396.9,1012
144,Fiji,3.1,4373.6
145,Armenia,7248.7,723.2
146,The Bahamas,104.1,4371
147,Equatorial Guinea,0,3991.7
148,Burundi,935.3,1441.1
149,Belize,142.3,4056.8
150,Macedonia,5850.1,693.3
151,Rwanda,1197.6,1116.2
152,New Caledonia,38.3,3109.3
153,Djibouti,42.1,6334.8
154,Israel,815.2,2947.1
155,El Salvador,75.4,4012.3
156,Slovenia,6854.8,433.9
157,Vanuatu,0,5323.4
158,Falkland Is.,,
159,French Polynesia,0,5615.1
160,Kuwait,643.1,6842.7
161,Swaziland,1345.3,1921
162,Timor-Leste,0,5345.6
163,Jamaica,10.4,4387.9
164,Qatar,193.5,6948.6
165,The Gambia,20,6252.2
166,Cyprus,1302.3,2611.9
167,Lebanon,1508.9,2011.7
168,Puerto Rico,0.3,5092.8
169,Marshall Is.,,
170,Kiribati,,
171,Cape Verde,0,4555.3
172,Trinidad & Tobago,0,6193
173,Brunei,0,5301
174,Occupied Palestinian Territory,1035.9,3064.9
175,Maldives,,
176,Samoa,0,5807.1
177,Tonga,,
178,Guadeloupe,0,6341.5
179,Reunion,34.5,2383.6
180,Mauritius,,
181,Faroe Is.,,
182,Comoros,0,5524.9
183,Micronesia,,
184,Luxembourg,7061.1,289.5
185,Turks & Caicos Is.,,
186,Cook Is.,,
187,Hong Kong,327.9,3709.3
188,Martinique,0,6304.1
189,Netherlands Antilles,,
190,Northern Mariana Is.,,
192,Palau,,
193,St. Vincent & the Grenadines,,
194,Dominica,,
195,Bahrain,104.7,6752.7
197,Guam,,
198,Singapore,0,5965.8
199,Antigua & Barbuda,,
202,Isle of Man,,
203,St. Helena,,
205,Mayotte,,
206,Grenada,,
208,American Samoa,,
210,Tuvalu,,
211,St. Pierre & Miquelon,,
219,Channel Islands,,
220,Anguilla,,
222,Western Sahara,475,4125.7
