NTAXMODE,,
INPUT_TABLE,,
Variable ID,,
75,,
,,NTAXMODE(L)
REGION,NTAXMODE,
1,4,
2,4,
3,4,
4,4,
5,4,
6,4,
7,4,
8,4,
9,4,
10,4,
11,4,,,,,,
12,4,,,,,,
13,4,,,,,,
14,4,,,,,,


CEMTARG,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
78,,ID = 78 is CO2 target,,,,,
,,"CEMTARGS(L,M)",,,,,
REGION,2005,2020,2035,2050,2065,2080,2095
1,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
2,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
3,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
4,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
5,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
6,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
7,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
8,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
9,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
10,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
11,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
12,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
13,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292
14,-1,798.2500846,797.7354293,728.2085709,650.4562747,581.2250027,512.3587292



,"9,948","11,176","11,168","10,195","9,106","8,137",7173.022208

IOTHGASTOG,,,,,,,
INPUT_TABLE
Variable ID
701
IOTHGASTOG
"0 = CO2 Only, 1 = TCE, 2 = CO2 constraint (taxes apply to CH4&N2O)"
1


EoF
