Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1020,"Milk, whole fresh goat",1999,2400000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1020,"Milk, whole fresh goat",2000,2200000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1020,"Milk, whole fresh goat",2001,1900000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1020,"Milk, whole fresh goat",2002,2300000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1020,"Milk, whole fresh goat",2003,2200000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1020,"Milk, whole fresh goat",2004,2240000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1020,"Milk, whole fresh goat",2005,2250000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1130,"Milk, whole fresh camel",1996,22000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1130,"Milk, whole fresh camel",1997,24000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1130,"Milk, whole fresh camel",1998,27000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1130,"Milk, whole fresh camel",1999,27000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1130,"Milk, whole fresh camel",2000,22000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1130,"Milk, whole fresh camel",2001,20000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1130,"Milk, whole fresh camel",2002,24600,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1130,"Milk, whole fresh camel",2003,26000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1130,"Milk, whole fresh camel",2004,29600,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,1130,"Milk, whole fresh camel",2005,25600,F,FAO estimate
QL,Livestock Primary,3,Albania,5318,Milk Animals,882,"Milk, whole fresh cow",1996,488000,,Official data
