# File: EDGAR_HFC125.csv
# Title: EDGAR F fases trend
# Units: Kt
# Source: EDGAR v4.2
# Description: EDGAR inventory of F gases (1970 - 2008)
IPCC-Annex,World Region,ISO_A3,Name,IPCC,IPCC_description,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Annex_I,Canada,CAN,Canada,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.70E-04,8.90E-04,2.65E-03,6.98E-03,1.63E-02,3.35E-02,6.59E-02,1.14E-01,1.80E-01,2.61E-01,3.49E-01,4.39E-01,5.41E-01,6.51E-01,8.10E-01,9.20E-01,1.03E+00
Annex_I,USA,USA,United States,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,2.68E-03,1.40E-02,4.13E-02,1.09E-01,2.57E-01,5.28E-01,1.04E+00,1.77E+00,2.78E+00,4.02E+00,5.32E+00,6.69E+00,8.27E+00,9.93E+00,1.23E+01,1.40E+01,1.57E+01
Non-Annex_I,Mexico,MEX,Mexico,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.39E-05,7.10E-05,2.11E-04,4.75E-04,1.25E-03,2.85E-03,5.97E-03,1.06E-02,1.98E-02,2.93E-02,4.00E-02,5.20E-02,6.89E-02,8.74E-02,1.06E-01,1.22E-01,1.37E-01
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,5.63E-08,3.15E-07,1.00E-06,2.44E-06,6.28E-06,1.37E-05,2.82E-05,4.98E-05,7.97E-05,1.15E-04,1.54E-04,2.02E-04,2.65E-04,3.36E-04,4.08E-04,4.66E-04,5.25E-04
Non-Annex_I,Rest Central America,CRI,Costa Rica,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,4.17E-07,2.31E-06,6.87E-06,1.83E-05,4.61E-05,1.06E-04,2.37E-04,4.53E-04,8.16E-04,1.19E-03,1.62E-03,2.20E-03,2.81E-03,3.60E-03,4.38E-03,5.01E-03,5.65E-03
Non-Annex_I,Rest Central America,CUB,Cuba,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.31E-06,4.86E-06,1.37E-05,3.62E-05,9.34E-05,1.90E-04,3.62E-04,6.52E-04,1.09E-03,1.92E-03,2.94E-03,4.25E-03,5.70E-03,7.39E-03,9.08E-03,1.05E-02,1.19E-02
Non-Annex_I,Rest Central America,GTM,Guatemala,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,3.84E-06,2.03E-05,6.02E-05,1.64E-04,3.96E-04,8.46E-04,1.74E-03,3.04E-03,5.10E-03,8.14E-03,1.18E-02,1.60E-02,2.13E-02,2.80E-02,3.39E-02,3.90E-02,4.41E-02
Non-Annex_I,Rest Central America,JAM,Jamaica,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,5.56E-07,3.26E-06,9.25E-06,2.43E-05,5.64E-05,1.11E-04,2.12E-04,3.56E-04,5.77E-04,9.09E-04,1.30E-03,1.78E-03,2.31E-03,2.95E-03,3.62E-03,4.15E-03,4.69E-03
Non-Annex_I,Rest Central America,KNA,Saint Kitts and Nevis,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.34E-08,7.58E-08,2.34E-07,6.40E-07,1.79E-06,4.22E-06,8.61E-06,1.60E-05,2.96E-05,4.87E-05,7.16E-05,9.85E-05,1.47E-04,2.09E-04,2.42E-04,2.81E-04,3.20E-04
Non-Annex_I,Rest Central America,SLV,El Salvador,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,8.61E-09,5.01E-08,1.60E-07,4.61E-07,2.47E-05,9.21E-05,2.48E-04,5.16E-04,1.34E-03,1.92E-03,2.52E-03,3.13E-03,3.76E-03,4.48E-03,5.59E-03,6.32E-03,7.06E-03
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,4.20E-09,2.10E-08,5.54E-08,1.42E-07,6.66E-07,1.93E-06,4.85E-06,9.49E-06,2.23E-05,3.29E-05,4.55E-05,5.97E-05,8.74E-05,1.11E-04,1.34E-04,1.54E-04,1.74E-04
Non-Annex_I,Brazil,BRA,Brazil,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,2.23E-07,1.19E-06,3.62E-06,9.69E-06,1.16E-04,3.87E-04,9.40E-04,1.82E-03,4.77E-03,1.36E-02,2.72E-02,4.47E-02,7.23E-02,1.05E-01,1.23E-01,1.45E-01,1.67E-01
Non-Annex_I,Rest South America,ECU,Ecuador,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,7.40E-07,3.62E-06,1.08E-05,2.76E-05,6.58E-05,1.39E-04,2.71E-04,3.84E-04,6.37E-04,1.02E-03,1.46E-03,1.96E-03,2.78E-03,3.64E-03,4.39E-03,5.06E-03,5.73E-03
Non-Annex_I,Rest South America,PER,Peru,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,2.66E-06,1.42E-05,4.91E-05,1.43E-04,3.30E-04,7.19E-04,1.31E-03,2.12E-03,3.33E-03,4.99E-03,7.44E-03,1.02E-02,1.41E-02,1.92E-02,2.28E-02,2.63E-02,2.98E-02
Non-Annex_I,Rest South America,URY,Uruguay,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,4.06E-07,2.13E-06,6.73E-06,1.67E-05,5.24E-05,1.30E-04,2.93E-04,4.93E-04,9.46E-04,1.29E-03,1.38E-03,1.78E-03,2.61E-03,3.44E-03,3.96E-03,4.52E-03,5.08E-03
Non-Annex_I,Rest South America,VEN,Venezuela,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,3.56E-06,1.76E-05,4.62E-05,1.23E-04,2.95E-04,6.73E-04,1.30E-03,1.92E-03,3.48E-03,5.74E-03,6.80E-03,7.72E-03,1.34E-02,1.96E-02,2.18E-02,2.51E-02,2.85E-02
Non-Annex_I,Northern_Africa,DZA,Algeria,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,2.13E-06,9.90E-06,2.64E-05,6.94E-05,1.68E-04,3.34E-04,6.79E-04,1.15E-03,1.87E-03,2.79E-03,3.95E-03,5.50E-03,7.28E-03,9.46E-03,1.15E-02,1.32E-02,1.49E-02
Non-Annex_I,Northern_Africa,EGY,Egypt,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.61E-06,8.27E-06,2.44E-05,6.59E-05,1.75E-04,3.99E-04,8.32E-04,1.55E-03,2.93E-03,4.76E-03,6.98E-03,9.65E-03,1.32E-02,1.79E-02,2.13E-02,2.46E-02,2.80E-02
Non-Annex_I,Western_Africa,COG,Congo,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,2.26E-08,1.07E-07,2.61E-07,7.12E-07,1.92E-06,3.93E-06,8.22E-06,1.28E-05,2.62E-05,5.01E-05,8.45E-05,1.21E-04,1.75E-04,2.69E-04,3.07E-04,3.58E-04,4.09E-04
Non-Annex_I,Western_Africa,GAB,Gabon,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,8.90E-08,4.55E-07,1.33E-06,3.70E-06,9.23E-06,2.00E-05,3.87E-05,5.58E-05,9.05E-05,1.48E-04,2.08E-04,2.85E-04,3.72E-04,4.78E-04,5.85E-04,6.72E-04,7.59E-04
Non-Annex_I,Western_Africa,GHA,Ghana,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,5.86E-08,3.10E-07,8.89E-07,2.36E-06,5.51E-06,1.12E-05,2.21E-05,3.77E-05,5.73E-05,9.77E-05,1.51E-04,2.22E-04,3.18E-04,4.45E-04,5.26E-04,6.10E-04,6.95E-04
Non-Annex_I,Western_Africa,LBR,Liberia,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.38E-08,7.17E-08,2.14E-07,6.03E-07,1.70E-06,4.19E-06,9.90E-06,1.99E-05,3.97E-05,1.02E-04,2.06E-04,3.55E-04,5.49E-04,7.65E-04,9.19E-04,1.08E-03,1.24E-03
Non-Annex_I,Western_Africa,NGA,Nigeria,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,6.63E-07,3.39E-06,9.31E-06,2.42E-05,1.00E-04,2.69E-04,6.11E-04,1.12E-03,2.66E-03,4.29E-03,6.06E-03,9.59E-03,1.35E-02,1.89E-02,2.23E-02,2.58E-02,2.94E-02
Non-Annex_I,Western_Africa,SLE,Sierra Leone,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.63E-08,8.10E-08,2.10E-07,4.31E-07,8.97E-07,1.00E-06,1.60E-06,1.95E-06,1.94E-06,1.08E-05,3.91E-05,8.41E-05,1.57E-04,2.68E-04,2.95E-04,3.50E-04,4.05E-04
Non-Annex_I,Eastern_Africa,COM,Comoros,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.55E-09,7.95E-09,1.94E-08,5.13E-08,9.45E-08,1.71E-07,2.81E-07,4.23E-07,3.46E-07,1.44E-06,3.25E-06,5.70E-06,8.51E-06,1.29E-05,1.51E-05,1.78E-05,2.04E-05
Non-Annex_I,Eastern_Africa,ETH,Ethiopia,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.90E-08,1.19E-07,3.41E-07,9.31E-07,4.38E-06,1.19E-05,2.35E-05,4.75E-05,1.12E-04,1.86E-04,2.41E-04,2.77E-04,4.19E-04,5.82E-04,6.70E-04,7.70E-04,8.70E-04
Non-Annex_I,Eastern_Africa,MDG,Madagascar,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,8.28E-08,4.21E-07,1.15E-06,2.96E-06,7.09E-06,1.51E-05,3.06E-05,5.44E-05,9.49E-05,1.53E-04,1.52E-04,2.26E-04,3.01E-04,3.86E-04,4.59E-04,5.24E-04,5.90E-04
Non-Annex_I,Eastern_Africa,MUS,Mauritius,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,8.58E-08,4.75E-07,1.44E-06,3.93E-06,9.90E-06,2.18E-05,4.57E-05,8.26E-05,1.39E-04,2.36E-04,3.48E-04,4.85E-04,6.69E-04,8.96E-04,1.08E-03,1.24E-03,1.41E-03
Non-Annex_I,Eastern_Africa,RWA,Rwanda,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.63E-07,6.00E-07,3.60E-07,1.55E-06,3.86E-06,8.96E-06,1.89E-05,3.52E-05,4.86E-05,1.59E-04,4.21E-04,8.31E-04,1.54E-03,2.56E-03,2.83E-03,3.36E-03,3.88E-03
