# File: EDGAR_HFC152a.csv
# Title: EDGAR F gases trend
# Units: Kt
# Source: EDGAR v4.2
# Description: EDGAR inventory of F gases (1970 - 2008)
IPCC-Annex,World Region,ISO_A3,Name,IPCC,IPCC_description,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Annex_I,Canada,CAN,Canada,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,4.25E-04,4.33E-02,8.63E-02,1.32E-01,1.81E-01,2.56E-01,3.05E-01,3.54E-01,4.05E-01,4.64E-01,5.32E-01,5.56E-01,6.50E-01,7.17E-01,7.54E-01,7.88E-01,8.52E-01,9.03E-01,9.54E-01
Annex_I,USA,USA,United States,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,6.53E-03,6.75E-01,1.36E+00,2.09E+00,2.82E+00,3.99E+00,4.81E+00,5.58E+00,6.39E+00,7.25E+00,8.22E+00,8.55E+00,9.90E+00,1.09E+01,1.15E+01,1.20E+01,1.30E+01,1.37E+01,1.45E+01
Non-Annex_I,Mexico,MEX,Mexico,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,2.66E-05,2.74E-03,5.45E-03,8.11E-03,1.11E-02,1.34E-02,1.80E-02,2.31E-02,2.82E-02,3.32E-02,4.50E-02,4.79E-02,5.72E-02,6.54E-02,7.38E-02,8.13E-02,8.78E-02,9.50E-02,1.02E-01
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,1.97E-07,2.01E-05,3.95E-05,6.45E-05,9.42E-05,1.23E-04,1.63E-04,1.99E-04,2.39E-04,2.81E-04,3.25E-04,3.37E-04,3.95E-04,4.55E-04,5.09E-04,5.62E-04,6.01E-04,6.49E-04,6.96E-04
Non-Annex_I,Rest Central America,CRI,Costa Rica,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,7.51E-07,7.51E-05,1.63E-04,2.64E-04,3.61E-04,5.16E-04,6.65E-04,8.58E-04,1.12E-03,1.42E-03,1.86E-03,1.94E-03,2.31E-03,2.76E-03,3.01E-03,3.35E-03,3.62E-03,3.92E-03,4.23E-03
Non-Annex_I,Rest Central America,CUB,Cuba,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,4.72E-06,3.78E-04,5.76E-04,6.23E-04,8.07E-04,1.14E-03,1.51E-03,1.73E-03,1.91E-03,2.30E-03,2.77E-03,3.53E-03,4.72E-03,5.98E-03,6.84E-03,7.71E-03,8.80E-03,9.80E-03,1.08E-02
Non-Annex_I,Rest Central America,GTM,Guatemala,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,7.19E-06,7.37E-04,1.50E-03,2.32E-03,3.16E-03,4.64E-03,5.71E-03,6.88E-03,8.24E-03,9.55E-03,1.16E-02,1.33E-02,1.69E-02,2.01E-02,2.29E-02,2.61E-02,2.87E-02,3.16E-02,3.45E-02
Non-Annex_I,Rest Central America,JAM,Jamaica,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,1.06E-06,1.11E-04,2.16E-04,3.70E-04,4.83E-04,6.83E-04,8.09E-04,8.96E-04,9.96E-04,1.11E-03,1.30E-03,1.48E-03,1.85E-03,2.23E-03,2.46E-03,2.73E-03,3.03E-03,3.32E-03,3.61E-03
Non-Annex_I,Rest Central America,KNA,Saint Kitts and Nevis,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,7.90E-09,7.84E-07,1.60E-06,2.64E-06,3.75E-06,5.50E-06,7.85E-06,1.05E-05,1.24E-05,1.53E-05,2.05E-05,2.43E-05,3.12E-05,3.78E-05,4.79E-05,5.93E-05,6.36E-05,7.11E-05,7.87E-05
Non-Annex_I,Rest Central America,SLV,El Salvador,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,1.45E-08,1.52E-06,3.36E-06,5.72E-06,8.36E-06,1.30E-05,3.55E-04,7.47E-04,1.17E-03,1.62E-03,3.04E-03,3.13E-03,3.60E-03,3.93E-03,4.02E-03,4.16E-03,4.46E-03,4.68E-03,4.89E-03
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,7.33E-09,7.21E-07,1.57E-06,2.30E-06,2.78E-06,3.84E-06,9.19E-06,1.50E-05,2.19E-05,2.85E-05,4.85E-05,5.15E-05,6.23E-05,7.17E-05,8.96E-05,9.84E-05,1.07E-04,1.17E-04,1.27E-04
Non-Annex_I,Brazil,BRA,Brazil,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,4.83E-07,4.72E-05,8.72E-05,1.36E-04,1.90E-04,2.73E-04,1.67E-03,3.15E-03,4.44E-03,5.72E-03,1.08E-02,2.23E-02,3.89E-02,5.61E-02,7.74E-02,9.78E-02,1.12E-01,1.29E-01,1.47E-01
Non-Annex_I,Rest South America,ECU,Ecuador,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,1.45E-06,1.52E-04,2.89E-04,4.14E-04,5.67E-04,7.78E-04,9.48E-04,1.13E-03,1.28E-03,1.20E-03,1.45E-03,1.67E-03,2.09E-03,2.47E-03,2.98E-03,3.39E-03,3.72E-03,4.11E-03,4.49E-03
Non-Annex_I,Rest South America,PER,Peru,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,5.70E-06,5.65E-04,1.04E-03,1.63E-03,2.58E-03,4.03E-03,4.77E-03,5.84E-03,6.17E-03,6.67E-03,7.58E-03,8.16E-03,1.06E-02,1.29E-02,1.51E-02,1.79E-02,1.93E-02,2.14E-02,2.35E-02
Non-Annex_I,Rest South America,URY,Uruguay,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,7.06E-07,7.32E-05,1.59E-04,2.44E-04,3.54E-04,4.71E-04,7.57E-04,1.06E-03,1.39E-03,1.55E-03,2.16E-03,2.11E-03,1.98E-03,2.24E-03,2.80E-03,3.21E-03,3.14E-03,3.34E-03,3.54E-03
Non-Annex_I,Rest South America,VEN,Venezuela,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,6.02E-06,6.75E-04,1.39E-03,2.01E-03,2.42E-03,3.47E-03,4.25E-03,5.46E-03,6.15E-03,6.04E-03,7.91E-03,9.39E-03,9.73E-03,9.70E-03,1.44E-02,1.83E-02,1.81E-02,1.99E-02,2.17E-02
Non-Annex_I,Northern_Africa,DZA,Algeria,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,6.12E-06,5.66E-04,1.08E-03,1.47E-03,1.80E-03,2.54E-03,3.15E-03,3.52E-03,4.16E-03,4.70E-03,5.51E-03,5.92E-03,7.32E-03,8.96E-03,1.01E-02,1.14E-02,1.25E-02,1.37E-02,1.49E-02
Non-Annex_I,Northern_Africa,EGY,Egypt,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,4.14E-06,4.03E-04,8.15E-04,1.23E-03,1.66E-03,2.41E-03,3.28E-03,4.20E-03,5.10E-03,6.30E-03,8.63E-03,1.01E-02,1.30E-02,1.57E-02,1.84E-02,2.16E-02,2.36E-02,2.62E-02,2.88E-02
