# File: EDGAR_HFC365mfc.csv
# Title: EDGAR F gases trend
# Units: Kt
# Source: EDGAR v4.2
# Description: EDGAR inventory of F gases (1970 - 2008)
IPCC-Annex,World Region,ISO_A3,Name,IPCC,IPCC_description,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Annex_I,Canada,CAN,Canada,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28E-03,1.25E-02,2.74E-02,3.16E-02,4.36E-02,5.16E-02,5.96E-02
Annex_I,USA,USA,United States,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47E-02,1.90E-01,4.18E-01,4.82E-01,6.65E-01,7.88E-01,9.10E-01
Non-Annex_I,Mexico,MEX,Mexico,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00E-04,1.14E-03,2.68E-03,3.26E-03,4.33E-03,5.13E-03,5.93E-03
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38E-06,7.91E-06,1.85E-05,2.25E-05,2.99E-05,3.54E-05,4.10E-05
Non-Annex_I,Rest Central America,CRI,Costa Rica,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09E-06,4.79E-05,1.09E-04,1.34E-04,1.78E-04,2.11E-04,2.44E-04
Non-Annex_I,Rest Central America,CUB,Cuba,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65E-05,1.04E-04,2.49E-04,3.09E-04,4.05E-04,4.80E-04,5.55E-04
Non-Annex_I,Rest Central America,GTM,Guatemala,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91E-05,3.50E-04,8.31E-04,1.05E-03,1.36E-03,1.62E-03,1.87E-03
Non-Annex_I,Rest Central America,JAM,Jamaica,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-06,3.88E-05,8.94E-05,1.10E-04,1.45E-04,1.72E-04,1.99E-04
Non-Annex_I,Rest Central America,KNA,Saint Kitts and Nevis,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09E-07,6.56E-07,1.74E-06,2.38E-06,2.93E-06,3.48E-06,4.04E-06
Non-Annex_I,Rest Central America,SLV,El Salvador,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26E-05,6.83E-05,1.46E-04,1.67E-04,2.32E-04,2.75E-04,3.17E-04
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18E-07,1.25E-06,3.25E-06,3.95E-06,5.16E-06,6.12E-06,7.09E-06
Non-Annex_I,Brazil,BRA,Brazil,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36E-04,9.75E-04,2.81E-03,3.92E-03,4.74E-03,5.64E-03,6.54E-03
Non-Annex_I,Rest South America,ECU,Ecuador,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34E-06,4.28E-05,1.08E-04,1.36E-04,1.76E-04,2.08E-04,2.41E-04
Non-Annex_I,Rest South America,PER,Peru,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73E-05,2.24E-04,5.47E-04,7.17E-04,9.12E-04,1.08E-03,1.25E-03
Non-Annex_I,Rest South America,URY,Uruguay,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92E-06,3.89E-05,1.02E-04,1.29E-04,1.65E-04,1.95E-04,2.26E-04
Non-Annex_I,Rest South America,VEN,Venezuela,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41E-05,1.68E-04,5.21E-04,7.32E-04,8.73E-04,1.04E-03,1.21E-03
Non-Annex_I,Northern_Africa,DZA,Algeria,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57E-05,1.56E-04,3.67E-04,4.58E-04,6.00E-04,7.12E-04,8.23E-04
Non-Annex_I,Northern_Africa,EGY,Egypt,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E-05,2.73E-04,6.67E-04,8.66E-04,1.11E-03,1.31E-03,1.52E-03
Non-Annex_I,Western_Africa,COG,Congo,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.50E-07,3.43E-06,8.83E-06,1.30E-05,1.56E-05,1.85E-05,2.15E-05
Non-Annex_I,Western_Africa,GAB,Gabon,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34E-06,8.05E-06,1.87E-05,2.31E-05,3.05E-05,3.61E-05,4.18E-05
Non-Annex_I,Western_Africa,GHA,Ghana,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82E-07,6.28E-06,1.60E-05,2.15E-05,2.69E-05,3.20E-05,3.70E-05
Non-Annex_I,Western_Africa,LBR,Liberia,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34E-06,1.00E-05,2.77E-05,3.70E-05,4.58E-05,5.45E-05,6.32E-05
Non-Annex_I,Western_Africa,NGA,Nigeria,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41E-05,3.04E-04,7.65E-04,1.03E-03,1.29E-03,1.53E-03,1.77E-03
Non-Annex_I,Western_Africa,SLE,Sierra Leone,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55E-07,2.39E-06,7.93E-06,1.30E-05,1.44E-05,1.72E-05,2.00E-05
Non-Annex_I,Eastern_Africa,COM,Comoros,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37E-08,1.81E-07,4.81E-07,7.00E-07,8.39E-07,9.98E-07,1.16E-06
Non-Annex_I,Eastern_Africa,ETH,Ethiopia,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57E-06,7.85E-06,2.12E-05,2.83E-05,3.51E-05,4.18E-05,4.84E-05
Non-Annex_I,Eastern_Africa,MDG,Madagascar,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.77E-07,6.34E-06,1.51E-05,1.85E-05,2.44E-05,2.89E-05,3.35E-05
Non-Annex_I,Eastern_Africa,MUS,Mauritius,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98E-06,1.20E-05,2.96E-05,3.80E-05,4.88E-05,5.79E-05,6.70E-05
Non-Annex_I,Eastern_Africa,RWA,Rwanda,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73E-06,3.21E-05,1.06E-04,1.69E-04,1.90E-04,2.26E-04,2.63E-04
Non-Annex_I,Eastern_Africa,SOM,Somalia,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28E-07,1.29E-06,3.06E-06,3.52E-06,4.80E-06,5.69E-06,6.57E-06
Non-Annex_I,Southern_Africa,AGO,Angola,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23E-06,9.26E-06,3.01E-05,5.84E-05,6.09E-05,7.28E-05,8.47E-05
Non-Annex_I,Southern_Africa,MOZ,Mozambique,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06E-05,6.53E-05,1.59E-04,2.06E-04,2.64E-04,3.13E-04,3.62E-04
Non-Annex_I,Southern_Africa,ZAF,South Africa,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99E-05,5.45E-04,1.22E-03,1.44E-03,1.95E-03,2.31E-03,2.67E-03
Non-Annex_I,Southern_Africa,ZMB,Zambia,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01E-08,2.69E-07,7.09E-07,9.67E-07,1.19E-06,1.42E-06,1.64E-06
Annex_I,OECD_Europe,AUT,Austria,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92E-04,1.04E-03,2.26E-03,2.59E-03,3.59E-03,4.25E-03,4.91E-03
Annex_I,OECD_Europe,BEL,Belgium,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01E-04,2.18E-03,4.76E-03,5.43E-03,7.54E-03,8.93E-03,1.03E-02
Annex_I,OECD_Europe,CHE,Switzerland,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E-04,9.29E-04,2.02E-03,2.31E-03,3.21E-03,3.79E-03,4.38E-03
Annex_I,OECD_Europe,DEU,Germany,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09E-03,1.66E-02,3.60E-02,4.09E-02,5.70E-02,6.74E-02,7.79E-02
Annex_I,OECD_Europe,DNK,Denmark,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64E-04,1.43E-03,3.12E-03,3.60E-03,4.98E-03,5.89E-03,6.81E-03
Annex_I,OECD_Europe,ESP,Spain,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61E-04,5.36E-03,1.19E-02,1.40E-02,1.91E-02,2.26E-02,2.61E-02
Annex_I,OECD_Europe,FIN,Finland,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82E-05,4.28E-04,9.44E-04,1.08E-03,1.50E-03,1.77E-03,2.05E-03
Annex_I,OECD_Europe,FRA,France,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47E-03,1.34E-02,2.94E-02,3.37E-02,4.67E-02,5.52E-02,6.38E-02
Annex_I,OECD_Europe,GBR,United Kingdom,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86E-03,1.02E-02,2.24E-02,2.56E-02,3.55E-02,4.20E-02,4.85E-02
Annex_I,OECD_Europe,GRC,Greece,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47E-04,8.24E-04,1.84E-03,2.14E-03,2.93E-03,3.47E-03,4.01E-03
Annex_I,OECD_Europe,IRL,Ireland,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68E-04,9.42E-04,2.10E-03,2.46E-03,3.36E-03,3.98E-03,4.60E-03
Annex_I,OECD_Europe,ISL,Iceland,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61E-06,2.54E-05,5.72E-05,6.67E-05,9.11E-05,1.08E-04,1.25E-04
Annex_I,OECD_Europe,ITA,Italy,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98E-03,1.07E-02,2.32E-02,2.62E-02,3.66E-02,4.33E-02,5.00E-02
Annex_I,OECD_Europe,LUX,Luxembourg,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07E-05,1.13E-04,2.48E-04,2.86E-04,3.95E-04,4.67E-04,5.40E-04
Annex_I,OECD_Europe,NLD,Netherlands,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26E-04,3.38E-03,7.35E-03,8.39E-03,1.17E-02,1.38E-02,1.59E-02
Annex_I,OECD_Europe,NOR,Norway,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35E-05,1.82E-04,3.98E-04,4.56E-04,6.32E-04,7.47E-04,8.63E-04
Annex_I,OECD_Europe,PRT,Portugal,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39E-04,7.46E-04,1.63E-03,1.86E-03,2.58E-03,3.06E-03,3.53E-03
Annex_I,OECD_Europe,SWE,Sweden,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17E-04,6.38E-04,1.41E-03,1.62E-03,2.24E-03,2.65E-03,3.06E-03
