supplysector,subsector,stub.technology,SO2,NOx,CO,BC,OC,NMVOC
urban processes,landfills,landfills,50,80,80,30,30,60
urban processes,wastewater treatment,wastewater treatment,,,,,,
urban processes,aerosols,aerosols,,,,,,
urban processes,fire_exting,fire_exting,,,,,,
industrial processes,nitric acid,nitric acid,,,,,,
industrial processes,foams,foams,,,,,,
industrial processes,solvents,solvents,,,80,,,60
industrial processes,HCFC_22_Prod,HCFC_22_Prod,,,,,,
industrial processes,semiconductors,semiconductors,,,,,,
industrial processes,Al_Mg,Al_Mg,95,95,80,,,60
industrial processes,other industrial processes,other industrial processes,99,95,80,,,60
