# A_LT_Mapping.csv,,,,,
# Allows land nodes to be assigned from the land types in level1,,,,,
LandNode1,LandNode2,LandNode3,Land_Type,LandLeaf,GCAM_commodity
AgroForestLand,AgroForest_NonPasture,AllForestLand,Forest,Forest,Forest
AgroForestLand,AgroForest_NonPasture,AllForestLand,UnmanagedForest,UnmanagedForest,
AgroForestLand,AgroForest_NonPasture,AllForestLand,biomass_tree,biomass_tree,biomass_tree
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,Corn,Corn
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,FiberCrop,FiberCrop
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,FodderGrass,FodderGrass
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,FodderHerb,FodderHerb
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,MiscCrop,MiscCrop
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,OilCrop,OilCrop
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,OtherGrain,OtherGrain
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,PalmFruit,PalmFruit
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,Rice,Rice
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,Root_Tuber,Root_Tuber
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,SugarCrop,SugarCrop
AgroForestLand,AgroForest_NonPasture,CropLand,HarvCropLand,Wheat,Wheat
AgroForestLand,AgroForest_NonPasture,CropLand,biomass_grass,biomass_grass,biomass_grass
AgroForestLand,AgroForest_NonPasture,CropLand,OtherArableLand,OtherArableLand,
AgroForestLand,AgroForest_NonPasture,GrassShrubLand,Grassland,Grassland,
AgroForestLand,AgroForest_NonPasture,GrassShrubLand,Shrubland,Shrubland,
AgroForestLand,AllPastureLand,,Pasture,Pasture,Pasture
AgroForestLand,AllPastureLand,,UnmanagedPasture,UnmanagedPasture,
RockIceDesert,,,RockIceDesert,RockIceDesert,
Tundra,,,Tundra,Tundra,
UrbanLand,,,UrbanLand,UrbanLand,
