# File: A_biocrops_R_AEZ,,,,,,,,,,,,
# Description: Sets the name of the bioenergy crop in regions and AEZs,,,,,,,,,,,,
# Original source: Patrick Luckow's biomass work,,,,,,,,,,,,
region,old_AgSupplySector,old_AgSupplySubsector,old_AgProductionTechnology,old_LandNode2,old_LandNode3,old_LandLeaf,AgSupplySector,AgSupplySubsector,AgProductionTechnology,LandNode2,LandNode3,LandLeaf
USA,biomass,biomassAEZ14,biomassAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,biomassAEZ14,biomass,willowAEZ14,willowAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,willowAEZ14
USA,biomass,biomassAEZ15,biomassAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomass,willowAEZ15,willowAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15
USA,biomass,biomassAEZ16,biomassAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomass,willowAEZ16,willowAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16
Eastern Europe,biomass,biomassAEZ08,biomassAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,biomass,willowAEZ08,willowAEZ08,AgroForest_NonPastureAEZ08,AllForestLandAEZ08,willowAEZ08
Eastern Europe,biomass,biomassAEZ09,biomassAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,biomass,willowAEZ09,willowAEZ09,AgroForest_NonPastureAEZ09,AllForestLandAEZ09,willowAEZ09
Eastern Europe,biomass,biomassAEZ10,biomassAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,biomassAEZ10,biomass,willowAEZ10,willowAEZ10,AgroForest_NonPastureAEZ10,AllForestLandAEZ10,willowAEZ10
Eastern Europe,biomass,biomassAEZ11,biomassAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,biomassAEZ11,biomass,willowAEZ11,willowAEZ11,AgroForest_NonPastureAEZ11,AllForestLandAEZ11,willowAEZ11
Eastern Europe,biomass,biomassAEZ12,biomassAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,biomassAEZ12,biomass,willowAEZ12,willowAEZ12,AgroForest_NonPastureAEZ12,AllForestLandAEZ12,willowAEZ12
Eastern Europe,biomass,biomassAEZ15,biomassAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomass,willowAEZ15,willowAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15
Eastern Europe,biomass,biomassAEZ16,biomassAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomass,willowAEZ16,willowAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16
Western Europe,biomass,biomassAEZ04,biomassAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,biomassAEZ04,biomass,miscanthusAEZ04,miscanthusAEZ04,AgroForest_NonPastureAEZ04,CropLandAEZ04,miscanthusAEZ04
Western Europe,biomass,biomassAEZ07,biomassAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,biomassAEZ07,biomass,miscanthusAEZ07,miscanthusAEZ07,AgroForest_NonPastureAEZ07,CropLandAEZ07,miscanthusAEZ07
Western Europe,biomass,biomassAEZ08,biomassAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,biomassAEZ08,biomass,miscanthusAEZ08,miscanthusAEZ08,AgroForest_NonPastureAEZ08,CropLandAEZ08,miscanthusAEZ08
Western Europe,biomass,biomassAEZ09,biomassAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,biomassAEZ09,biomass,miscanthusAEZ09,miscanthusAEZ09,AgroForest_NonPastureAEZ09,CropLandAEZ09,miscanthusAEZ09
Western Europe,biomass,biomassAEZ10,biomassAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,biomassAEZ10,biomass,miscanthusAEZ10,miscanthusAEZ10,AgroForest_NonPastureAEZ10,CropLandAEZ10,miscanthusAEZ10
Western Europe,biomass,biomassAEZ11,biomassAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,biomassAEZ11,biomass,miscanthusAEZ11,miscanthusAEZ11,AgroForest_NonPastureAEZ11,CropLandAEZ11,miscanthusAEZ11
Western Europe,biomass,biomassAEZ12,biomassAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,biomassAEZ12,biomass,miscanthusAEZ12,miscanthusAEZ12,AgroForest_NonPastureAEZ12,CropLandAEZ12,miscanthusAEZ12
Western Europe,biomass,biomassAEZ13,biomassAEZ13,AgroForest_NonPastureAEZ13,CropLandAEZ13,biomassAEZ13,biomass,willowAEZ13,willowAEZ13,AgroForest_NonPastureAEZ13,AllForestLandAEZ13,willowAEZ13
Western Europe,biomass,biomassAEZ14,biomassAEZ14,AgroForest_NonPastureAEZ14,CropLandAEZ14,biomassAEZ14,biomass,willowAEZ14,willowAEZ14,AgroForest_NonPastureAEZ14,AllForestLandAEZ14,willowAEZ14
Western Europe,biomass,biomassAEZ15,biomassAEZ15,AgroForest_NonPastureAEZ15,CropLandAEZ15,biomassAEZ15,biomass,willowAEZ15,willowAEZ15,AgroForest_NonPastureAEZ15,AllForestLandAEZ15,willowAEZ15
Western Europe,biomass,biomassAEZ16,biomassAEZ16,AgroForest_NonPastureAEZ16,CropLandAEZ16,biomassAEZ16,biomass,willowAEZ16,willowAEZ16,AgroForest_NonPastureAEZ16,AllForestLandAEZ16,willowAEZ16
Latin America,biomass,biomassAEZ01,biomassAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,biomassAEZ01,biomass,eucalyptusAEZ01,eucalyptusAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,eucalyptusAEZ01
Latin America,biomass,biomassAEZ02,biomassAEZ02,AgroForest_NonPastureAEZ02,CropLandAEZ02,biomassAEZ02,biomass,eucalyptusAEZ02,eucalyptusAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02,eucalyptusAEZ02
