# File: A_FiberFodderbio_chars.csv,,,
# Description: Characteristics of crops not included in residue biomass data,,,
# Original source: see documentation (mostly ORNL),,,
# ----------,,,
GCAM_commodity,HarvestIndex,Root_Shoot,WaterContent
FodderGrass,0.95,1.5,0.65
FodderHerb,0.95,1.1,0.65
biomass,1,0.77,0.15
Jatropha,1,0.77,0.15
miscanthus,1,0.77,0.15
willow,1,0.77,0.15
eucalyptus,1,0.77,0.15
