GCAM_region_ID,1975,1990,2005,2020,2035,2050,2065,2080,2095
1,0.6,0.6,0.6,0.65,0.7,0.77,0.85,0.85,0.85
2,0.4,0.4,0.4,0.4,0.4,0.41,0.42,0.43,0.44
3,0.4,0.4,0.4,0.4,0.4,0.41,0.42,0.43,0.44
4,0.4,0.4,0.4,0.4,0.4,0.41,0.42,0.43,0.44
5,0.4,0.4,0.4,0.4,0.4,0.41,0.42,0.43,0.44
6,0.68,0.68,0.68,0.71,0.74,0.78,0.83,0.85,0.85
7,0.24,0.24,0.24,0.25,0.25,0.26,0.28,0.31,0.36
8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.85
9,0.24,0.24,0.24,0.25,0.25,0.26,0.28,0.31,0.36
10,0.6,0.6,0.6,0.61,0.62,0.64,0.66,0.68,0.73
11,0.35,0.35,0.35,0.37,0.39,0.42,0.45,0.52,0.6
12,0.52,0.52,0.52,0.55,0.57,0.6,0.64,0.68,0.74
13,0.52,0.52,0.52,0.55,0.57,0.6,0.64,0.68,0.74
14,0.5,0.5,0.5,0.52,0.53,0.56,0.61,0.68,0.79
15,0.5,0.5,0.5,0.52,0.53,0.56,0.61,0.68,0.79
16,0.52,0.52,0.52,0.55,0.57,0.6,0.64,0.68,0.74
17,0.54,0.54,0.54,0.55,0.56,0.58,0.6,0.62,0.66
18,0.34,0.34,0.34,0.35,0.37,0.39,0.42,0.46,0.54
19,0.35,0.35,0.35,0.38,0.42,0.47,0.54,0.63,0.73
20,0.24,0.24,0.24,0.25,0.25,0.26,0.28,0.31,0.36
21,0.34,0.34,0.34,0.35,0.36,0.37,0.39,0.4,0.43
22,0.34,0.34,0.34,0.35,0.37,0.39,0.42,0.46,0.54
23,0.6,0.6,0.6,0.61,0.62,0.64,0.66,0.68,0.73
24,0.4,0.4,0.4,0.4,0.4,0.41,0.42,0.43,0.44
25,0.24,0.24,0.24,0.25,0.25,0.26,0.28,0.31,0.36
26,0.24,0.24,0.24,0.25,0.25,0.26,0.28,0.31,0.36
27,0.34,0.34,0.34,0.35,0.37,0.39,0.42,0.46,0.54
27,0.54,0.54,0.54,0.55,0.56,0.58,0.6,0.62,0.66
28,0.31,0.31,0.31,0.33,0.35,0.39,0.43,0.49,0.57
30,0.34,0.34,0.34,0.35,0.37,0.39,0.42,0.46,0.54
31,0.24,0.24,0.24,0.25,0.25,0.26,0.28,0.31,0.36
32,0.24,0.24,0.24,0.25,0.25,0.26,0.28,0.31,0.36
