GCAM_region_ID,1975,1990,2005,2020,2035,2050,2065,2080,2095
1,0.6,0.6,0.6,0.65,0.7,0.77,0.85,0.85,0.85
2,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.85
3,0.52,0.52,0.52,0.55,0.57,0.6,0.64,0.68,0.74
4,0.35,0.35,0.35,0.38,0.42,0.47,0.54,0.63,0.73
5,0.68,0.68,0.68,0.71,0.74,0.78,0.83,0.85,0.85
6,0.6,0.6,0.6,0.61,0.62,0.64,0.66,0.68,0.73
7,0.35,0.35,0.35,0.37,0.39,0.42,0.45,0.52,0.6
8,0.34,0.34,0.34,0.35,0.36,0.37,0.39,0.4,0.43
9,0.4,0.4,0.4,0.4,0.4,0.41,0.42,0.43,0.44
10,0.24,0.24,0.24,0.25,0.25,0.26,0.28,0.31,0.36
11,0.34,0.34,0.34,0.35,0.37,0.39,0.42,0.46,0.54
12,0.5,0.5,0.5,0.52,0.53,0.56,0.61,0.68,0.79
13,0.31,0.31,0.31,0.33,0.35,0.39,0.43,0.49,0.57
14,0.54,0.54,0.54,0.55,0.56,0.58,0.6,0.62,0.66
