# File: A_agSupplySector.csv,,,,
# Description: agSupplySubsectors - logit and shareweight interpolation,,,,
# Original source: NA,,,,
# ----------,,,,
AgSupplySector,AgSupplySubsector,logit.exponent,year.fillout,share.weight
Corn,,-6,start-year,1
FiberCrop,,-6,start-year,1
FodderGrass,,-6,start-year,1
FodderHerb,,-6,start-year,1
MiscCrop,,-6,start-year,1
OilCrop,,-6,start-year,1
OtherGrain,,-6,start-year,1
PalmFruit,,-6,start-year,1
Rice,,-6,start-year,1
Root_Tuber,,-6,start-year,1
SugarCrop,,-6,start-year,1
Wheat,,-6,start-year,1
Forest,,-6,start-year,1
biomass,,-6,start-year,1
Pasture,,-6,start-year,1
