# File: A_agSupplySector.csv,,,,,,,
# Description: agTechnology - shareweight interpolation and other accessory information,,,,,,,
# Original source: NA,,,,,,,
# ----------,,,,,,,
AgSupplySector,AgSupplySubsector,AgProductionTechnology,apply.to,from.year,to.year,interpolation.function,share.weight
Corn,,,share-weight,final-calibration-year,end-year,fixed,1
FiberCrop,,,share-weight,final-calibration-year,end-year,fixed,1
FodderGrass,,,share-weight,final-calibration-year,end-year,fixed,1
FodderHerb,,,share-weight,final-calibration-year,end-year,fixed,1
MiscCrop,,,share-weight,final-calibration-year,end-year,fixed,1
OilCrop,,,share-weight,final-calibration-year,end-year,fixed,1
OtherGrain,,,share-weight,final-calibration-year,end-year,fixed,1
PalmFruit,,,share-weight,final-calibration-year,end-year,fixed,1
Rice,,,share-weight,final-calibration-year,end-year,fixed,1
Root_Tuber,,,share-weight,final-calibration-year,end-year,fixed,1
SugarCrop,,,share-weight,final-calibration-year,end-year,fixed,1
Wheat,,,share-weight,final-calibration-year,end-year,fixed,1
Forest,,,share-weight,final-calibration-year,end-year,fixed,1
biomass,,,share-weight,final-calibration-year,end-year,fixed,1
Pasture,,,share-weight,final-calibration-year,end-year,fixed,1
