2005 medium energy values ,,,






2005 FE,,,
INPUT_TABLE,,,
Variable ID,,,
1010,,FE (ratio 2005/1990),

Region#,M,"calibPE(L,M)",
1,3,1.252,USA
2,3,1.313,CANADA
3,3,1.176,WEUR
4,3,1.241,JAPAN
5,3,1.431,AUS&NZ
6,3,0.597,FSU
7,3,1.171,ACENP
8,3,1.754,MIDEAST
9,3,1.27,AFR
10,3,1.538,LA
11,3,1.732,S&E ASIA
12,3,0.701,EEUR
13,3,2.453,KOR
14,3,1.557,INDIA
,,1.188,Global





EOF
