VISLM--ENVIRONMENTAL COST AMOUNTS BY REGION AND FUEL (UNITS=1975 DOLLARS/GIGAJOULE),,,,,,,,,,,
INPUT_TABLE,,,,Pegged to GDP,,,Gas,No environmental cost,,,
Variable ID,,,,Higher env costs globally,,,Coal,Twice that of oil,,,
69,,,,Three times costs in A1,,,Unconv oil,Three times that of oil,,,
,,"VISLM(IS,L,M)",,,,,,,,,
fuel,1975,1990,2005,2020,2035,2050,2065,2080,2095,REGION,
1,0,0,0.00,0.07,0.12,0.19,0.24,0.32,0.36,USA,Oil
1,0,0,0.00,0.07,0.12,0.19,0.24,0.32,0.36,CANADA,Oil
1,0,0,0.00,0.07,0.12,0.19,0.24,0.32,0.36,WEUR,Oil
1,0,0,0.00,0.07,0.12,0.19,0.24,0.32,0.36,JAPAN,Oil
1,0,0,0.00,0.07,0.12,0.19,0.24,0.32,0.36,AUS&NZ,Oil
1,0,0,0.00,0.05,0.07,0.12,0.17,0.19,0.24,FSU,Oil
1,0,0,0.00,0.05,0.07,0.12,0.17,0.19,0.24,ACENP,Oil
1,0,0,0.00,0.02,0.07,0.10,0.12,0.17,0.19,MIDEAST,Oil
1,0,0,0.00,0.02,0.05,0.07,0.07,0.10,0.12,AFR,Oil
1,0,0,0.00,0.05,0.07,0.12,0.17,0.19,0.24,LA,Oil
1,0,0,0.00,0.02,0.07,0.10,0.12,0.17,0.19,S&E ASIA,Oil
1,0,0,0.00,0.07,0.12,0.19,0.24,0.32,0.36,EEUR,Oil
1,0,0,0.00,0.07,0.12,0.19,0.24,0.32,0.36,KOR,Oil
1,0,0,0.00,0.02,0.07,0.10,0.12,0.17,0.19,INDIA,Oil
2,0,0,0,0,0,0,0,0,0,USA,Gas
2,0,0,0,0,0,0,0,0,0,CANADA,Gas
2,0,0,0,0,0,0,0,0,0,WEUR,Gas
2,0,0,0,0,0,0,0,0,0,JAPAN,Gas
2,0,0,0,0,0,0,0,0,0,AUS&NZ,Gas
2,0,0,0,0,0,0,0,0,0,FSU,Gas
2,0,0,0,0,0,0,0,0,0,ACENP,Gas
2,0,0,0,0,0,0,0,0,0,MIDEAST,Gas
2,0,0,0,0,0,0,0,0,0,AFR,Gas
2,0,0,0,0,0,0,0,0,0,LA,Gas
2,0,0,0,0,0,0,0,0,0,S&E ASIA,Gas
2,0,0,0,0,0,0,0,0,0,EEUR,Gas
2,0,0,0,0,0,0,0,0,0,KOR,Gas,
2,0,0,0,0,0,0,0,0,0,INDIA,Gas,
3,0,0,0.02,0.15,0.27,0.39,0.48,0.60,0.72,USA,Coal,0.536625514
3,0,0,0.02,0.15,0.27,0.39,0.48,0.60,0.72,CANADA,Coal,
3,0,0,0.02,0.15,0.27,0.39,0.48,0.60,0.72,WEUR,Coal,
3,0,0,0.02,0.15,0.27,0.39,0.48,0.60,0.72,JAPAN,Coal,
3,0,0,0.02,0.15,0.27,0.39,0.48,0.60,0.72,AUS&NZ,Coal,
3,0,0,0.02,0.10,0.17,0.27,0.34,0.41,0.48,FSU,Coal,
3,0,0,0.02,0.10,0.17,0.27,0.34,0.41,0.48,ACENP,Coal,
3,0,0,0.02,0.10,0.15,0.22,0.27,0.34,0.39,MIDEAST,Coal,
3,0,0,0.02,0.07,0.10,0.15,0.17,0.22,0.24,AFR,Coal,
3,0,0,0.02,0.10,0.17,0.27,0.34,0.41,0.48,LA,Coal,
3,0,0,0.02,0.10,0.15,0.22,0.27,0.34,0.39,S&E ASIA,Coal,
3,0,0,0.02,0.15,0.27,0.39,0.48,0.60,0.72,EEUR,Coal,
3,0,0,0.02,0.15,0.27,0.39,0.48,0.60,0.72,KOR,Coal,
3,0,0,0.02,0.10,0.15,0.22,0.27,0.34,0.39,INDIA,Coal,
4,0,0.10,0.15,0.32,0.46,0.63,0.77,0.94,1.08,USA,Unconventional Oil
4,0,0.10,0.15,0.32,0.46,0.63,0.77,0.94,1.08,CANADA,Unconventional Oil
4,0,0.10,0.15,0.32,0.46,0.63,0.77,0.94,1.08,WEUR,Unconventional Oil
4,0,0.10,0.15,0.32,0.46,0.63,0.77,0.94,1.08,JAPAN,Unconventional Oil
4,0,0.10,0.15,0.32,0.46,0.63,0.77,0.94,1.08,AUS&NZ,Unconventional Oil
4,0,0.02,0.05,0.17,0.27,0.39,0.51,0.60,0.72,FSU,Unconventional Oil
4,0,0.02,0.05,0.17,0.27,0.39,0.51,0.60,0.72,ACENP,Unconventional Oil
4,0,0.02,0.05,0.15,0.22,0.32,0.41,0.48,0.58,MIDEAST,Unconventional Oil
4,0,0.02,0.05,0.10,0.15,0.22,0.27,0.32,0.36,AFR,Unconventional Oil
4,0,0.02,0.05,0.17,0.27,0.39,0.51,0.60,0.72,LA,Unconventional Oil
4,0,0.02,0.05,0.15,0.22,0.32,0.41,0.48,0.58,S&E ASIA,Unconventional Oil
4,0,0.02,0.05,0.22,0.39,0.58,0.75,0.92,1.08,EEUR,Unconventional Oil
4,0,0.10,0.15,0.32,0.46,0.63,0.77,0.94,1.08,KOR,Unconventional Oil
4,0,0.02,0.05,0.15,0.22,0.32,0.41,0.48,0.58,INDIA,Unconventional Oil
5,0,0,0,0,0,0,0,0,0,USA,Nuclear Fuel
5,0,0,0,0,0,0,0,0,0,CANADA,Nuclear Fuel
