POPULATION (ZLM) UNITS=THOUSANDS OF PERSONS,,,,,,,,,,,
SRES Low Population,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
6,,,,,,,,,,,
,"ZLM(L,M)",,,,,,,,,,
Region,1960,1975,1990,2005,2020,2035,2050,2065,2080,2095,
1,180738,216067,249012,296487,338044,379472,418351,466319,527589,602148,USA
2,17909,23209,29003,31370,35767,40150,44264,49339,55822,63711,CANADA
3,353779,401330,409134,471402,495314,515016,525199,538285,564662,601746,WEUR
4,94096,111524,128901,132805,137300,139262,139684,141519,146375,153904,JAPAN
5,12727,17116,21256,22644,23410,23745,23817,24130,24958,26241,AUS&NZ
6,214652,254470,286923,304471,324647,349145,378860,417691,464204,512554,FSU
7,721340,992790,1210204,1529945,1778375,2054374,2320966,2619707,2936039,3236968,china
8,48224,76878,128789,205550,313095,449373,609740,777690,929745,1051294,MIDEAST
9,280399,411311,653996,951729,1355771,1774399,2172770,2495549,2686027,2738944,AFR
10,216846,319775,439633,573307,729441,902152,1079846,1262101,1448930,1636241,LA
11,319184,467024,653975,870943,1125815,1366507,1583423,1751104,1858229,1892696,SEASIA
,99374,112191,122164,126051,130509,134567,139691,148370,158624,172122,EEur
,25003,35281,42869,49067,55017,59053,60332,61940,60852,58712,Korea
,442344,620701,850785,1099078,1348743,1591731,1798902,1955684,2042067,2061631,India
,3026615,4059667,5226644,6664849,8191248,9778946,11295845,12709428,13904123,14808912,Global




Labor force Percentage,,This is the ratio of working persons over total population,,,,,,,,,
SRES Low Population,,,,,,,,,,,
INPUT_TABLE,,Using this variable triggers new simple GDP calc method,,,,,,,,,
Variable ID,,,,,,,,,,,
375,,These are not fully consistant with the above population numbers,,,,,,,,,
,"LFPerc(L,M)",,,,,,,,,,
REGION,1975,1990,2005,2020,2035,2050,2065,2080,2095,
1,0.45,0.5,0.5,0.49,0.45,0.46,0.45,0.45,0.45, USA     
2,0.44,0.52,0.49,0.52,0.41,0.45,0.43,0.47,0.47, Canada  
3,0.43,0.46,0.42,0.47,0.45,0.47,0.45,0.43,0.43, OECDEuro
4,0.49,0.52,0.5,0.42,0.44,0.44,0.48,0.47,0.45, Japan   
5,0.43,0.5,0.56,0.51,0.44,0.41,0.42,0.5,0.5, Aus&NZ  
6,0.51,0.49,0.54,0.49,0.47,0.43,0.47,0.49,0.49, EE&FSU  
7,0.53,0.59,0.58,0.64,0.57,0.54,0.46,0.44,0.44, China   
8,0.29,0.3,0.35,0.38,0.44,0.46,0.49,0.49,0.51, MidEast 
9,0.47,0.48,0.48,0.49,0.54,0.55,0.56,0.52,0.5, Africa  
10,0.34,0.39,0.45,0.47,0.48,0.48,0.48,0.47,0.47, LatAmeri
11,0.35,0.44,0.47,0.49,0.5,0.49,0.49,0.48,0.47, SEAsia  
12,0.51,0.49,0.54,0.49,0.47,0.43,0.47,0.49,0.49, EE&FSU  
13,0.35,0.44,0.47,0.49,0.5,0.49,0.49,0.48,0.47, SEAsia  
14,0.35,0.44,0.47,0.49,0.5,0.49,0.49,0.48,0.47, SEAsia  


xxx
