Primary fuel carbon coefficients,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
region,PrimaryFuelCO2Coef,PrimaryFuelCO2Coef,,,,,,,,,,,,,
ALL,gas processing,14.2,,,,,,,,,,,,,
ALL,gas pipeline,14.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Units and 1975 prices,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
,,,,,price,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,1975,,,,,,,,,,
ALL,gas processing,EJ,EJ,1975$/GJ,1.262,,,,,,,,,,
ALL,gas pipeline,EJ,EJ,1975$/GJ,1.462,,,,,,,,,,
ALL,wholesale gas,EJ,EJ,1975$/GJ,1.5,,,,,,,,,,
ALL,delivered gas,EJ,EJ,1975$/GJ,2.75,,,,,,,,,,
,,,,,,,,,,,,,,,
Delete subsectors of old wholesale gas sector,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
,,delete,,,,,,,,,,,,,
region,supplysector,subsector,,,,,,,,,,,,,
ALL,wholesale gas,natural gas,,,,,,,,,,,,,
ALL,wholesale gas,coal gasification,,,,,,,,,,,,,
ALL,wholesale gas,biomass gasification,,,,,,,,,,,,,
ALL,delivered gas,gas dist,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
subsector shareweights and logit exponent,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
,,,logitexp,sharewt,,,,,,,,,,,
region,supplysector,subsector,1975 fillout,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,
ALL,gas processing,natural gas,-6,1,1,1,1,1,1,1,1,1,,,
ALL,gas processing,biomass gasification,-6,0,0,0,0.25,1,1,1,1,1,,,
ALL,gas processing,coal gasification,-6,0,0,0,0.25,1,1,1,1,1,,,
,,,,,,,,,,,,,,,
technology IO coefficients equal in all regions. CO2 tag added here.,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,
,,,,,coefficient,,,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
ALL,gas processing,natural gas,natural gas,regional natural gas,1,1,1,1,1,1,1,1,1,,
ALL,gas processing,biomass gasification,biomass gasification,regional biomass,1.3425,1.3425,1.3425,1.322502853,1.302803574,1.283397723,1.264280932,1.245448894,1.226897368,,
ALL,gas processing,coal gasification,coal gasification,regional coal,1.325622598,1.325622598,1.325622598,1.305876848,1.28642522,1.267263333,1.248386871,1.229791582,1.211473279,,
ALL,wholesale gas,wholesale gas,wholesale gas,gas pipeline,1,1,1,1,1,1,1,1,1,,
ALL,delivered gas,delivered gas,delivered gas,gas pipeline,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,
"technology IO coefficients, regional detail",,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,,
,,,,,coefficient,,,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095,,region ID
Africa,gas pipeline,gas pipeline,gas pipeline,gas processing,1,1.027163096,1.030485239,1.030485239,1.030485239,1.030485239,1.030485239,1.030485239,1.030485239,,9
Australia_NZ,gas pipeline,gas pipeline,gas pipeline,gas processing,1,1,1.012282463,1.012282463,1.012282463,1.012282463,1.012282463,1.012282463,1.012282463,,5
Canada,gas pipeline,gas pipeline,gas pipeline,gas processing,1,1.054491069,1.058936877,1.058936877,1.058936877,1.058936877,1.058936877,1.058936877,1.058936877,,2
China,gas pipeline,gas pipeline,gas pipeline,gas processing,1,1.015892986,1.013160809,1.013160809,1.013160809,1.013160809,1.013160809,1.013160809,1.013160809,,7
