Input drivers,,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
10000,,,,,,

ALL,transportation,rail,refined liquids,NMVOC,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg
ALL,transportation,road,gas,NMVOC,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg
ALL,transportation,road,refined liquids,NMVOC,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg
ALL,transportation,domestic ship,coal,NMVOC,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg
ALL,transportation,domestic ship,refined liquids,NMVOC,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg
ALL,transportation,international ship,refined liquids,NMVOC,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg
ALL,urban processes,urban processes,landfills,NMVOC,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg
ALL,industry,industrial processes,solvents,NMVOC,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg
ALL,industry,industrial processes,other industrial processes,NMVOC,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg,Tg

Uncontrolled emissions coefficient,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
10015,,,,,,,,,,,,,
,,,,,uncontrolled-emiss-coef,,,,,,,,
supplysector,subsector,technology,period,generic-ghg,USA,Canada,Western Europe,Japan,Australia_NZ,Former Soviet Union,China,Middle East,Africa,Latin America,Southeast Asia,Eastern Europe,Korea,India
regional natural gas,regional natural gas,regional natural gas,1990,NMVOC,0.021382773,0.073882122,0.004704927,0.065634747,0.050826335,0.006629714,0.053062761,0.053928977,0.09881028,0.034399164,0.000376474,0.068828964,0.001183375,0.005853427
regional crude oil,regional crude oil,regional crude oil,1990,NMVOC,0.000608843,0.192995618,0.051141413,0.001970555,0.114361798,0.022882093,0.157452454,1.400605222,1.128100743,0.324968309,0.000932405,0.062850963,0.00325599,0.010720988
regional shale oil,regional shale oil,regional shale oil,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
refined liquids industrial,biomass liquids,biomass liquids,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
refined liquids industrial,shale oil refining,shale oil refining,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
refined liquids industrial,coal to liquids,coal to liquids,1990,NMVOC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
