DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,GALLONKR,BTUKER,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,BTUELSPH,BTUNGSPH,BTUFOSPH,BTULPSPH,BTUKRSPH,BTUELWTH,BTUNGWTH,BTUFOWTH,BTULPWTH,BTUKRWTH,BTUELAPL,BTUNGAPL,BTUFOAPL,BTULPAPL,BTUKRAPL,BTUELCOL,BTUELRFG,BTUELFZZ,BTUELDWH,BTUELCDR
1001,19026,9,1,1,0,769,5549,2,0,0,14918,50902,958,98593,0,0,0,0,0,98593,0,0,0,11486,0,0,0,0,26483,0,0,0,0,7338,5595,0,2081,5186
1002,28750,9,3,7,0,2374,3348,2,0,0,14159,48310,661,68020,0,0,0,0,0,42791,0,0,0,0,25229,0,0,0,27717,0,0,0,0,17106,3487,0,2242,4470
1003,14510,8,4,9,0,4912,0,2,0,0,5625,19192,0,0,0,0,0,0,0,0,0,0,0,6240,0,0,0,0,9443,0,0,0,0,0,3509,0,0,0
1004,32819,9,1,1,0,671,5978,2,0,0,52708,179840,4629,476324,0,0,2587,236271,2419,390182,0,0,0,0,68510,0,0,0,121059,17632,0,236271,0,28084,28278,7484,6592,16388
1005,10564,9,4,9,0,4912,0,2,0,0,8167,27867,0,0,0,0,0,0,0,0,0,0,0,5792,0,0,0,0,14566,0,0,0,0,2701,4808,0,0,3320
1006,10564,8,4,9,0,4912,0,2,0,0,4352,14849,0,0,0,0,0,0,0,0,0,0,0,5022,0,0,0,0,7083,0,0,0,0,0,2744,0,0,0
1007,10564,8,4,9,0,4912,0,2,0,0,5973,20380,0,0,0,0,0,0,0,0,0,0,0,7571,0,0,0,0,6458,0,0,0,0,0,6351,0,0,0
1008,10564,8,4,9,0,4912,0,2,0,0,7524,25672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13881,0,0,0,0,3791,8000,0,0,1832
1009,23904,9,3,7,0,2078,3287,2,0,0,9011,30746,1276,131339,0,0,0,0,1317,85108,0,0,0,0,31802,0,0,0,17078,14429,0,0,0,6849,5502,6399,676,0
1010,104969,9,3,7,0,2078,3287,2,0,0,9757,33290,0,0,0,0,0,0,9507,0,0,0,0,3047,0,0,0,0,10722,0,0,0,0,5994,4020,0,0,2313
1011,10564,9,4,9,0,4912,0,2,0,0,13012,44397,0,0,0,0,0,0,0,0,0,0,0,10301,0,0,0,0,27353,0,0,0,0,0,6743,3307,0,2749
1012,23833,9,3,7,0,2078,3287,2,0,0,6995,23865,961,98839,0,0,0,0,0,80105,0,0,0,0,12137,0,0,0,7522,6597,0,0,0,8448,7895,0,1564,0
1013,33497,9,3,5,0,1536,3163,2,0,0,9265,31612,559,57521,0,0,0,0,0,52310,0,0,0,3969,0,0,0,0,18318,5211,0,0,0,4970,4355,3830,1629,2373
1014,30468,9,1,2,1,1216,4298,5,0,0,642,2191,78,7986,58,8053,0,0,0,0,8053,0,0,0,5038,0,0,0,732,2948,0,0,0,253,1206,0,0,0
1015,14360,9,1,2,1,1251,4242,2,0,0,7595,25914,0,0,512,71009,0,0,0,0,46714,0,0,0,0,24295,0,0,20439,0,0,0,0,2204,3271,0,0,5435
1016,23933,9,1,2,1,1251,4242,5,0,0,4083,13931,81,8335,361,50106,0,0,0,0,29250,0,0,0,0,20856,0,0,9325,8335,0,0,0,2023,2583,0,0,0
1017,44630,9,3,5,0,1025,4095,4,0,0,9269,31626,0,0,0,0,0,0,11811,0,0,0,0,6137,0,0,0,0,9592,0,0,0,0,2034,2052,0,2337,1576
1018,22254,9,1,2,0,714,5631,3,0,0,5215,17794,675,69458,0,0,0,0,0,54863,0,0,0,0,11021,0,0,0,15201,3574,0,0,0,0,2593,2096,0,2507
1019,39672,9,3,5,0,1463,3241,1,0,0,28357,96754,0,0,0,0,0,0,13769,0,0,0,0,21342,0,0,0,0,42175,0,0,0,0,12776,6692,2484,3826,9512
1020,33640,9,3,5,4,3458,416,5,0,0,3867,13194,0,0,0,0,0,0,1198,0,0,0,0,1833,0,0,0,0,3973,0,0,0,0,3983,2207,0,844,0
1021,33640,9,3,5,4,3458,416,5,0,0,2810,9588,0,0,0,0,0,0,819,0,0,0,0,1654,0,0,0,0,3201,0,0,0,0,1924,1990,0,0,0
1022,33640,9,3,5,4,3458,416,5,0,0,2465,8411,0,0,0,0,0,0,632,0,0,0,0,1460,0,0,0,0,1897,0,0,0,0,2665,1757,0,0,0
1023,32693,9,1,2,1,1216,4298,4,0,0,6973,23792,0,0,0,0,0,0,8949,0,0,0,0,4348,0,0,0,0,7779,0,0,0,0,1357,1359,0,0,0
1024,23933,9,1,2,1,1251,4242,2,0,0,2816,9608,1235,127082,0,0,0,0,0,94470,0,0,0,0,20850,0,0,0,6899,11762,0,0,0,586,2123,0,940,0
1025,23933,9,1,2,1,1251,4242,5,0,0,2769,9448,51,5280,139,19268,0,0,0,0,10204,0,0,0,0,9064,0,0,6608,5280,0,0,0,0,2840,0,0,0
1026,23933,9,1,2,1,1251,4242,5,0,0,6428,21932,51,5280,141,19529,0,0,0,0,10485,0,0,0,0,9044,0,0,13755,5280,0,0,0,4881,3296,0,0,0
1027,27619,9,1,2,0,1271,4398,5,0,0,3682,12563,313,32161,0,0,0,0,0,24376,0,0,0,0,7785,0,0,0,9555,0,0,0,0,0,3008,3688,0,0
1028,28587,9,1,2,0,1271,4398,2,0,0,12250,41797,255,26240,492,68235,0,0,2053,0,54004,0,0,0,26240,14231,0,0,26229,0,0,0,0,7644,5871,5844,0,0
1029,24775,9,1,2,0,1271,4398,2,0,0,7629,26030,1363,140253,0,0,0,0,0,116467,0,0,0,0,19644,0,0,0,17471,4142,0,0,0,4889,3670,0,1619,0
1030,29189,9,3,5,0,1072,4394,3,0,0,22991,78445,233,24008,0,0,0,0,0,19814,0,0,0,18847,0,0,0,0,42645,4194,0,0,0,10615,6338,3257,4695,8104
1031,45902,9,3,5,0,1536,3163,2,0,0,8275,28235,0,0,0,0,462,42191,1964,0,0,28475,0,0,0,0,10425,0,21925,0,0,3291,0,0,4346,0,0,6171
1032,40448,9,3,5,0,1536,3163,2,0,0,4642,15839,831,85510,0,0,0,0,0,56637,0,0,0,0,21562,0,0,0,10607,7311,0,0,0,2215,3017,3953,0,0
1033,34426,9,3,5,0,1025,4095,2,0,0,6405,21854,0,0,0,0,797,72790,0,0,0,49653,0,0,0,0,17310,0,14562,0,0,5827,0,3197,4095,0,0,2066
1034,13763,9,3,6,0,1206,3568,2,0,0,7672,26177,668,68737,0,0,0,0,0,35323,0,0,0,0,21908,0,0,0,15825,11506,0,0,0,7207,3145,0,672,2405
1035,16347,9,1,2,1,1251,4242,5,0,0,2143,7313,427,43932,0,0,0,0,0,27585,0,0,0,0,10308,0,0,0,4855,6039,0,0,0,0,2458,0,0,0
1036,16347,9,1,2,1,1251,4242,4,0,0,3108,10604,630,64827,0,0,0,0,0,44699,0,0,0,0,12692,0,0,0,7570,7436,0,0,0,0,3034,0,0,0
1037,16347,9,1,2,1,1251,4242,4,0,0,3894,13286,750,77168,0,0,0,0,0,52652,0,0,0,0,18019,0,0,0,8665,6497,0,0,0,1580,3041,0,0,0
1038,19415,9,1,2,0,704,5263,1,294,39690,3881,13243,0,0,0,0,6,548,0,0,0,0,39690,3475,0,0,0,0,4677,0,0,548,0,1428,3663,0,0,0
1039,19415,9,1,2,0,704,5263,1,461,62235,4584,15640,0,0,0,0,0,0,0,0,0,0,62235,3982,0,0,0,0,6631,0,0,0,0,1535,3492,0,0,0
1040,19820,9,1,2,0,1271,4398,4,0,0,5759,19650,1400,144021,0,0,0,0,0,104965,0,0,0,0,25789,0,0,0,10499,13267,0,0,0,6163,2988,0,0,0
1041,19820,9,1,2,0,1271,4398,5,0,0,9082,30988,535,55061,0,0,0,0,0,33954,0,0,0,0,13323,0,0,0,23133,7784,0,0,0,3516,4339,0,2576,0
