HHID,NWEIGHT,REGIONC,DIVISION,YEARMADE,FUELHEAT,EQUIPM,WOODAMT,CORDPLUS,BURNHRS,FUELH2O,COOLMAIN,COOLUNIT,FUELFOOD,FODEL,NFODELNC,NDIFFOCO,QUANTFO,LPGDELV,NLPDELNC,NDIFLPCO,KERODEL,NOKRDEL,NDIFKRCO,KEROCASH,NOKRCASH,NKRGALNC,TOTPAYKR,MONEYPY,LPGWATER,LPGWARM,LPGCOOL,LPGFOOD,LPGOUT,LPGOTHER,FOIWATER,FOILWARM,FOILFOOD,KERWATER,KERWARM,KERFOOD,HEATED,AREA1980,GALLONKR,BTUKER,GALLONFO,BTUFO,GALLONLP,BTULP,BTUFOEST,BTULPEST,BTUKREST,BTUFOSPH,BTULPSPH,BTUKRSPH,BTUFOWTH,BTULPWTH,BTUKRWTH,BTUFOAPL,BTULPAPL,BTUKRAPL 
1001,16184,4,9,02,05,05,9,999,9,05,9,9,05,9,99,9,9,0,99,9,9,99,9,9,99,9,99999,17,0,1,0,0,0,0,0,0,0,0,0,0,728,1,999999,9999999,999999,9999999,39,3542,9999999,15281,9999999,9999999,3542,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1002,27302,4,9,02,01,03,9,999,9,01,9,9,01,9,99,9,9,9,99,9,9,99,9,9,99,9,99999,13,0,0,0,0,0,0,0,0,0,0,0,0,1585,1,999999,9999999,999999,9999999,999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1003,16044,2,3,01,03,03,9,999,9,05,0,1,02,1,6,1,3,1,6,1,9,99,9,9,99,9,99999,20,0,0,0,1,0,0,0,1,0,0,0,0,2340,4,999999,9999999,515,71413,88,8037,101677,5151,9999999,71413,9999999,9999999,9999999,9999999,9999999,9999999,8037,9999999
1004,7295,2,4,01,01,02,9,999,9,01,9,9,01,9,99,9,9,9,99,9,9,99,9,9,99,9,99999,05,0,0,0,0,0,0,0,0,0,0,0,0,1030,1,999999,9999999,999999,9999999,999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1005,15218,4,8,08,05,03,2,999,4,01,1,0,05,9,99,9,9,9,99,9,9,99,9,9,99,9,99999,19,0,0,0,0,0,0,0,0,0,0,0,0,1813,4,999999,9999999,999999,9999999,999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1006,13358,1,2,04,03,02,5,15,1,03,0,1,05,1,4,1,3,9,99,9,9,99,9,9,99,9,99999,21,0,0,0,0,0,0,1,1,0,0,0,0,3380,2,999999,9999999,980,135916,999999,9999999,96595,9999999,9999999,101821,9999999,9999999,34095,9999999,9999999,9999999,9999999,9999999
1007,15710,4,9,01,01,07,1,999,4,01,9,9,01,9,99,9,9,9,99,9,9,99,9,9,99,9,99999,15,0,0,0,0,0,0,0,0,0,0,0,0,1122,1,999999,9999999,999999,9999999,999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1008,15265,4,9,03,02,06,9,999,9,02,9,9,02,9,99,9,9,9,99,9,9,99,9,9,99,9,99999,07,1,1,0,1,0,0,0,0,0,0,0,0,208,2,999999,9999999,999999,9999999,542,49463,9999999,36186,9999999,9999999,36282,9999999,9999999,9116,9999999,9999999,4065,9999999
1009,17889,2,3,01,03,03,9,999,9,01,9,9,01,1,98,1,8,9,99,9,9,99,9,9,99,9,99999,04,0,0,0,0,0,0,0,1,0,0,0,0,1839,1,999999,9999999,1252,173640,999999,9999999,132733,9999999,9999999,173640,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1010,26168,2,3,03,01,02,9,999,9,01,0,1,05,9,99,9,9,9,99,9,9,99,9,9,99,9,99999,09,0,0,0,0,0,0,0,0,0,0,0,0,826,2,999999,9999999,999999,9999999,999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
1011,16610,1,2,03,01,03,1,999,4,01,0,1,05,9,99,9,9,8,99,9,9,99,9,9,99,9,99999,25,0,0,0,0,1,0,0,0,0,0,0,0,3968,2,999999,9999999,999999,9999999,999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
