HHID,NWEIGHT,REGIONC,DIVISION,YEARMADE,FUELHEAT,EQUIPM,FUELH2O,COOLMAIN,COOLUNIT,FUELFOOD,MONEYPY,ELWATER,ELWARM,ELCOOL,ELFOOD,ELOTHER,UGWATER,UGWARM,UGCOOL,UGFOOD,UGOUTSID,UGOTHER,HEATED,TYPEHOME,AREA1980,CDD65,CDD70,CDD75,HDD50,HDD55,HDD60,HDD65,HDD70,HUMIDITY,KWH,BTUEL,CUFEETNG,BTUNG,BTUCONV,BTUELEST,BTUNGEST,BTUELSPH,BTUNGSPH,BTUELWTH,BTUNGWTH,BTUELAPL,BTUNGAPL,BTUELCOL,BTUNGCOL,BTUELRFG,BTUELFZZ
1001,16184,4,9,2,5,5,5,9,9,5,17,1,1,0,1,1,0,0,0,0,0,0,728,21,1,149,36,3,1706,2811,4076,5559,7274,71,14284,48737,999999,9999999,1027,77520,9999999,16660,9999999,10599,9999999,19161,9999999,9999999,9999999,2317,2781
1002,27302,4,9,2,1,3,1,9,9,1,13,0,1,0,1,1,1,1,0,1,0,1,1585,21,1,1940,961,336,66,235,543,1109,2237,72,4288,14631,496,50905,1027,15116,59962,872,38768,9999999,6542,9271,5595,9999999,9999999,4488,3502
1003,16044,2,3,1,3,3,5,0,1,2,20,1,0,1,1,1,0,0,0,0,0,0,2340,21,4,693,282,80,2526,3462,4536,5779,7191,70,8430,28763,999999,9999999,1027,37211,9999999,9999999,9999999,11715,9999999,13161,9999999,1231,9999999,2656,2064
1004,7295,2,4,1,1,2,1,9,9,1,5,0,0,0,0,1,1,1,0,1,0,0,1030,31,1,698,286,64,3774,4792,5923,7168,8572,68,2350,8018,874,89747,1027,11974,105751,9999999,66077,9999999,19370,5102,4300,9999999,9999999,2916,9999999
1005,15218,4,8,8,5,3,1,1,0,5,19,0,1,1,1,1,1,1,0,0,0,0,1813,21,4,1982,1192,573,561,1002,1679,2539,3573,51,10197,34792,570,58526,1027,50165,46655,10830,30258,9999999,28268,11532,9999999,8498,9999999,3932,9999999
1006,13358,1,2,4,3,2,3,0,1,5,21,1,0,1,1,1,0,0,0,0,0,0,3380,21,2,672,245,31,2133,3017,4107,5339,6738,69,14438,49262,999999,9999999,1027,36583,9999999,9999999,9999999,7050,9999999,36447,9999999,1726,9999999,4039,4803
1007,15710,4,9,1,1,7,1,9,9,1,15,0,1,0,0,1,1,1,0,1,0,0,1122,21,1,823,233,21,16,131,505,1336,2376,74,1582,5398,313,32095,1027,13892,46967,589,16404,9999999,11582,3294,4109,9999999,9999999,1515,9999999
1008,15265,4,9,3,2,6,2,9,9,2,7,0,0,0,0,1,0,0,0,0,0,0,208,11,2,465,190,41,1154,1915,3003,4338,5889,37,2511,8568,999999,9999999,1027,4034,9999999,9999999,9999999,9999999,9999999,5773,9999999,9999999,9999999,2795,9999999
1009,17889,2,3,1,3,3,1,9,9,1,4,0,0,0,0,1,1,0,0,1,0,1,1839,21,1,798,325,84,2337,3314,4404,5595,6967,71,3473,11850,131,13480,1027,11381,17577,9999999,9999999,9999999,8314,4828,5166,9999999,9999999,7022,9999999
1010,26168,2,3,3,1,2,1,0,1,5,9,0,0,1,1,1,1,1,0,0,0,0,826,41,2,879,383,100,2186,3096,4191,5403,6750,68,1618,5521,470,48320,1027,8784,43447,9999999,36904,9999999,11416,3285,9999999,454,9999999,1782,9999999
