HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,GALLONKR,BTUKER,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,BTUELSPH,BTUNGSPH,BTUFOSPH,BTULPSPH,BTUKRSPH,BTUELWTH,BTUNGWTH,BTUFOWTH,BTULPWTH,BTUKRWTH,BTUELAPL,BTUNGAPL,BTUFOAPL,BTULPAPL,BTUKRAPL,BTUELCOL,BTUNGCOL,BTUELRFG,BTUELFZZ,BTUELCOK,BTUELDWH,BTUELCDR,BTUELLGT 

1001, 23603,9,3,7,3,2836, 2491,3,     0,     0, 13942, 47570,   370, 38036,     0,     0,     0,     0, 14219,  3055,     0,     0,     0,     0, 23190,     0,     0,     0, 10470, 11791,     0,     0,     0,12714,    0,10167,    0,  860,  401,    0, 2418
1002, 13593,9,2,4,0, 571, 7742,2,     0,     0,  6081, 20748,     0,     0,   247, 34256,    47,  4293,     0,     0, 34256,     0,     0,     0,     0,     0,  3483,     0, 14988,     0,     0,   810,     0, 3872,    0, 1888, 2046,    0,    0, 2526, 3000
1003,  8956,9,3,5,0,2231, 2416,2,     0,     0, 12961, 44223,     0,     0,     0,     0,     0,     0,  8222,     0,     0,     0,     0,  7928,     0,     0,     0,     0, 14015,     0,     0,     0,     0, 9978,    0, 4080,    0,  894,    0, 2552, 3516
1004, 10380,9,3,7,3,2847, 2515,2,     0,     0,  6401, 21840,   627, 64456,     0,     0,     0,     0,     0, 49240,     0,     0,     0,     0, 11209,     0,     0,     0, 12254,  4007,     0,     0,     0, 2240,    0, 7346, 4909,    0,    0,    0, 3739
1005,  7476,9,4,8,0, 231, 8029,2,     0,     0, 12442, 42452,   886, 91081,     0,     0,     0,     0,     0, 91081,     0,     0,     0,  5349,     0,     0,     0,     0, 25855,     0,     0,     0,     0, 2595,    0, 8653, 4287, 2320,  720, 3512, 2109
1006,  7181,1,3,5,0,1841, 3206,2,     0,     0, 24000, 81888,     0,     0,     0,     0,     0,     0, 20050,     0,     0,     0,     0, 13751,     0,     0,     0,     0, 30534,     0,     0,     0,     0,14369,    0, 3184, 4675, 1175, 1089, 3632, 7260
1007, 34771,9,4,9,2, 652, 1010,4,     0,     0,  2305,  7865,   277, 28517,     0,     0,     0,     0,     0, 12853,     0,     0,     0,     0, 15664,     0,     0,     0,  6403,     0,     0,     0,     0,    0,    0, 1462,    0,  824,    0,    0, 1903
1008, 21891,9,1,2,1,1272, 4707,2,     0,     0,  3723, 12703,  2825,290410,     0,     0,     0,     0,     0,201727,     0,     0,     0,     0, 71396,     0,     0,     0,  9535, 17287,     0,     0,     0, 2020,    0, 1148, 1705,    0,  349,  877, 1672
1009, 19509,9,2,3,0,1071, 5445,4,     0,     0,  1328,  4531,  1177,120996,     0,     0,     0,     0,     0, 81385,     0,     0,     0,     0, 31803,     0,     0,     0,  2755,  7808,     0,     0,     0,    0,    0, 1776,    0,    0,    0,    0,  528
1010,  4332,9,4,9,2, 171, 5974,2,     0,     0,  5505, 18783,     0,     0,     0,     0,   385, 35162,  3934,     0,     0,     0,     0,     0,     0,     0, 23058,     0, 12307,     0,     0, 12104,     0,    0,    0, 2542,    0,    0,    0,    0, 3292
1011, 32608,9,4,9,0, 135, 4598,5,     0,     0,  4511, 15392,     0,     0,     0,     0,     0,     0,  4166,     0,     0,     0,     0,  4832,     0,     0,     0,     0,  4213,     0,     0,     0,     0,    0,    0, 2181,    0,  678,    0,    0, 1236
1012,  9383,9,3,7,3,2846, 2483,5,     0,     0,  3096, 10563,   318, 32715,     0,     0,     0,     0,     0, 11754,     0,     0,     0,     0, 16455,     0,     0,     0,  5864,  4506,     0,     0,     0,    0,    0, 4699,    0,    0,    0,    0, 1540
1013, 12645,9,1,1,0, 649, 6557,2,     0,     0, 76206,260015,  2608,268102,  2463,341530,     0,     0,     0,141230,341530,     0,     0,     0, 54540,     0,     0,     0,190198, 72332,     0,     0,     0,52968,    0,16849,21966, 4880, 4434,12250,70630
1014, 13096,9,1,2,1,1337, 4722,2,     0,     0,  5326, 18172,   569, 58493,     0,     0,     0,     0,     0, 37750,     0,     0,     0,     0, 16523,     0,     0,     0, 11912,  4220,     0,     0,     0, 2487,    0, 3773,    0,    0,    0, 1744, 2715
1015,  9649,9,3,6,0,1533, 4481,2,     0,     0,  6395, 21820,   734, 75455,     0,     0,     0,     0,     0, 55388,     0,     0,     0,     0, 20067,     0,     0,     0,  7237,     0,     0,     0,     0, 9195,    0, 5388,    0,  900,    0,    0, 1542
1016,  9563,9,3,5,0,1649, 3335,4,    30,  4050,  9428, 32168,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  4050, 10641,     0,     0,     0,     0, 10791,     0,     0,     0,     0, 6388,    0, 4348,    0, 1100,    0,    0, 2912
1017, 14196,9,2,4,0,1155, 5584,5,     0,     0,  6016, 20527,     0,     0,     0,     0,     0,     0,  7627,     0,     0,     0,     0,  4313,     0,     0,     0,     0,  4636,     0,     0,     0,     0, 1718,    0, 2233,    0,  582,  383,    0, 1124
1018, 37018,9,1,2,0, 611, 6323,2,     0,     0, 11601, 39583,     0,     0,     0,     0,     0,     0, 19513,     0,     0,     0,     0,  4900,     0,     0,     0,     0, 10296,     0,     0,     0,     0,    0,    0, 4874,    0,  469,    0, 1508, 1374
1019,  8350,9,3,7,0,2067, 3748,2,     0,     0,  9295, 31714,  1569,161293,     0,     0,     0,     0,  2145,110258,     0,     0,     0,     0, 39909,     0,     0,     0, 11271, 11126,     0,     0,     0,10269,    0, 8029,    0,    0,    0,    0, 5996
1020, 14566,9,3,6,0,1848, 3043,3,     0,     0, 45392,154878,  2126,218553,     0,     0,     0,     0,     0,124676,     0,     0,     0,     0, 85913,     0,     0,     0, 78083,  7964,     0,     0,     0,43798,    0,32997,    0, 4628, 7739,    0,24023
1021, 21095,9,4,9,2, 279, 1299,2,     0,     0,  6938, 23672,   454, 46671,     0,     0,     0,     0,     0, 29391,     0,     0,     0,     0, 11868,     0,     0,     0, 11635,  5412,     0,     0,     0, 2497,    0, 9540,    0,    0,  421,    0, 3162
1022, 12615,9,4,8,0, 585, 5752,2,     0,     0, 12879, 43943,     0,     0,   656, 90971,     0,     0,     0,     0, 90971,     0,     0, 11627,     0,     0,     0,     0, 27019,     0,     0,     0,     0,    0,    0, 5297, 4280, 2117,    0, 4024, 4202
1023, 15062,9,1,2,0, 803, 5731,2,     0,     0,  6969, 23778,     0,     0,   613, 85017,     0,     0,     0,     0, 85017,     0,     0,  8996,     0,     0,     0,     0, 11564,     0,     0,     0,     0,  893,    0, 2325,    0, 2272,    0,    0, 4201
1024, 21904,9,1,2,1,1130, 4867,3,     0,     0,  7189, 24529,  1665,171162,     0,     0,     0,     0,     0,130967,     0,     0,     0,     0, 30847,     0,     0,     0, 15223,  9348,     0,     0,     0, 1929,    0, 7377,    0,    0, 1356, 2716, 3039
1025, 14540,9,4,9,0, 141, 8015,4,     0,     0, 17257, 58881,     0,     0,     0,     0,     0,     0, 31597,     0,     0,     0,     0, 12271,     0,     0,     0,     0, 12190,     0,     0,     0,     0,    0,    0, 2823,    0, 2605,    0,    0, 3520
1026,  4554,9,4,9,2, 123, 5930,2,     0,     0, 19911, 67936,     0,     0,     0,     0,     0,     0, 27025,     0,     0,     0,     0, 11244,     0,     0,     0,     0, 21994,     0,     0,     0,     0, 1306,    0, 6367, 3739, 2445,  535, 3285, 2405
1027, 16558,9,2,3,0, 885, 6511,5,     0,     0,  8608, 29369,     0,     0,     0,     0,     0,     0,  8674,     0,     0,     0,     0,  9706,     0,     0,     0,     0,  7820,     0,     0,     0,     0, 1604,    0, 1565,    0, 1930,    0,    0, 1207
1028, 22372,9,3,5,4,3581,  175,5,     0,     0,  9416, 32127,     0,     0,     0,     0,     0,     0,  1931,     0,     0,     0,     0,  3977,     0,     0,     0,     0,  7661,     0,     0,     0,     0,10671,    0, 7887,    0,  877,  578,    0,  864
1029,  6969,9,4,8,0,1864, 2817,2,     0,     0,  3323, 11338,   224, 23027,     0,     0,     0,     0,     0,  9537,     0,     0,     0,     0, 10542,     0,     0,     0,  9253,  2948,     0,     0,     0,    0,    0, 2085,    0,    0,    0,    0, 1775
1030, 18522,9,2,3,0, 751, 6581,3,     0,     0,  7589, 25894,  1834,188535,     0,     0,     0,     0,   965,188535,     0,     0,     0,  5031,     0,     0,     0,     0, 13780,     0,     0,     0,     0, 3422,    0, 2696,    0,  762,  355, 2176, 3072
1031, 14540,9,2,3,0,1156, 5588,1,     0,     0,  7854, 26798,   435, 44718,     0,     0,     0,     0,     0, 41394,     0,     0,     0,  5965,     0,     0,     0,     0, 10309,  3324,     0,     0,     0, 7193,    0, 3331,    0,    0,    0, 2260, 1243
1032, 23573,9,2,3,0,1019, 5869,2,     0,     0,  7387, 25205,  1970,202542,     0,     0,     0,     0,     0,151433,     0,     0,     0,     0, 44865,     0,     0,     0, 13203,  6244,     0,     0,     0, 8718,    0, 3284,    0,  957,  769,    0, 3322
1033,  9183,9,2,4,0, 414, 8745,5,     0,     0,  6344, 21646,     0,     0,     0,     0,     0,     0,  7535,     0,     0,     0,     0,  6948,     0,     0,     0,     0,  4526,     0,     0,     0,     0,    0,    0, 2637,    0, 1417,    0,    0,  788
1034, 14582,9,4,8,0,1940, 2530,2,     0,     0,  7312, 24949,   526, 54073,     0,     0,     0,     0,     0, 35703,     0,     0,     0,     0, 18370,     0,     0,     0, 21176,     0,     0,     0,     0,    0,    0, 3773, 3514, 2417,  433, 3517, 1305
1035, 19113,9,2,4,0, 463, 8234,5,     0,     0,  1946,  6640,   316, 32461,     0,     0,     0,     0,     0, 18745,     0,     0,     0,     0, 11158,     0,     0,     0,  3239,  2558,     0,     0,     0,  705,    0, 2696,    0,    0,  313,    0, 1082
1036, 14900,9,2,4,0,1063, 5743,2,     0,     0,  9559, 32615,     0,     0,     0,     0,   665, 60734,     0,     0,     0, 27165,     0,     0,     0,     0, 23296,     0, 21997,     0,     0, 10273,     0, 2496,    0, 8122, 3030, 2619, 1843,    0, 4904
