HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,GSTATE,CDD65,HDD65,TYPEHUQ,STORIES,ZSTORIES,URBRUR,ZURBRUR,SHARELQT,LIVEATSP,DIRACC,KOWNRENT,KOWNCOND,ZKOWNCON,HUPROJ,ZHUPROJ,RENTHELP,ZRENTHEL,YEARMADE,ZYEARMAD,OCCUPY,OCCUPYY,OCCUPYM,BEDROOMS,ZBEDROOM,NCOMBATH,ZNCOMBAT,NHAFBATH,ZNHAFBAT,OTHROOMS,ZOTHROOM,WALLTYPE,ZWALLTYP,UGASHERE,ZUGASHER,HEATED,UNHEATED,HOMEAREA

1001, 23603,9,3,7,3,2836, 2491,3,2,0,1,0,0,9,9,1,0,0,9,0,9,0, 4,0,0,9,99,3,0,2,0,0,0,2,0, 1,0,1,0, 1844,  220, 2064
1002, 13593,9,2,4,0, 571, 7742,2,1,0,4,0,1,0,9,1,0,0,9,0,9,0, 6,0,0,9,99,3,0,2,0,0,0,2,0, 2,0,0,0, 1120, 1120, 2240
1003,  8956,9,3,5,0,2231, 2416,2,1,0,1,0,0,9,9,1,0,0,9,0,9,0, 7,0,0,9,99,3,0,1,0,1,0,2,0, 2,0,0,0,  994,    0,  994
1004, 10380,9,3,7,3,2847, 2515,2,1,0,3,0,0,9,9,2,0,0,0,0,0,0, 1,1,0,9,99,2,0,1,0,0,0,2,0, 2,0,1,0,  836,  288, 1124
1005,  7476,9,4,8,0, 231, 8029,2,1,0,1,0,0,9,9,1,0,0,9,0,9,0, 6,0,0,9,99,3,0,2,0,0,0,4,0, 2,0,1,0, 2248,  552, 2800
1006,  7181,1,3,5,0,1841, 3206,2,2,0,4,0,0,9,9,1,0,0,9,0,9,0,13,0,1,1,11,3,0,2,0,1,0,4,0, 3,0,0,0, 2805,    0, 2805
1007, 34771,9,4,9,2, 652, 1010,4,9,0,1,0,0,9,9,2,0,0,0,0,0,0, 4,1,1,1, 8,1,0,1,0,0,0,1,0, 4,0,1,0,  528,    0,  528
1008, 21891,9,1,2,1,1272, 4707,2,2,0,1,0,0,9,9,1,0,0,9,0,9,0, 3,0,0,9,99,3,0,1,0,1,0,5,0, 3,0,1,0, 4128,    0, 4128
1009, 19509,9,2,3,0,1071, 5445,4,9,0,1,0,1,0,9,2,0,0,0,0,0,0, 1,0,0,9,99,1,0,1,0,0,0,3,0, 1,0,1,0,  787,    0,  787
1010,  4332,9,4,9,2, 171, 5974,2,1,0,4,0,0,9,9,1,0,0,9,0,9,0, 6,0,0,9,99,2,0,1,0,0,0,3,0, 2,0,0,0,  975,  275, 1250
1011, 32608,9,4,9,0, 135, 4598,5,9,0,1,0,0,9,9,2,0,0,0,0,0,0, 5,0,1,2, 8,0,0,1,0,0,0,1,0, 2,0,1,1,  462,    0,  462
1012,  9383,9,3,7,3,2846, 2483,5,9,0,1,0,0,9,9,2,0,0,0,0,0,0, 2,1,1,3, 1,1,0,1,0,0,0,2,0, 1,0,1,0,  630,    0,  630
1013, 12645,9,1,1,0, 649, 6557,2,3,0,4,0,0,9,9,1,0,0,9,0,9,0, 1,0,0,9,99,7,0,5,0,1,0,7,0, 2,0,1,0,12006,    0,12006
1014, 13096,9,1,2,1,1337, 4722,2,2,0,1,0,0,9,9,1,0,0,9,0,9,0, 3,0,0,9,99,3,0,1,0,1,0,3,0, 1,0,1,0, 2400,    0, 2400
1015,  9649,9,3,6,0,1533, 4481,2,1,0,1,0,0,9,9,2,0,0,0,0,0,0, 3,0,1,2, 5,1,0,1,0,0,0,2,0, 7,0,1,0,  828,    0,  828
1016,  9563,9,3,5,0,1649, 3335,4,9,0,4,0,0,9,9,2,0,0,0,0,0,0, 5,0,1,1, 3,2,0,1,0,0,0,1,0, 2,0,0,0,  756,   40,  796
1017, 14196,9,2,4,0,1155, 5584,5,9,0,1,0,0,9,9,2,0,0,0,0,0,0,14,0,1,2, 7,2,0,1,0,0,0,2,0, 1,0,1,1,  993,    0,  993
1018, 37018,9,1,2,0, 611, 6323,2,4,0,4,0,0,9,9,1,0,0,9,0,9,0, 5,0,0,9,99,3,0,1,0,0,0,3,0, 3,0,0,0, 2623,    0, 2623
1019,  8350,9,3,7,0,2067, 3748,2,1,0,1,0,0,9,9,2,0,0,0,0,0,0, 1,0,1,2,11,2,0,1,0,0,0,2,0, 5,0,1,0,  928,    0,  928
1020, 14566,9,3,6,0,1848, 3043,3,2,0,3,0,0,9,9,1,0,0,9,0,9,0, 6,0,0,9,99,4,0,2,0,1,0,3,0, 2,0,1,0, 1339,  504, 1843
1021, 21095,9,4,9,2, 279, 1299,2,2,0,1,0,0,9,9,1,0,0,9,0,9,0, 5,0,0,9,99,4,0,2,0,0,0,4,0, 4,0,1,0, 2224,  586, 2810
1022, 12615,9,4,8,0, 585, 5752,2,1,0,2,0,0,9,9,1,0,0,9,0,9,0, 3,0,0,9,99,3,0,1,0,1,0,6,0, 2,0,1,0, 2108,  351, 2459
1023, 15062,9,1,2,0, 803, 5731,2,1,0,2,0,0,9,9,1,0,0,9,0,9,0, 3,0,0,9,99,2,0,1,0,0,0,2,0, 2,0,1,0,  805,    0,  805
1024, 21904,9,1,2,1,1130, 4867,3,2,0,1,0,0,9,9,1,0,0,9,0,9,0, 4,0,0,9,99,3,0,1,0,1,0,2,0, 1,0,1,0, 2040,    0, 2040
1025, 14540,9,4,9,0, 141, 8015,4,9,0,2,0,0,9,9,2,0,0,0,0,0,0, 3,0,1,2, 7,2,0,1,0,0,0,2,0, 7,0,0,0,  756,    0,  756
1026,  4554,9,4,9,2, 123, 5930,2,1,0,4,0,0,9,9,1,0,0,9,0,9,0,11,0,0,9,99,2,0,2,0,0,0,2,0, 2,0,0,0, 1814, 1176, 2990
1027, 16558,9,2,3,0, 885, 6511,5,9,0,1,0,1,0,9,2,0,0,0,0,0,0, 5,1,1,3, 1,2,0,1,0,0,0,2,0, 3,0,1,1, 1496,    0, 1496
1028, 22372,9,3,5,4,3581,  175,5,9,0,1,0,0,9,9,1,1,0,9,0,9,0,12,1,0,9,99,2,0,2,0,0,0,2,0, 4,0,0,0,  990,   96, 1086
1029,  6969,9,4,8,0,1864, 2817,2,1,0,2,0,0,9,9,2,0,0,0,0,0,0, 5,0,0,9,99,3,0,1,0,0,0,1,0, 4,0,1,0, 1042,    0, 1042
1030, 18522,9,2,3,0, 751, 6581,3,1,0,1,0,0,9,9,1,0,0,9,0,9,0, 3,0,0,9,99,3,0,2,0,0,0,4,0, 3,0,1,0, 3184,    0, 3184
1031, 14540,9,2,3,0,1156, 5588,1,9,0,1,0,0,9,9,2,0,0,0,0,0,0, 7,0,0,9,99,2,0,1,0,0,0,3,0, 3,0,1,0,  756,    0,  756
1032, 23573,9,2,3,0,1019, 5869,2,2,0,3,0,0,9,9,1,0,0,9,0,9,0, 5,0,1,3, 1,5,0,1,0,1,0,4,0, 1,0,1,0, 4608,    0, 4608
1033,  9183,9,2,4,0, 414, 8745,5,9,0,2,0,0,9,9,2,0,0,0,0,0,0, 1,0,1,2, 6,1,0,1,0,0,0,2,0, 1,0,1,0,  514,    0,  514
1034, 14582,9,4,8,0,1940, 2530,2,1,0,1,0,0,9,9,1,0,0,9,0,9,0, 5,0,0,9,99,3,0,2,0,0,0,2,0, 4,0,1,0, 2314,    0, 2314
1035, 19113,9,2,4,0, 463, 8234,5,9,0,3,0,0,9,9,2,0,0,0,0,0,0, 5,0,1,2, 7,1,0,1,0,0,0,2,0, 4,0,1,0,  873,    0,  873
1036, 14900,9,2,4,0,1063, 5743,2,1,0,4,0,0,9,9,3,0,0,0,0,0,0, 1,0,0,9,99,2,0,1,0,0,0,4,0, 2,0,0,0,  852,  306, 1158
1037, 10365,9,2,3,0, 710, 6451,3,2,0,1,0,0,9,9,2,0,0,0,0,0,0, 1,0,0,9,99,3,0,1,0,0,0,4,0, 2,0,1,0, 1706,  672, 2378
