HHID,NWEIGHT,REGIONC,DIVISION,TYPEHUQ,STORIES,DIRACC,YEARMADE,HOTH2O,HEATWATR,HINATTIC,ROOFPCT,ATTIC3YR,WALLINS,WALLS3YR,DUCTS,PIPEINS,WATERINS,STRIP,CAULKADD,BASEMENT,BASEINS,FLOOREXT,DOORS,STORMSO,INDOWS,PANESINS,CHANGES,SAMEFEET,SAMEHEAT,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,CARHOME,GARHEAT,GARHETON,HOMEBASE,CELLAR,AREASHUT,AREAOPEN,CONCRETE,BASEHEAT,INSIDE,LINEARFL,PREHEAT,PREUN,PREHOME,HEATED,UNHEATED,HOMEAREA,SCALE,SOURCE,TYPEHOME,UNITS,FLOORS,OCCUP
1001,16184,4,9,2,4,9,02,1,9,1,4,0,0,9,0,1,1,1,1,1,0,9,02,00,14,0,0,9,9,3,1,0,2,1,0,9,2,9,9,9,9,0,03,2,99999,99999,99999,728,312,1040,999,2,21,999,99,1
1002,27302,4,9,2,1,9,02,1,9,1,4,0,0,9,6,0,0,1,0,1,0,9,04,02,14,0,0,9,9,3,1,1,3,0,9,9,2,9,9,9,9,0,02,1,99999,99999,99999,1585,0,1585,999,0,21,999,99,1
1003,16044,2,3,2,2,9,01,1,9,1,4,0,1,0,1,0,0,1,1,1,0,9,02,00,15,15,0,9,9,3,1,1,3,0,9,9,1,9,9,9,9,1,02,3,99999,99999,99999,2340,198,2538,999,0,21,999,99,1
1004,7295,2,4,4,9,9,01,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,01,01,15,15,0,9,9,2,1,0,3,9,9,9,9,9,9,9,9,9,01,1,99999,99999,99999,1030,0,1030,18,1,31,999,99,1
1005,15218,4,8,2,1,9,08,1,9,1,6,6,1,6,6,1,1,1,1,0,9,9,03,02,13,13,0,9,9,3,2,0,3,1,0,9,4,9,9,9,9,9,02,1,99999,99999,99999,1813,484,2297,999,0,21,999,99,1
1006,13358,1,2,2,2,9,04,1,9,1,4,0,1,0,0,1,0,0,0,1,0,9,05,05,16,16,0,9,9,4,2,1,4,1,0,9,1,9,9,9,9,1,03,3,99999,99999,99999,3380,728,4108,999,2,21,999,99,1
1007,15710,4,9,2,1,9,01,1,9,6,9,9,6,9,0,0,0,0,0,1,0,9,02,02,8,0,0,9,9,2,1,0,3,0,9,9,3,9,9,9,9,0,02,1,99999,99999,99999,1122,0,1122,999,0,21,999,99,1
1008,15265,4,9,1,9,9,03,1,9,1,4,0,1,0,0,0,1,0,0,0,9,9,01,01,9,0,0,9,9,0,0,1,1,0,9,9,4,9,9,9,9,9,02,1,99999,99999,99999,208,0,208,999,0,11,999,99,1
1009,17889,2,3,2,2,9,01,1,9,1,4,0,0,9,0,0,0,0,0,1,0,9,02,02,16,12,0,9,9,5,2,0,3,0,9,9,5,1,1,0,0,0,02,3,99999,99999,99999,1839,976,2815,999,0,21,999,99,1
1010,26168,2,3,5,9,9,03,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,00,99,3,3,0,9,9,1,1,0,2,9,9,9,9,9,9,9,9,9,01,1,99999,99999,99999,826,0,826,12,1,41,11,3,1
1011,16610,1,2,2,2,9,03,1,9,1,1,0,2,0,1,1,0,1,1,1,1,0,05,03,29,29,0,9,9,4,2,0,4,1,0,9,1,9,9,9,9,1,98,3,99999,99999,99999,3968,638,4606,999,2,21,999,99,1
1012,22470,3,5,4,9,9,05,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,01,00,5,0,0,9,9,3,2,0,2,9,9,9,9,9,9,9,9,9,02,1,99999,99999,99999,1000,0,1000,999,0,31,999,99,1
1013,14363,1,1,2,2,9,05,1,9,1,4,0,1,0,1,1,1,1,1,0,9,9,02,02,19,19,0,9,9,3,2,0,4,1,0,9,4,9,9,9,9,9,02,2,99999,99999,99999,2072,560,2632,999,0,21,999,99,1
1014,18890,4,9,5,9,1,04,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,01,00,3,0,0,9,9,2,2,0,2,9,9,9,9,9,9,9,9,9,01,1,99999,99999,99999,951,0,951,16,1,41,6,2,1
1015,15398,1,2,4,9,9,01,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,04,00,12,12,0,9,9,3,1,1,4,9,9,9,9,9,9,9,9,9,05,2,99999,99999,99999,2112,0,2112,999,2,31,999,99,1
1016,12807,3,6,5,9,0,06,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,01,00,3,0,0,9,9,1,1,0,2,9,9,9,9,9,9,9,9,9,01,1,99999,99999,99999,476,0,476,1,1,41,6,2,1
1017,17920,2,3,2,1,9,02,1,9,1,3,1,2,1,0,0,0,1,1,1,0,9,03,02,14,14,0,9,9,3,1,3,0,1,0,9,5,0,1,0,1,0,02,1,99999,99999,99999,1200,522,1722,999,0,21,999,99,1
1018,23030,2,3,5,9,9,05,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,04,04,0,99,0,9,9,2,1,0,2,9,9,9,9,9,9,9,9,9,01,1,99999,99999,99999,1221,0,1221,24,1,41,220,2,1
1019,30795,1,2,4,9,9,01,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,01,01,11,11,0,9,9,3,1,0,3,9,9,9,9,9,9,9,9,9,01,1,99999,99999,99999,965,0,965,16,1,31,999,99,1
1020,7564,2,4,2,1,9,10,1,9,1,4,1,1,1,1,1,0,1,1,0,9,9,01,01,5,5,0,9,9,2,2,0,2,1,0,9,4,9,9,9,9,9,02,1,99999,99999,99999,1232,952,2184,999,0,21,999,99,1
1021,10089,4,8,2,1,9,01,1,9,1,4,1,1,0,1,1,0,0,0,1,0,9,02,01,13,9,0,9,9,4,1,0,4,0,9,9,1,9,9,9,9,1,02,2,99999,99999,99999,2481,117,2598,999,0,21,999,99,1
1022,18173,2,3,1,9,0,01,1,9,6,9,9,6,9,6,1,6,6,6,1,6,9,02,02,10,10,0,9,9,2,1,0,1,0,9,9,2,9,9,9,9,0,02,1,99999,99999,99999,546,0,546,999,0,11,999,99,1
1023,25662,1,2,5,9,9,05,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,01,00,5,5,0,9,9,1,1,0,2,9,9,9,9,9,9,9,9,9,05,1,99999,99999,99999,1980,0,1980,999,2,41,60,6,1
1024,17994,2,4,4,9,9,01,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,02,02,4,4,0,9,9,1,1,0,2,9,9,9,9,9,9,9,9,9,01,1,99999,99999,99999,483,0,483,1,1,31,999,99,1
1025,21487,4,8,4,9,9,05,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,01,00,1,0,0,9,9,1,1,0,3,9,9,9,9,9,9,9,9,9,01,1,99999,99999,99999,505,0,505,2,1,31,999,99,1
