DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,URBRUR,ZURBRUR,STORIES,ZSTORIES,CELLAR,ZCELLAR,CRAWL,ZCRAWL,CONCRETE,ZCONCRET,BASEHEAT,ZBASEHEA,NUMFLRS,PRIORUSE,ORIGTYP,COMMUSE,COMMAMT,MHWIDTH,NCOMBATH,ZNCOMBAT,NHAFBATH,BEDROOMS,OTHROOMS,ZOTHROOM,TOTROOMS,ZTOTROOM,PRKGPLCE,GARAGE1C,GARAGE2C,GARAGE3C,CARPORT,SQFTEST,HOWSURE,KOWNRENT,HUPROJ,ZHUPROJ,KCOPCOND,ZKCOPCON,YEARMADE,ZYEARMAD,OCCUPY,OCCUPYY,OCCUPYM,FLOORS,UNITS,SQFTREG
1001, 20385,9,3,5,0,1628, 2976,2,1,0,2,0,0,0,1,0,0,0,9,0,99,9,99,9,9,9, 3,0, 1, 4, 5,0, 9,0,1,0,0,1,0, 7,1,1,9,0,0,0, 7,0,1,1, 1,99,999,3342
1002, 23584,9,3,7,3,1732, 4080,2,1,0,1,0,0,0,1,0,0,0,9,0,99,9,99,9,9,9, 1,0, 0, 3, 4,0, 7,0,0,0,0,0,0, 4,1,1,9,0,0,0, 2,0,0,9,99,99,999,1184
1003, 15877,9,1,2,0, 720, 5408,2,4,0,1,0,1,0,0,0,0,0,1,0,99,9,99,9,9,9, 1,0, 0, 2, 2,0, 4,0,1,1,0,0,0, 1,1,1,9,0,0,0, 5,0,0,9,99,99,999,1624
1004,  8712,9,2,4,0, 603, 8170,2,2,0,1,0,1,0,0,0,0,0,2,0,99,9,99,9,9,9, 2,0, 1, 2, 3,0, 5,0,1,0,1,0,0, 3,1,1,9,0,0,0, 5,0,0,9,99,99,999,2243
1005,  7673,9,4,9,2, 238, 6467,1,2,0,9,0,9,0,9,0,9,0,9,0,99,9,99,9,9,1, 1,0, 0, 1, 3,0, 4,0,0,0,0,0,0, 3,3,1,9,0,0,0, 8,0,0,9,99,99,999, 794
1006,  9307,9,3,7,0,1840, 3479,5,1,0,9,0,9,0,9,0,9,0,9,0,98,1,99,0,9,9, 1,0, 0, 3, 2,0, 5,0,9,0,0,0,0, 3,2,2,1,0,0,0, 4,0,1,1, 8,99,999, 872
1007,  8642,9,1,1,0, 227, 8566,2,4,0,2,0,1,0,0,0,0,0,0,0,99,9,99,9,9,9, 2,0, 0, 3, 3,0, 6,0,1,1,0,0,0,96,6,1,9,0,0,0, 1,0,0,9,99,99,999,1909
1008, 17450,9,4,9,2,1307,  839,5,1,0,9,0,9,0,9,0,9,0,9,0, 2,1,99,0,9,9, 2,0, 0, 2, 2,0, 4,0,9,0,0,0,0, 2,2,2,0,0,1,0, 7,0,1,3, 4, 2, 16,1068
1009, 21990,9,2,3,0, 572, 6772,2,4,0,1,0,0,0,1,0,0,0,9,0,99,9,99,9,9,9, 1,0, 0, 3, 2,0, 5,0,1,0,0,1,0, 3,2,1,9,0,0,0, 5,0,0,9,99,99,999,1656
1010, 15570,9,3,5,0,1005, 4679,3,3,0,3,0,1,0,0,0,1,0,2,0,99,9,99,9,9,9, 2,0, 2, 4, 4,0, 8,0,0,0,0,0,0, 4,2,1,9,0,0,0, 7,0,0,9,99,99,999,2947
1011, 16482,9,4,9,2, 675, 2068,2,1,0,1,0,0,0,1,0,0,0,9,0,99,9,99,9,9,9, 2,0, 0, 3, 2,0, 5,0,1,0,1,0,0, 3,2,1,9,0,0,0, 2,0,0,9,99,99,999,1345
1012, 11754,9,3,6,0,1433, 4268,4,3,0,9,0,9,0,9,0,9,0,9,0, 2,1,99,0,9,9, 1,0, 0, 2, 2,0, 4,0,9,0,0,0,0, 1,1,2,0,0,0,0, 4,0,0,9,99,99,999, 888
1013, 28529,9,3,7,3,1792, 3641,2,1,0,1,0,0,0,0,0,1,0,9,0,99,9,99,9,9,9, 2,0, 0, 3, 3,0, 6,0,1,0,1,0,0, 3,2,1,9,0,0,0, 4,0,0,9,99,99,999,1760
1014, 16010,9,4,9,2,1948,  711,5,1,0,9,0,9,0,9,0,9,0,9,0, 2,1,99,0,9,9, 1,0, 1, 2, 2,0, 4,0,9,0,0,0,0, 2,2,2,0,0,0,0, 4,1,1,6,96, 3,200,1151
1015, 11140,9,4,8,0, 287, 7981,2,4,0,1,0,0,0,1,0,0,0,9,0,99,9,99,9,9,9, 1,0, 0, 3, 3,0, 6,0,1,0,1,0,0, 2,1,1,9,0,0,0, 7,0,0,9,99,99,999,1350
