DOEID,NWEIGHT,MQRESULT,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,GALLONKR,BTUKER,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,BTUELSPH,BTUNGSPH,BTUFOSPH,BTULPSPH,BTUKRSPH,BTUELWTH,BTUNGWTH,BTUFOWTH,BTULPWTH,BTUKRWTH,BTUELAPL,BTUNGAPL,BTUFOAPL,BTULPAPL,BTUKRAPL,BTUELCOL,BTUNGCOL,BTUELRFG,BTUELFZZ,BTUELCOK,BTUELDWH,BTUELCDR
1001, 20385,9,3,5,0,1628, 2976,2,  0,     0,41501,141601,   0,     0,   0,     0,   0,     0, 31001,     0,     0,     0,     0,23393,     0,     0,    0,    0, 47764,     0,   0,    0,0,24226,   0,15217, 3650,3277,4640,  5731
1002, 23584,9,3,7,3,1732, 4080,2,  0,     0, 4792, 16350, 725, 74457,   0,     0,   0,     0,  1514, 56682,     0,     0,     0,    0, 11619,     0,    0,    0,  8398,  6156,   0,    0,0,    0,   0, 6438,    0, 955,   0,     0
1003, 15877,9,1,2,0, 720, 5408,2,  0,     0,12531, 42756,   0,     0,   0,     0,   0,     0, 18300,     0,     0,     0,     0, 6516,     0,     0,    0,    0, 13877,     0,   0,    0,0,    0,   0, 4063,    0, 889, 552,     0
1004,  8712,9,2,4,0, 603, 8170,2,  0,     0, 8510, 29036,   0,     0,   0,     0,1010, 92243,   967,     0,     0, 92243,     0, 5625,     0,     0,    0,    0, 15811,     0,   0,    0,0, 1717,   0, 4916, 1753,1309, 379,  2597
1005,  7673,9,4,9,2, 238, 6467,1,  0,     0, 3666, 12508,   0,     0,   0,     0, 686, 62652,     0,     0,     0, 43794,     0,    0,     0,     0,12484,    0,  8598,     0,   0, 6374,0,    0,   0, 3910, 2083,   0,   0,  2206
1006,  9307,9,3,7,0,1840, 3479,5,  0,     0, 7582, 25870, 414, 42518,   0,     0,   0,     0,     0, 42518,     0,     0,     0, 9507,     0,     0,    0,    0,  9414,     0,   0,    0,0, 4119,   0, 2830,    0,2227,   0,     0
1007,  8642,9,1,1,0, 227, 8566,2,  0,     0, 3871, 13208,   0,     0,1418,196662,   0,     0,     0,     0,169721,     0,     0,    0,     0, 26941,    0,    0,  9760,     0,   0,    0,0,    0,   0, 3448,    0, 737,   0,  2301
1008, 17450,9,4,9,2,1307,  839,5,  0,     0, 3968, 13539, 198, 20325,   0,     0,   0,     0,   664,     0,     0,     0,     0,  480, 20325,     0,    0,    0,  7460,     0,   0,    0,0, 2547,   0, 2388,    0, 632,1570,     0
1009, 21990,9,2,3,0, 572, 6772,2,  0,     0,12320, 42036,   0,     0,   0,     0, 222, 20275,     0,     0,     0, 19165,     0,13055,     0,     0,    0,    0, 22772,     0,   0, 1110,0, 3197,   0, 3012, 1252,   0, 389,  6186
1010, 15570,9,3,5,0,1005, 4679,3,  0,     0,16395, 55940,   0,     0,   0,     0,   0,     0, 16221,     0,     0,     0,     0, 9850,     0,     0,    0,    0, 19984,     0,   0,    0,0, 7042,   0, 2843,    0,1088, 338,  2120
