Carbon emissions coefficient,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
1,,,,,,,,,,,
,distributed_solar,,,,,,,,,,
region,PrimaryFuelCO2Coeff,,,,,,,,,,
all,0,,,,,,,,,,
,,,,,,,,,,,
"Renewresource attributes: units, market, base year price",,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
2,,,,,,,,,,,
,,,,,price,,,,,,
region,renewresource,output-unit,price-unit,market,1975,,,,,,
USA,distributed_solar,EJ,1975$/GJ,USA,10,,,,,,
Canada,distributed_solar,EJ,1975$/GJ,Canada,10,,,,,,
Western Europe,distributed_solar,EJ,1975$/GJ,Western Europe,10,,,,,,
Japan,distributed_solar,EJ,1975$/GJ,Japan,10,,,,,,
Australia_NZ,distributed_solar,EJ,1975$/GJ,Australia_NZ,10,,,,,,
Former Soviet Union,distributed_solar,EJ,1975$/GJ,Former Soviet Union,10,,,,,,
China,distributed_solar,EJ,1975$/GJ,China,10,,,,,,
Middle East,distributed_solar,EJ,1975$/GJ,Middle East,10,,,,,,
Africa,distributed_solar,EJ,1975$/GJ,Africa,10,,,,,,
Latin America,distributed_solar,EJ,1975$/GJ,Latin America,10,,,,,,
Southeast Asia,distributed_solar,EJ,1975$/GJ,Southeast Asia,10,,,,,,
Eastern Europe,distributed_solar,EJ,1975$/GJ,Eastern Europe,10,,,,,,
Korea,distributed_solar,EJ,1975$/GJ,Korea,10,,,,,,
India,distributed_solar,EJ,1975$/GJ,India,10,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Smooth renewable resource parameters equal for all regions,,,,,,,,,,,
INPUT_TABLE,,,Use gdpSupplyElast to scale floorspace up in the future.  This is how we expand the maxSubResource in the future,,,,,,,,
Variable ID,,,,,,,,,,,
3,,,,,,,,,,,
,,,environCost,severanceTax,,,,,,,
region,renewresource,smooth-renewable-subresource,1975 fillout,1975 fillout,gdpSupplyElast,subResourceCapacityFactor,,,,,
all,distributed_solar,distributed_solar,0,0,0.1,0.2,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Tech change (assumed equal by region),,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
4,,,,,,,,,,,
,,,techChange,,,,,,,,
region,renewresource,smooth-renewable-subresource,1975,1990,2005,2020,2035,2050,2065,2080,2095
all,distributed_solar,distributed_solar,0,0,0,0.0308,0.0234,0.0183,0.0149,0.0056,0.0040
,,,,,,,,,,,
,,,,,,,,,,,
"Maxsubresource, mid-price and curve exponent",,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
5,,,,,,,,,,,
,,,,,,,,,,,
region,renewresource,smooth-renewable-subresource,maxSubResource,mid-price,curve-exponent,,,,,,
USA,distributed_solar,distributed_solar,4.72,25.97,4.24,,,,,,
Canada,distributed_solar,distributed_solar,0.37,32.01,4.24,,,,,,
Western Europe,distributed_solar,distributed_solar,5.30,31.13,4.24,,,,,,
Japan,distributed_solar,distributed_solar,1.13,27.95,4.24,,,,,,
Australia_NZ,distributed_solar,distributed_solar,0.38,22.32,4.24,,,,,,
Former Soviet Union,distributed_solar,distributed_solar,2.89,32.45,4.24,,,,,,
China,distributed_solar,distributed_solar,16.07,26.38,4.24,,,,,,
Middle East,distributed_solar,distributed_solar,1.91,19.59,4.24,,,,,,
Africa,distributed_solar,distributed_solar,9.10,19.42,4.24,,,,,,
Latin America,distributed_solar,distributed_solar,5.86,21.29,4.24,,,,,,
Southeast Asia,distributed_solar,distributed_solar,7.95,21.33,4.24,,,,,,
Eastern Europe,distributed_solar,distributed_solar,1.62,32.12,4.24,,,,,,
Korea,distributed_solar,distributed_solar,0.57,26.11,4.24,,,,,,
India,distributed_solar,distributed_solar,10.50,21.62,4.24,,,,,,
,,,,,,,,,,,
