Elect_td_bld features,,,,,,,,,,,,,,,
not read,,,,,,,,,,,,,,,
not read,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
region,supplysector,has-trial-supply-market,,,,,,,,,,,,,
ALL,elect_td_bld,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
region,supplysector,object-meta-info,value,,,,,,,,,,,,
ALL,elect_td_bld,electricity-reserve-margin,0.15,,,,,,,,,,,,
ALL,elect_td_bld,average-grid-capacity-factor,0.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Solar roofs shareweights,,,,,,,,,,,,,,,
sharewt,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,
,,,,sharewt,,,,,,,,,,,
region,supplysector,subsector,scaleYear,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,
USA,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Canada,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Western Europe,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Japan,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Australia_NZ,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Former Soviet Union,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
China,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Middle East,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Africa,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Latin America,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Southeast Asia,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Eastern Europe,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
Korea,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
India,elect_td_bld,rooftop_pv,1975,0,0,0,1,1,1,1,1,1,,,
,,,,,,,,,,,,,,,
Subsector logit exponent,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,this variable will determine market share of rooftop PV,,,,,,,,,,,
103,,,,,,,,,,,,,,,
,,,logitexp,,,,,,,,,,,,
region,supplysector,subsector,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,
USA,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
Canada,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
Western Europe,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
Japan,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
Australia_NZ,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
Former Soviet Union,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
China,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
Middle East,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
Africa,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
Latin America,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
Southeast Asia,elect_td_bld,electricity_td_bld,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,
