# File: A_agSupplySubsector.csv
# Title: Agriculture supply subsector infomration
# Unit: NA
# Description: agSupplySubsectors - logit and shareweight interpolation
# Source: NA
AgSupplySector,AgSupplySubsector,logit.exponent,year.fillout,share.weight
Corn,Corn,-6,start-year,1
FiberCrop,FiberCrop,-6,start-year,1
FodderGrass,FodderGrass,-6,start-year,1
FodderHerb,FodderHerb,-6,start-year,1
MiscCrop,MiscCrop,-6,start-year,1
OilCrop,OilCrop,-6,start-year,1
OtherGrain,OtherGrain,-6,start-year,1
PalmFruit,PalmFruit,-6,start-year,1
Rice,Rice,-6,start-year,1
Root_Tuber,Root_Tuber,-6,start-year,1
SugarCrop,SugarCrop,-6,start-year,1
Wheat,Wheat,-6,start-year,1
Forest,Forest,-6,start-year,1
biomass,biomass_grass,-6,start-year,1
biomass,biomass_tree,-6,start-year,1
Pasture,Pasture,-6,start-year,1
