# File: Rohwer_2007_IrrigationEff.csv
# Title: Annex B Irrigation Functional Types, assignment and parameters
# Units: Unitless efficiency; large.scale.frac in percentage
# Source: Rohwer et al 2007. Appendix B Irrigation Functional Types, https://www.pik-potsdam.de/research/publications/pikreports/.files/pr104.pdf
country,iso,application.eff,conveyance.eff,large.scale.frac,management.eff
Afghanistan,afg,0.6,0.7,20,0.9
Albania,alb,0.68,0.83,20,0.95
Algeria,dza,0.68,0.83,20,0.95
Angola,ago,0.6,0.7,0,1
Argentina,arg,0.6,0.7,20,0.9
Armenia,arm,0.6,0.7,0,1
Australia,aus,0.6,0.7,20,0.9
Austria,aut,0.75,0.95,0,1
Azerbaijan,aze,0.6,0.7,60,0.7
Bangladesh,bgd,0.6,0.7,20,0.9
Belgium,bel,0.75,0.95,0,1
Belize,blz,0.6,0.7,0,1
Benin,ben,0.68,0.83,0,1
Bhutan,btn,0.6,0.7,0,1
Bolivia,bol,0.6,0.7,0,1
Bosnia and Herzegovina,bih,0.6,0.7,0,1
Botswana,bwa,0.68,0.83,0,1
Brazil,bra,0.68,0.83,20,0.95
Brunei Darussalam,brn,0.68,0.83,0,1
Bulgaria,bgr,0.6,0.7,20,0.9
Burkina Faso,bfa,0.68,0.83,0,1
Burma,mmr,0.6,0.7,0,1
Burundi,bdi,0.6,0.7,0,1
Byelarus,blr,0.75,0.95,0,1
Cambodia,khm,0.6,0.7,0,1
Cameroon,cmr,0.6,0.7,0,1
Canada,can,0.68,0.83,20,0.95
Central African Republic,caf,0.6,0.7,0,1
Chad,tcd,0.6,0.7,0,1
Chile,chl,0.6,0.7,60,0.7
China,chn,0.6,0.7,20,0.9
Colombia,col,0.6,0.7,20,0.9
"Congo, Republic",cog,0.6,0.7,0,1
Costa Rica,cri,0.6,0.7,0,1
Croatia,hrv,0.75,0.95,0,1
Cuba,cub,0.68,0.83,20,0.95
Cyprus,cyp,0.9,0.95,0,1
Czech Republic,cze,0.75,0.95,0,1
Denmark,dnk,0.75,0.95,0,1
Djibouti,dji,0.6,0.7,0,1
Dominican Republic,dom,0.6,0.7,0,1
Ecuador,ecu,0.6,0.7,20,0.9
Egypt,egy,0.6,0.7,20,0.9
El Salvador,slv,0.6,0.7,0,1
Equatorial Guinea,gnq,0.6,0.7,0,1
Eritrea,eri,0.6,0.7,0,1
Ethiopia,eth,0.6,0.7,20,0.9
Finland,fin,0.75,0.95,0,1
France,fra,0.68,0.83,20,0.95
French Guiana,guf,0.6,0.7,0,1
Gabon,gab,0.6,0.7,0,1
Gambia,gmb,0.6,0.7,0,1
Georgia,geo,0.6,0.7,20,0.9
Germany,deu,0.75,0.95,0,1
Ghana,gha,0.6,0.7,0,1
Greece,grc,0.75,0.95,60,1
Guatemala,gtm,0.6,0.7,0,1
Guinea,gin,0.6,0.7,0,1
Guinea-Bissau,gnb,0.6,0.7,0,1
Guyana,guy,0.6,0.7,0,1
Haiti,hti,0.6,0.7,0,1
Honduras,hnd,0.6,0.7,0,1
Hungary,hun,0.75,0.95,20,1
India,ind,0.6,0.7,20,0.9
Indonesia,idn,0.6,0.7,20,0.9
Iran,irn,0.6,0.7,20,0.9
Iraq,irq,0.68,0.83,60,0.85
Israel,isr,0.9,0.95,0,1
Italy,ita,0.68,0.83,60,0.85
Ivory Coast,civ,0.68,0.83,0,1
Jamaica,jam,0.6,0.7,0,1
