# File: A_agRsrcCurves.csv
# Title: Sets the characteristics and supply curves of the non-modeled inputs to animal production
# Units: Various
# Source: NA
# ----------
renewresource,sub.renewable.resource,grade,available,extractioncost
Residue,Residue,grade 1,0,0.001
Scavenging_Other_Rsrc,Scavenging_Other,grade 1,0,0.001
Residue,Residue,grade 2,1,0.002
Scavenging_Other_Rsrc,Scavenging_Other,grade 2,1,0.002
Residue,Residue,grade 3,1.5,0.01
Scavenging_Other_Rsrc,Scavenging_Other,grade 3,1.5,0.01
