# File: A_agRsrc.csv
# Title: Sets the characteristics and supply curves of the non-modeled inputs to animal production
# Units: Various
# Source: NA
# ----------
renewresource,output.unit,price.unit,market
Residue,Mt,1975$/kg,global
Scavenging_Other_Rsrc,Mt,1975$/kg,global
