# File: SAGE_LT.csv
# Title: Maps SAGE 14 land cover types and HYDE 3 types to GCAM land cover types
# Units: NA
# Source: SAGE: Ramankutty, N., and J. Foley. 1999. Estimating historical changes in global land cover: Croplands from 1700 to 1992, Global Biogeochemical Cycles 13, 997-1027; HYDE: Klein Goldewijk, K., A. Beusen, G. van Drecht, M. de Vos The HYDE 3.1 spatially explicit database of human-induced global land-use change over the past 12,000 years, Global Ecology and Biogeography 20: 73-86.
# ----------,
LT_SAGE,Land_Type
TropicalEvergreenForest/Woodland,Forest
TropicalDeciduousForest/Woodland,Forest
TemperateBroadleafEvergreenForest/Woodland,Forest
TemperateNeedleleafEvergreenForest/Woodland,Forest
TemperateDeciduousForest/Woodland,Forest
BorealEvergreenForest/Woodland,Forest
BorealDeciduousForest/Woodland,Forest
Evergreen/DeciduousMixedForest/Woodland,Forest
Savanna,Grassland
Grassland/Steppe,Grassland
DenseShrubland,Shrubland
OpenShrubland,Shrubland
Tundra,Tundra
Desert,RockIceDesert
PolarDesert/Rock/Ice,RockIceDesert
Pasture,Pasture
Cropland,Cropland
Urbanland,Urbanland
