# File: FAO_CL_kha_RESOURCESTAT.csv
# Title: FAO cropland area by country, year
# Units: tons
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,2,Arable land,6621,Area (1000 Ha),11,7650,7700,7750,7800,7800,7835,7844,7844,7860,7870,7900,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7910,7824,7703,7653,7647,7685,7757,7653,7683,7683,7678,7772,7816,7805,7794,7794,7794,7793,7792,7791
Albania,3,Arable land,6621,Area (1000 Ha),11,432,436,440,443,460,475,488,500,510,521,530,540,548,557,563,575,580,583,583,585,588,589,589,589,589,589,590,590,582,579,578,578,577,577,577,577,578,577,577,578,578,578,578,578,538,584,578,610,609,626,622
Algeria,4,Arable land,6621,Area (1000 Ha),11,6472,6300,6200,6132,6203,6221,6301,6243,6233,6248,6380,6510,6512,6544,6845,7092,6904,6892,6846,6875,6885,6881,6592,6915,6910,6967,7069,7101,7129,7081,7260,7562,7533,7477,7519,7521,7650,7661,7673,7662,7583,7547,7503.7,7493,7511,7470,7469,7489,7493,7502,7510
American Samoa,5,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1.2,1.5,2,2,2.4,2.5,2.5,2.5,2.5,3.34,3.3,3.3,3.3,3,2.96,3,3,3
Andorra,6,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2.2,2.3,2.3,2.4,2.5,2.5,2.5,2.5,2.4,2.3,2.2,2.3,2.5,2.5
Angola,7,Arable land,6621,Area (1000 Ha),11,2670,2700,2720,2750,2770,2800,2830,2860,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2950,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3100,3300,3300,3300,3300,3400,3400,4000,4100,4100
Anguilla,258,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,8,Arable land,6621,Area (1000 Ha),11,8,7,8,7,8,8,7,7,8,8,7,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Argentina,9,Arable land,6621,Area (1000 Ha),11,18597,19180,19600,20000,20461,21608,22341,23851,25897,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,27000,27000,27000,27000,27000,26800,26367,26470,26575,26680,26785,26890,26998,27105,27212,27320,27425,27532,27640,27746,27862,28683.5,30775,32897.5,34854,36433,35058,33797,37217,38048
Armenia,1,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,433,435,435,450,455,455,450,450,455,455,455,455,455,452.9,452.1,449.41,449,448.5,430.2
Aruba,22,Arable land,6621,Area (1000 Ha),11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
