# File: FAO_For_Imp_m3_FORESTAT.csv
# Title: NA
# Units: NA
countries,country codes,item,item codes,element,element codes,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,2,Roundwood + (Total),1861,Import Quantity (m3),61,,,3300,3500,4200,5300,,6400,6600,6900,6900,6900,6900,6900,6900,,,,,,,,,,,0,,,,,99,,0,154,36,1771,1771,70,203,203,203,203,5725,5725,2401,902,112,128,87,100
Albania,3,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,94,94,0,12837,0,0,0,10000,400,590,590,590,590,590,590,590,590,590
Algeria,4,Roundwood + (Total),1861,Import Quantity (m3),61,41000,48000,44000,33200,29300,25200,26900,49000,51300,43200,45000,41100,84000,45100,34000,76000,44700,67900,117800,109400,141000,284700,253000,213000,191400,210000,197500,131200,25790,62893,68297,48200,56700,48600,22900,20600,28900,43700,38800,29500,30423,16844,78525,78525,33655,23939,34715,3958,10405,6427
American Samoa,5,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Andorra,6,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046,2219,4093,3006,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696
Angola,7,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,600,0,0,0,0,0,80,211,331,325,474,474,696,3419,3419,2049,2461,6256,6748,7131,6433
Anguilla,258,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,40,331,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,8,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,176,354,202,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377
Argentina,9,Roundwood + (Total),1861,Import Quantity (m3),61,183500,182700,218200,311600,279200,231200,181100,174600,165200,142500,69900,20000,12100,17400,4400,3100,10700,12000,19600,7100,7700,13400,12000,5800,3300,3500,6300,1000,5220,2136,2744,2219,5300,5300,4500,8200,1700,5000,4000,2000,0,0,7475,7475,1748,1748,1748,1748,1748,2748
Armenia,1,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4000,2000,1000,1200,1000,2500,1220,1266,3482,2,256
