AEZ,CTRYAEZ,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD
AEZ07,Usa-7,19,26001,257.257,0.26,8.1,7.84,2.33699,1.60986
AEZ08,Usa-8,16,10621,105.085,0.26,9.72,9.46,3.57005,1.52888
AEZ09,Usa-9,15,4027,39.8436,0.32,10.78,10.46,4.64445,1.81964
AEZ10,Usa-10,14,15975,158.059,0.33,13.75,13.42,6.33397,1.83866
AEZ11,Usa-11,17,11876,117.503,1.51,13.75,12.24,7.92245,2.38455
AEZ12,Usa-12,18,9075,89.7891,2.75,12.9,11,9.30865,1.69489
AEZ13,Usa-13,4,2128,21.0547,0.26,4.92,4.66,2.07281,0.934838
AEZ14,Usa-14,3,1606,15.89,0.26,5.19,4.93,2.70478,1.31841
AEZ15,Usa-15,5,325,3.21559,0.73,6.45,5.72,2.97548,1.74527
AEZ16,Usa-16,10,50,0.494706,3.22,4.27,1.05,3.241,0.147
