# File: USDA_cost_data.csv,,,,,,,,,,,,,,,,,,,,,
# Title: USDA_cost_data,,,,,,,,,,,,,,,,,,,,,
# Units: varying,,,,,,,,,,,,,,,,,,,,,
# Description: Itemized costs and returns of crop production by crop; USA national averages,,,,,,,,,,,,,,,,,,,,,# Original source: http://www.ers.usda.gov/Data/CostsAndReturns/,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,
Crop, Item,Unit,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Corn,Primary output,USD/acre,366.459,327.6,259.76,228.15,244.26,264.96,310.88,317.37,359.97,259.26,350.52,467.61,627.84,560.04,688.47,836.58,801.22,719.16,601.8
Corn,Secondary output,USD/acre,3.47,3.77,3.12,2.55,2.41,1.96,1.94,2.25,2.38,1.17,1.35,1.33,1.52,1.18,0.92,1.19,1.33,1.35,1.38
Corn,Total output,USD/acre,369.929,331.37,262.88,230.7,246.67,266.92,312.82,319.62,362.35,260.43,351.87,468.94,629.36,561.22,689.39,837.77,802.55,720.51,603.18
Corn,Seed,USD/acre,26.65,28.71,30.02,30.29,30.02,32.34,31.84,34.83,36.82,40.47,43.55,49.04,60.02,78.92,81.58,84.37,92.04,97.59,101.04
Corn,Fertilizer,USD/acre,51.21,50.37,45.51,42.84,43.16,55.12,42.51,50.64,54.62,69.35,80.17,93.13,139.18,131.11,112.03,147.36,156.51,153.33,149.23
Corn,Chemicals,USD/acre,27.42,26.87,27.36,28.4,28.82,26.44,26.11,26.2,26.76,22.84,23.62,24.38,25.19,27.83,26.29,26.35,27.52,28.57,29.2
Corn,Custom operations,USD/acre,11.3,11.3,11.29,11.37,11.48,10.94,10.79,11.17,11.55,9.97,10.58,10.93,10.98,11.76,16.36,16.77,17.07,17.77,18.24
Corn,"Fuel, lube, and electricity",USD/acre,24.43,24.55,22.96,23.04,29.12,20.88,18.93,23.06,29.29,26.5,28.73,31.58,42.64,29.13,25.8,32.42,30.63,32.27,32.8
Corn,Repairs,USD/acre,15.78,16.17,16.65,17.17,17.55,13.76,13.91,14.22,15.35,14,14.45,14.86,15.37,15.69,23.96,24.79,25.48,25.79,26.17
Corn,Purchased irrigation water,USD/acre,0.3,0.32,0.31,0.31,0.31,0.22,0.22,0.22,0.24,0.12,0.12,0.13,0.14,0.14,0.11,0.1,0.11,0.12,0.12
Corn,Interest on operating capital,USD/acre,3.86,3.96,3.61,3.5,4.53,2.6,1.17,0.82,1.31,3.12,4.76,4.94,2.17,0.43,0.28,0.17,0.23,0.16,0.12
Corn,Total operating costs,USD/acre,160.95,162.25,157.71,156.92,164.99,162.3,145.48,161.16,175.94,186.37,205.98,228.99,295.69,295.01,286.41,332.33,349.59,355.6,356.92
Corn,Hired labor,USD/acre,2.83,3.07,3.19,3.28,3.36,2.92,3.06,3.14,3.2,2.08,2.19,2.26,2.37,2.41,2.96,2.92,3.02,3.12,3.16
Corn,Opportunity cost of unpaid labor,USD/acre,28.99,29.89,30.63,31.43,32.21,24.96,25.74,26.53,26.98,22.02,23.56,24.34,25.12,25.67,22.54,22.77,23.65,24.4,24.75
Corn,Capital recovery of machinery and equipment,USD/acre,63.02,64.5,66.46,68.49,70.16,54.69,55.26,56.67,61.25,64.02,66.71,69.77,76.36,81.12,84.4,89.59,94.05,96.86,100.15
Corn,Opportunity cost of land (rental rate),USD/acre,80.79,84.81,86.35,86.77,89.36,86.5,87.44,89.2,92.14,93.27,90.84,97.21,107.37,123.87,127.33,138.2,154.94,167.74,175.6
Corn,Taxes and insurance,USD/acre,6.98,7,7.05,6.96,7.13,5.49,5.42,5.54,5.58,6.51,7.01,7.52,8.29,8.13,8.46,8.92,9,9.19,9.34
Corn,General farm overhead,USD/acre,10.38,12.21,11.47,10.88,11.11,11.67,11.91,12.17,12.41,12.61,13.45,13.88,14.18,14.49,18.1,18.73,19.32,19.54,19.88
Corn,Total allocated overhead,USD/acre,192.99,201.48,205.15,207.81,213.33,186.23,188.83,193.25,201.56,200.51,203.76,214.98,233.69,255.69,263.79,281.13,303.98,320.85,332.88
Corn,Total costs listed,USD/acre,353.94,363.73,362.86,364.73,378.32,348.53,334.31,354.41,377.5,386.88,409.74,443.97,529.38,550.7,550.2,613.46,653.57,676.45,689.8
Corn,Value of production less total costs listed,USD/acre,15.989,-32.36,-99.98,-134.03,-131.65,-81.61,-21.49,-34.79,-15.15,-126.45,-57.87,24.97,99.98,10.52,139.19,224.31,148.98,44.06,-86.62
Corn,Value of production less operating costs,USD/acre,208.979,169.12,105.17,73.78,81.68,104.62,167.34,158.46,186.41,74.06,145.89,239.95,333.67,266.21,402.98,505.44,452.96,364.91,246.26
Corn,Yield,bu/acre,129.95,130,136,135,138,144,134,149,169,149,138,143,144,156,159,146,118,156,170
Corn,Price,USD/bu,2.82,2.52,1.91,1.69,1.77,1.84,2.32,2.13,2.13,1.74,2.54,3.27,4.36,3.59,4.33,5.73,6.79,4.61,3.54
Corn,Enterprise size,acres,189,189,189,189,189,236,236,236,236,250,250,250,250,250,280,280,280,280,280
Corn,Irrigated,percent,15,15,15,15,15,14,14,14,14,12,12,12,12,12,11,11,11,11,11
Corn,Dryland,percent,85,85,85,85,85,86,86,86,86,88,88,88,88,88,89,89,89,89,89
Barley,Primary output,USD/acre,,,,,,,,164.736,161.001,134.874,134.64,178.19,289.188,294.528,238.901,351.882,413.088,407.32,355.232
Barley,Secondary output,USD/acre,,,,,,,,7.99,8.38,9.14,9.27,11.56,13.51,11.94,11.98,11.76,10.44,11.07,10.33
