# File: Various_CarbonData_LTsage.csv
# Title: Assumed vegetation carbon content by land use type and AEZ
# Units: Listed in table
# Source: Listed in table
LT_SAGE,variable,value,unit,Source
Tropical Evergreen Forest/Woodland,mature age,40,years,"Houghton 1999, Table 1, tropical equatorial forest"
Tropical Deciduous Forest/Woodland,mature age,35,years,"Houghton 1999, Table 1, tropical seasonal forest"
Temperate Broadleaf Evergreen Forest/Woodland,mature age,50,years,"Houghton 1999, Table 1, temperate evergreen forest"
Temperate Needleleaf Evergreen Forest/Woodland,mature age,50,years,"Houghton 1999, Table 1, temperate evergreen forest"
Temperate Deciduous Forest/Woodland,mature age,50,years,"Houghton 1999, Table 1, temperate deciduous forest"
Boreal Evergreen Forest/Woodland,mature age,50,years,"Houghton 1999, Table 1, boreal forest"
Boreal Deciduous Forest/Woodland,mature age,50,years,"Houghton 1999, Table 1, boreal forest"
Evergreen/Deciduous Mixed Forest/Woodland,mature age,50,years,Using Houghton temperate/boreal value here. This is a diverse category but mostly found in high latitudes
Savanna,mature age,29,years,"Houghton 1999, Table 1, Sub-Saharan Africa open forest"
Grassland/Steppe,mature age,10,years,"Houghton 1999, Table 1, grassland"
Dense Shrubland,mature age,18,years,"Houghton 1999, Table 1, tropical woodland"
Open Shrubland,mature age,50,years,"Houghton 1999, Table 1, woodland"
Tundra,mature age,50,years,assumed
Desert,mature age,50,years,assumed
Polar Desert/Rock/Ice,mature age,50,years,assumed
Pasture,mature age,10,years,set equal to grassland/steppe
UrbanLand,mature age,1,years,assumed
Cropland,mature age,1,years,assumed
Tropical Evergreen Forest/Woodland,soil_c,98,tC/ha,"Houghton 1999, tropical equatorial forest"
Tropical Deciduous Forest/Woodland,soil_c,98,tC/ha,"Houghton 1999, tropical seasonal forest"
Temperate Broadleaf Evergreen Forest/Woodland,soil_c,71,tC/ha,"King et al 1997, Table III, Temperate evergreen seasonal broadleaved forest"
Temperate Needleleaf Evergreen Forest/Woodland,soil_c,134,tC/ha,"Houghton 1999, Table 1, temperate evergreen forest"
Temperate Deciduous Forest/Woodland,soil_c,134,tC/ha,"Houghton 1999, Table 1, temperate deciduous forest"
Boreal Evergreen Forest/Woodland,soil_c,206,tC/ha,"Houghton 1999, Table 1, boreal forest"
Boreal Deciduous Forest/Woodland,soil_c,206,tC/ha,"Houghton 1999, Table 1, boreal forest"
Evergreen/Deciduous Mixed Forest/Woodland,soil_c,111,tC/ha,"1-12: King et al 1997, cold deciduous forest with evergreens; 13-18: Houghton 1999, Table 1, boreal forest (chosen for consistency with IGBP)"
Savanna,soil_c,95,tC/ha,"King et al 1997, Table III, tall/medium/short grassland with 10-40% woody cover"
Grassland/Steppe,soil_c,130,tC/ha,all values interpolated for consistency with IGBP (data sources are all over the map)
Dense Shrubland,soil_c,75,tC/ha,"King et al 1997, Table III, Drought deciduous shrubland and evergreen broadleaved shrubland"
Open Shrubland,soil_c,69,tC/ha,"King et al 1997, Table III, Xeromorphic shrubland"
Tundra,soil_c,220,tC/ha,"range from Zinke et al 1984, Table 4.1; values chosen for consistency with IGBP"
Desert,soil_c,38,tC/ha,"King et al 1997, Table III, Desert. Houghton desert is too high; see Schlesinger 1977"
Polar Desert/Rock/Ice,soil_c,85,tC/ha,value set to match IGBP
Pasture,soil_c,130,tC/ha,set equal to grassland/steppe
UrbanLand,soil_c,58,tC/ha,previous assumption
Cropland,soil_c,90,tC/ha,"Houghton 1999, Table 1, approximated from many land types"
Tropical Evergreen Forest/Woodland,veg_c,200,tC/ha,"Houghton 1999, tropical equatorial forest"
Tropical Deciduous Forest/Woodland,veg_c,140,tC/ha,"Houghton 1999, tropical seasonal forest"
Temperate Broadleaf Evergreen Forest/Woodland,veg_c,154,tC/ha,"King et al 1997, Table III, Temperate evergreen seasonal broadleaved forest"
Temperate Needleleaf Evergreen Forest/Woodland,veg_c,160,tC/ha,"Houghton 1999, Table 1, temperate evergreen forest"
Temperate Deciduous Forest/Woodland,veg_c,135,tC/ha,"Houghton 1999, Table 1, temperate deciduous forest"
