high gwp INPUTS,,
for SRES scenarios,,
A1,,


HIGWPGWP,,
INPUT_TABLE,,
Variable ID,,
401,,
GWP for the 14 gases,,
Gas,GWP,GasName
1,9200,C2F6
2,7000,C4F10
3,6500,CF4 
4,2800,HFC-125
5,1300,HFC-134a
6,3800,HFC-143a
7,140,HFC-152a
8,2900,HFC-227ea
9,11700,HFC-23
10,6300,HFC-236fa
11,560,HFC-245ca
12,650,HFC-32
13,1300,HFC-43-10
14,23900,SF6 


HIGWPREAD,,
INPUT_TABLE,,
Variable ID,,
400,,
Emissions of hi gwp gases from FENHANN paper for SRES scenarios,,
Region,Gas,1990,2005,2020,2035,2050,2065,2080,2095
1,1,0.8858,0.641994469,0.56547111,0.44181539,0.46620133,0.546485399,0.641222029,0.755438748
1,2,0,0,0,0,0,0,0,0
1,3,8.858,6.419944689,5.6547111,4.418153899,4.662013299,5.464853994,6.412220287,7.55438748
1,4,0,3.811488848,14.29889007,18.81526526,21.27089942,21.43611744,21.66424108,21.88134666
1,5,0,82.98864672,153.8318895,177.9950291,190.3829082,191.6001717,193.6380721,195.5793037
1,6,0,2.89425947,10.78225535,14.1244708,15.94565581,16.06867867,16.23959515,16.40232175
1,7,0,0,0,0,0,0,0,0
1,8,0,4.20887911,10.16333973,10.89972542,11.21567158,11.28544249,11.40994683,11.52585676
1,9,6.089820613,12.71277919,4.066143022,1.49735195,0.502736294,0.383228643,0.308666581,0.265401482
1,10,0,0,0,0,0,0,0,0
1,11,0,20.5382309,47.79182869,51.27170129,52.67255182,52.96185888,53.52715545,54.0643909
1,12,0,1.157703788,4.312902141,5.649788321,6.378262324,6.427471468,6.495838059,6.560928699
1,13,0,3.078388689,6.480609252,6.795951709,6.956840717,6.992236299,7.066245243,7.137036406
1,14,3.452564762,2.833187495,0.691237439,0.994376822,1.382994298,1.865142387,2.380363752,2.947682544
7,1,0.15996,0.317610408,0.727798672,1.308624299,1.71459863,2.040022705,2.287944583,2.315895215
7,2,0,0,0,0,0,0,0,0
7,3,1.5996,3.176104084,7.277986719,13.08624299,17.1459863,20.40022705,22.87944583,23.15895215
7,4,0,0.881569469,5.525877133,16.3235188,30.85291148,42.03584767,44.42207938,45.7098619
7,5,0,17.94727792,72.96567998,203.3232948,373.7613588,481.2841399,460.8099102,424.7463915
7,6,0,0.668368801,4.190512163,12.33472186,23.28944884,31.61790161,33.40823416,34.29198235
7,7,0,0,0,0,0,0,0,0
7,8,0,0.951729844,5.145573827,14.02007463,25.4601159,32.13772072,29.3849511,25.59742279
7,9,0.135548186,0.626155137,0.587230334,0.534924684,0.327697356,0.418828892,0.471588844,0.517743744
7,10,0,0,0,0,0,0,0,0
7,11,0,4.621309717,24.1201983,66.02446302,119.9424908,156.213261,141.4287854,120.9791702
7,12,0,0.26734752,1.676204865,4.933888744,9.315779537,12.64716064,13.36329366,13.71679294
7,13,0,0.322492991,1.539709726,4.118723516,7.460053531,10.41964571,12.43077007,14.38670177
7,14,0.571968418,1.436866483,2.912374711,5.353937784,7.650044848,7.857145439,5.437904351,5.383417542
6,1,0.342472,0.219245468,0.374145129,0.843402761,1.051146547,1.095901576,1.193787373,1.208621641
6,2,0,0,0,0,0,0,0,0
6,3,3.42472,2.192454678,3.741451289,8.434027612,10.51146547,10.95901576,11.93787373,12.08621641
6,4,0,0.461081515,2.305901044,3.884723574,4.715223053,5.335993232,5.964731145,5.550272015
6,5,0,11.66045687,31.76819515,49.30582774,52.16947256,52.91796867,53.3146,49.60930135
6,6,0,0.355541367,1.78207467,2.900647954,3.534487587,4.007668671,4.471186186,4.160500226
6,7,0,0,0,0,0,0,0,0
6,8,0,0.482672119,2.255417788,3.471220352,3.433800726,3.300874489,3.141548626,2.923566664
6,9,0.111515828,0.156714612,0.103873183,0.125486446,0.072236691,0.07826032,0.084981479,0.067407252
6,10,0,0,0,0,0,0,0,0
6,11,0,1.967648991,8.892113615,16.73941402,16.66063544,15.78076399,14.73791188,13.71360103
6,12,0,0.142216547,0.712829868,1.160259182,1.413795035,1.603067468,1.788474474,1.66420009
6,13,0,0.084045186,0.345568897,0.935714171,1.248920164,1.573967753,1.945490035,1.810331627
6,14,1.288013953,1.069837696,1.544389354,2.461526931,3.167320427,2.612242602,2.118260644,1.603119264
10,1,0.190696,0.21724705,0.444172606,0.820269685,1.151851515,1.328856165,1.490279345,1.514072938
10,2,0,0,0,0,0,0,0,0
10,3,1.90696,2.172470504,4.441726064,8.202696846,11.51851515,13.28856165,14.90279345,15.14072938
10,4,0,0.918960615,4.955897335,14.25559037,23.59106718,26.79525734,27.94210065,27.74112503
10,5,0,15.24589464,66.89100235,189.2273931,314.720896,351.2967948,353.6850731,334.5135161
10,6,0,0.722858684,3.892628822,11.16201287,18.09331834,20.27932929,21.1238901,20.94317122
10,7,0,0,0,0,0,0,0,0
10,8,0,0.887647564,4.614692975,12.99382466,22.02590627,24.7052746,24.49294371,22.74217381
10,9,0.062756024,0.187989465,0.154690575,0.145661963,0.097329659,0.119682145,0.134763096,0.149447522
10,10,0,0,0,0,0,0,0,0
10,11,0,3.942136852,19.73950478,55.92803919,103.0440965,121.2363724,120.594529,111.541226
10,12,0,0.289143474,1.557051529,4.464805148,7.237327337,8.111731718,8.449556038,8.377268487
10,13,0,0.097700569,0.446863251,1.238861815,2.441150883,3.999510562,5.591749114,6.253834377
10,14,0.478236867,1.093901369,2.188188975,3.89684261,6.093017276,6.067654733,3.537185771,3.800673177
