COST CURVES for other gas mitigation,,,,,,

NOTES:,,,,,,
the data is from the EPA cost curve spreadsheets -- generated by CCURVES MACRO.xls,,,,,,
FORMAT: first row of each curve is carbon tax -- second row is percent reduction as if carbon tax was applied using,,,,,,
standard 100 yr GWP's -- changes in GWP do not need to be made here as it is coded into the model,,,,,,



CCURV,,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
700,,,,,,
"CCURV(IXT,IX,ILEV,1-2,L)",,,Emission: Aerosols (MDI and Non-MDI),,,Disc: DR = 5%; TR = 0%
gas, source,,File:HighGWP2\IMAC_Aerosols (MDI)_%TCE.xls,,,Year: 2020
11,1,,,,,
Region, NumPts,,,,,,,,,,,,,,
1,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
1,,0.03,0.068,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.199160366
2,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
3,,0.029,0.065,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191,0.191144061
4,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
4,,0.014,0.03,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.089506884
5,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
5,,0.057,0.128,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378141465
6,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
6,,0.064,0.145,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427042033
7,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
7,,0.001,0.002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005060264
8,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
8,,0.001,0.002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005071742
9,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
9,,0.001,0.002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005225521
10,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
10,,0.001,0.002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005135018
11,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
11,,0.001,0.002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005037052
12,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
12,,0.071,0.159,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468302346
13,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200
14,,0.001,0.002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005189605


CCURV,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,
"CCURV(IXT,IX,ILEV,1-2,L)",,,Emission: Aluminum_Mg,,,Disc: DR = 5%; TR = 0%,,,,,,,,,
gas, source,,File:HighGWP2\IMAC_Aluminum_%TCE.xls,,,Year: 2020,,,,,,,,,
16,1,,,,,,,,,,,,,,
